Comp;2009 spring;2009 summer;2009 autumn;2010 winter;2010 spring;2010 summer;2010 autumn;2011 winter
Cil;;;;;;;;
Nsci;0,001511993;0,003537428;0,001924478;0,000675184;0,00126764;0,003840974;0,001812787;0,000624769
Cop;;;;;;;;
Clado;;;;;;;;
Tun;;;;;;;;
Poly;;;;;;;;
Biv;;;;;;;;
Gastr;;;;;;;;
Hydro;0,007756475;0,01711231;0,009726718;;0,0065966;0,018464068;0,009202048;0,003415553
Mlei;0,004560717;0,01334063;0,006184818;0,001647768;0,00365058;0,014802184;0,005735052;0,001493953
Ppil;0,004292009;0,009804062;0,005425933;0,001960607;0,003616281;0,010620703;0,00511964;0,00181818
Bcu;0,001689018;0,00402717;0,002161387;0,000740803;0,001410504;0,004380772;0,002033236;0,000684304
Her;;;;;;;;
