Comp;2009 spring;2009 summer;2009 autumn;2010 winter;2010 spring;2010 summer;2010 autumn;2011 winter
Cil;0,608283054;1,270292793;0,74966292;0,302535993;0,522136794;1,364201975;0,711820838;0,282865079
Nsci;0,280568683;0,597787319;0,347753311;0,13691457;0,239834455;0,643228246;0,329733675;0,127778204
Cop;0,109483716;0,250219007;0,130067495;0,046162094;0,089445145;0,265329069;0,123280503;0,041451947
Clado;0,026807124;0,062717422;0,034120347;;0,022474831;0,068099194;;
Tun;0,708348451;1,408836433;0,860983831;0,368987607;0,614212824;1,505856325;0,820332332;0,346535889
Poly;0,218092212;0,370602219;0,276919939;0,145884997;0,207799755;0,421515194;0,241300969;0,138995541
Biv;0,083158892;0,141262021;0,096653364;0,050308674;0,074505078;0,148701018;0,093117228;0,047932834
Gastr;0,170723145;0,29000743;0,198426963;0,103282462;0,15295708;0,305279506;0,191167362;0,098404922
Hydro;0,057309347;0,12651398;0,071911307;;0,048759185;0,13649507;0,06803293;0,025236088
Mlei;0,056633306;0,16565904;0,076800793;0,020461376;0,045331561;0,18380808;0,071215761;0,01855136
Ppil;0,064157111;0,146551475;0,081107038;0,029307219;0,054056296;0,158758639;0,076528565;0,027178219
Bcu;0,049975376;0,119157579;0,063952028;0,021919196;0,041734575;0,129620099;0,06016024;0,020247479
Her;0,004818599;0,010435851;0,006000228;0,002315247;0,004105072;0,011246929;0,005682774;0,002157527
