Comp;2009 spring;2009 summer;2009 autumn;2010 winter;2010 spring;2010 summer;2010 autumn;2011 winter
Cil;1,582061067;3,701359069;2,013661446;0,706473206;1,326384576;4,01897211;1,896795207;0,653722193
Nsci;0,285276609;0,667427563;0,363102613;0,127390961;0,239173127;0,724699417;0,342029341;0,11787892
Cop;0,43301594;0,991499048;0,543173251;0,180888483;0,347035526;1,024822942;0,362804687;0,156664769
Clado;0,161136966;0,376992888;0,205096569;;0,135095662;0,409342589;;
Tun;1,223335207;2,433095189;1,486940265;0,637250678;1,060760663;2,600650931;1,416734125;0,598476009
Poly;0,474754594;1,202067306;0,67504999;0,217554058;0,416444022;1,421048566;0,571950007;0,19986877
Biv;0,233099617;0,589997309;0,303390886;0,096605817;0,192265482;0,645525605;0,284205768;0,088752589
Gastr;0,172676211;0,437059921;0,224746782;0,071563938;0,142426982;0,478194333;0,210534774;0,065746401
Hydro;;;;;;;;
Mlei;;;;;;;;
Ppil;;;;;;;;
Bcu;;;;;;;;
Her;0,064879363;0,140512091;0,080789248;0,03117332;0,055272181;0,151432732;0,076514931;0,029049722
