Dia->Cil;Dia->Nsci;Dia->Tun;Dia->Clado;Dia->Cop;Dia->Biv;Dia->Gastr;Dia->Poly;Dia->Mlei;Dia->Her;Dia->Doc;Dia->Poc;Dia->Exp;Dia->Resp;Phae->Cil;Phae->Nsci;Phae->Tun;Phae->Clado;Phae->Cop;Phae->Biv;Phae->Gastr;Phae->Poly;Phae->Doc;Phae->Poc;Phae->Exp;Phae->Resp;Cil->Nsci;Cil->Tun;Cil->Clado;Cil->Cop;Cil->Biv;Cil->Gastr;Cil->Poly;Cil->Hydro;Cil->Ppil;Cil->Mlei;Cil->Bcu;Cil->Poc;Cil->Exp;Cil->Resp;Nsci->Ppil;Nsci->Mlei;Nsci->Bcu;Nsci->Poc;Nsci->Exp;Nsci->Resp;Tun->Hydro;Tun->Ppil;Tun->Mlei;Tun->Bcu;Tun->Her;Tun->Poc;Tun->Exp;Tun->Resp;Clado->Hydro;Clado->Ppil;Clado->Mlei;Clado->Bcu;Clado->Her;Clado->Poc;Clado->Exp;Clado->Resp;Cop->Hydro;Cop->Ppil;Cop->Mlei;Cop->Bcu;Cop->Her;Cop->Poc;Cop->Exp;Cop->Resp;Biv->Nsci;Biv->Poly;Biv->Hydro;Biv->Ppil;Biv->Mlei;Biv->Bcu;Biv->Her;Biv->Poc;Biv->Exp;Biv->Resp;Gastr->Hydro;Gastr->Ppil;Gastr->Mlei;Gastr->Bcu;Gastr->Her;Gastr->Poc;Gastr->Exp;Gastr->Resp;Poly->Ppil;Poly->Mlei;Poly->Bcu;Poly->Her;Poly->Poc;Poly->Exp;Poly->Resp;Hydro->Ppil;Hydro->Mlei;Hydro->Poc;Hydro->Exp;Hydro->Resp;Ppil->Bcu;Ppil->Poc;Ppil->Exp;Ppil->Resp;Mlei->Bcu;Mlei->Poc;Mlei->Exp;Mlei->Resp;Bcu->Poc;Bcu->Exp;Bcu->Resp;Her->Poc;Her->Exp;Her->Resp;Bac->Cil;Bac->Tun;Bac->Biv;Bac->Poc;Bac->Exp;Bac->Resp;Doc->Bac;Poc->Cil;Poc->Nsci;Poc->Tun;Poc->Clado;Poc->Cop;Poc->Biv;Poc->Gastr;Poc->Poly;Poc->Exp;Imp->Dia;Imp->Phae;Imp->Cil;Imp->Nsci;Imp->Tun;Imp->Clado;Imp->Cop;Imp->Biv;Imp->Gastr;Imp->Poly;Imp->Hydro;Imp->Ppil;Imp->Mlei;Imp->Bcu;Imp->Her;Imp->Doc;Imp->Poc;Doc->Exp
0,992722668;0;0;0;0,692733313;0,000428571;0;0;0;0,002938431;26,98683823;35,56250432;50,19365736;9,191311025;5,202892149;0;0,049067887;0,001347105;0;0,001;0;0;47,35510524;52,8373396;95,35228083;74,504895;0;0;0;0,213965734;0;0;0;0;0;0;0;5,055036811;0,405595748;0,521016524;0;0;0;0,000214249;2,85277E-05;4,24997E-05;0;0;0;0;0;0,022829284;0,024533944;0,001704659;0;0;0;0;0;0,000318255;0,000673553;0,000355297;0;0;0;2,68408E-05;0;0,527405834;0,656192281;0,128813287;0,000285277;0;0;0;0;0;0;0,000428571;0,000429009;0,000285714;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,68408E-05;0;0;0,000920386;0,001469216;0,000548829;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;388,2919094;123,6231339;275,3039278;0;0;0;0;0,405739195;0;0;0;0;0;0;0;0;0;294,2848853;74,34194347
0,985409231;7,67732E-06;0,005549165;0,00035261;0,624766171;0,092471378;0,009815433;0,013268313;1,98386E-05;0,000187763;27,04917091;35,38865215;50,16530334;9,264345977;5,140035643;4,49888E-05;0,008164785;7,41422E-05;0,02422166;0,112464273;0,005040529;0,004069606;47,56176755;52,91716719;95,37271763;74,23925973;8,17061E-05;0,002717142;0,000481369;0,157424928;0,006229308;0,104767857;0,039588189;0,001521903;1,14619E-05;6,14351E-05;1,0379E-06;5,013019793;0,338838789;0,529448208;1,40511E-05;1,24522E-05;3,83158E-06;0,000107563;4,52933E-05;6,39251E-05;0,000816504;4,70643E-05;2,54784E-05;1,072E-06;0,000163747;0,002881759;0,02015606;0,001938899;4,8557E-05;2,36442E-05;0,000263432;6,93511E-07;0,000192565;0,000136381;0,000187456;0,000427381;0,000925258;2,75482E-05;5,93114E-05;4,62639E-06;0,000276675;0,491476732;0,66009084;0,140181281;4,93896E-05;0,057235682;0,000724743;5,03171E-05;8,21183E-05;5,62444E-07;0,00041203;0,060289869;0,093790747;0,056233483;0,00022266;1,37868E-05;7,1922E-05;4,49622E-06;0,000458951;0,036913575;0,072806793;0,030974323;7,97452E-05;0,000137179;5,40789E-07;7,98815E-05;0,016354345;0,079283525;0,026592433;2,94245E-05;3,09701E-05;0,001012964;0,003239271;0,001397614;5,60314E-06;4,40546E-05;0,000192357;8,85485E-05;1,13836E-06;0,000152352;0,000781465;0,000399045;2,15433E-06;2,38557E-06;2,06615E-05;0,000264568;0,001344197;0,000850698;0,002137178;0,003957502;0,003239268;0,003502893;0,003615901;0,014838583;0,031291325;0,017586663;6,31862E-05;0,002741787;3,58729E-05;0,000330642;0,002696275;0,004334981;0,006614207;388,294196;123,59932;275,3850277;0,049024413;1,68538E-07;0,002900204;0,000336116;0,48629887;0,051768441;0,017507705;0,001751652;0,001450617;3,35202E-05;0,000569864;1,59906E-06;0,00068785;0,239172118;294,3966213;74,81881925
0,976844169;3,44134E-06;0,015263433;0,000369911;0,633133737;0,063138242;0,010318524;0,027928069;9,25803E-05;0,000337643;27,09205887;35,3754317;50,16369115;9,263709923;5,127051754;2,53335E-05;0,008050535;1,36665E-05;0,017188744;0,119431146;0,001359632;0,010688291;47,61420026;52,92415694;95,35631141;74,22245558;5,91732E-05;0,009432065;0,000483963;0,174389963;0,002664755;0,031732718;0,07186948;0,000725353;2,7868E-05;0,000277721;2,23386E-06;4,996136181;0,377294905;0,521497152;2,61042E-05;5,04096E-05;3,42024E-07;3,51051E-06;6,08955E-06;8,17189E-05;0,001245709;2,23465E-05;6,08932E-05;1,61634E-06;0,000360086;0,006544704;0,025430748;0,002894061;0,000219769;1,99514E-05;4,52487E-06;3,45184E-06;0,000435505;0,000157542;1,44903E-05;0,000379225;0,000808436;1,70544E-05;0,000207522;3,33032E-06;0,000442407;0,504912455;0,650655086;0,130794922;4,4885E-05;0,039516683;0,00078613;3,03507E-06;0,000100263;9,00798E-07;0,000501119;0,051613091;0,087480027;0,04800122;0,000192357;3,84954E-06;2,51014E-05;2,70653E-06;0,000105123;0,020972399;0,08157242;0,03277281;9,10447E-05;0,000371846;1,15718E-06;0,000107581;0,040846071;0,090699161;0,047799863;4,06186E-05;3,22955E-05;0,000726976;0,003772201;0,001576792;5,12581E-06;3,9391E-05;0,000208479;8,69793E-05;2,98442E-06;0,000256338;0,000730025;0,000458533;9,07595E-06;1,33763E-06;1,37375E-05;0,00031121;0,001316086;0,000741619;0,001824834;0,001702147;0,003675121;0,001913785;0,00974497;0,022917807;0,041778665;0,010535482;3,07832E-05;0,001673466;0,000314859;0,000197085;0,002705144;0,006320452;0,019407687;388,3022729;123,6223214;275,4009333;0,070337291;4,55843E-06;0,000438518;5,20607E-05;0,462931684;0,036432946;0,085915441;0,010506514;0,002171129;8,81026E-05;0,000224724;3,01958E-07;7,94511E-05;0,307670163;294,4194264;74,97215063
0,947244811;1,10198E-05;0,007028475;0,000136957;0,644786204;0,095526491;0,024679975;0,059967366;0,00036355;5,04197E-05;27,03180199;35,42122028;50,13533937;9,239899312;5,140578206;2,42651E-05;0,005959873;0,000478135;0,034474619;0,098027852;0,024558192;0,008609017;47,54606358;52,92594575;95,36970132;74,23377055;0,000100404;0,000649734;1,89111E-05;0,207910997;0,002699078;0,030323299;0,055659825;0,002626191;6,4381E-05;0,000381316;9,13851E-06;4,985090403;0,378032031;0,528983647;1,35135E-06;5,57603E-05;1,62583E-06;4,28161E-05;9,72102E-05;7,09686E-05;0,000181888;6,07899E-05;0,000278755;8,16066E-07;0,000115992;0,006931088;0,02367035;0,00440247;4,80601E-05;3,96359E-05;1,33675E-05;5,82856E-06;0,000428976;0,000153619;0,000216417;0,000376259;0,000272671;2,38327E-06;2,49319E-05;9,4239E-08;5,18365E-05;0,504910671;0,661283652;0,141423366;6,23633E-05;0,066887224;0,001141457;2,09668E-05;3,68185E-05;2,41966E-07;0,000783841;0,083163501;0,129680505;0,09019838;0,001248607;8,37698E-06;0,000137171;3,4547E-06;0,000984431;0,02281706;0,064781617;0,04070299;3,55547E-05;3,76518E-05;4,90354E-07;0,000328924;0,040209606;0,110333735;0,057799374;1,02209E-05;0,000121379;0,001051317;0,00286906;0,001629794;1,11296E-06;7,30652E-05;0,000165438;7,75862E-05;8,76868E-07;0,000302307;0,00080778;0,000355838;1,06733E-05;1,18634E-05;2,23827E-06;0,000651483;0,001438436;0,00067088;0,010890246;0,005550055;0,002282004;0,005610123;0,019799815;0,057793325;0,101925568;0,020194758;3,78656E-05;0,000714098;0,000490325;0,000197905;0,027143747;0,027233803;0,015237026;388,3129229;123,6080562;275,3881914;0,073641334;3,38147E-05;0,015739913;0,000157835;0,420599881;0,146296127;0,023888438;0,002384877;0,000162897;7,35414E-05;1,6101E-05;1,09496E-06;1,63776E-05;0,226876154;294,4059887;74,70281616
0,977567051;4,26027E-05;0,013676043;0,000247771;0,566820913;0,14834967;0,000422849;0,081947894;0,000187307;0,000167059;27,00113085;35,41709668;50,10022777;9,281136382;5,10325883;1,81165E-05;0,005988195;0,000386845;0,056650333;0,122357618;0,05756174;0,010701733;47,50553008;52,9419561;95,3840485;74,19534272;7,11994E-05;0,012135825;0,000534732;0,198200792;0,002083596;0,008047658;0,051565617;0,002224516;6,83143E-05;4,70993E-05;1,44287E-07;4,96635749;0,357002344;0,54555249;6,20851E-06;5,92157E-05;4,42705E-07;0,00012792;1,16825E-05;5,592E-05;0,000203757;1,00615E-05;9,65669E-05;2,402E-08;8,44728E-05;0,014683484;0,023947652;0,002320047;6,57113E-05;2,38924E-05;6,11425E-05;1,35965E-06;9,29857E-05;0,000211032;0,00045875;0,000362633;0,000159358;6,24919E-05;0,000281085;4,94239E-06;0,000123856;0,50807295;0,662486013;0,137070779;2,39737E-05;0,051389544;0,0017379;2,23481E-05;0,000169283;7,35268E-06;0,00036018;0,082344969;0,126911493;0,068567265;0,001076425;7,45252E-05;0,000576986;1,46909E-06;0,000462444;0,0216928;0,063139736;0,040242795;8,25595E-06;2,43449E-05;1,84705E-06;0,000283836;0,028420828;0,123058623;0,058004113;4,73734E-06;3,53668E-06;0,001598066;0,002996513;0,001201892;7,08503E-06;5,61548E-05;0,000170816;0,000108709;4,63401E-07;0,000194079;0,000812233;0,000555987;2,09024E-05;2,29034E-06;2,73677E-06;0,000221696;0,001384747;0,000909682;0,016200958;0,002168811;0,002349317;0,013253894;0,029808445;0,068455269;0,132236693;0,014180575;6,13167E-05;0,005939584;5,1602E-05;0,035727145;0,034703219;0,005881861;0,000563712;388,3109756;123,5890208;275,3838008;0,032684404;4,41809E-05;0,001437609;5,65562E-05;0,450862292;0,021690888;0,055353072;0,013633347;0,000337078;6,19298E-05;5,61959E-05;7,99234E-07;0,000941292;0,171466251;294,4117755;74,54589049
0,977742597;1,25705E-05;0,000100974;0,000519997;0,581138646;0,170039495;0,023521136;0,081947826;5,8684E-05;0,000532703;27,02274654;35,40274482;50,07945224;9,24559036;5,102155666;1,3478E-05;0,011734334;0,000115511;0,036414163;0,122379526;0,037642016;0,007071449;47,52735563;52,94665451;95,38613611;74,20418101;6,98211E-05;0,010887591;1,37662E-05;0,204420046;0,002767016;0,004046318;0,055362956;1,03208E-05;1,37962E-05;0,000466263;8,35762E-06;4,96191487;0,37282043;0,535050188;5,41079E-06;4,19583E-05;5,61353E-06;1,31335E-05;8,14143E-05;0,000130849;0,000658574;9,70806E-05;0,000358128;1,62459E-06;0,000273084;0,018402114;0,025795763;0,003248539;0,000333615;4,30935E-05;0,000109666;3,08216E-06;0,000229247;0,000150816;5,07554E-05;0,000376279;0,001701999;1,85415E-05;2,04902E-06;1,43244E-06;0,000105225;0,509312291;0,661857342;0,136397196;9,228E-05;0,049437997;0,000278756;2,19965E-05;5,01941E-06;1,69721E-06;0,000170085;0,087842272;0,130533293;0,072190168;0,001885709;3,02147E-05;6,22445E-05;1,93021E-06;0,000950942;0,02212061;0,075117857;0,039768768;6,22245E-05;0,0001005;1,16542E-08;0,000451115;0,035870664;0,128634531;0,063572973;4,28089E-05;0,000283542;0,000930846;0,002674496;0,001603735;5,80302E-07;3,88693E-05;0,000244627;8,13688E-05;3,03265E-07;0,000325898;0,000802853;0,000443575;2,75759E-07;8,86887E-06;1,67873E-05;0,000629166;0,001405987;0,000716785;0,014509194;0,007216744;0,00243646;0,008805799;0,023491953;0,062138883;0,118599034;0,016932646;6,38819E-05;0,017885496;0,000481833;0,021893421;0,03090175;0,000524743;0,014566542;388,3091047;123,5861486;275,3818534;0,036511635;2,63474E-05;0,00100977;0,000165447;0,465529801;0,012049317;0,074204062;0,02030525;0,000666453;3,02783E-05;8,45752E-05;1,29899E-06;3,95371E-05;0,19160791;294,4165981;74,62311105
0,970256807;3,86501E-05;0,007980133;0,000323625;0,5690748;0,200989507;0,021067051;0,100046255;3,72672E-05;0,001012609;27,04101812;35,40099548;50,01453752;9,25069357;5,124743156;2,10364E-06;0,000106164;3,60953E-05;0,010354085;0,119500538;0,005389503;0,01184039;47,53913227;52,95440169;95,39532762;74,21164462;3,47088E-05;0,012360297;0,000323297;0,230099218;0,006895667;0,064570244;0,039590644;3,6962E-05;2,65486E-05;1,55966E-05;2,85796E-07;4,950455687;0,364386721;0,52602802;2,81507E-06;5,04967E-06;1,31986E-06;8,63583E-05;3,17607E-05;0,000132026;0,000414416;1,44815E-05;7,86882E-05;6,78303E-06;4,86244E-05;0,007335204;0,021322437;0,003225759;4,62205E-05;6,09907E-05;0,000252339;3,91784E-06;0,000111726;0,000205616;0,000227286;0,000400435;0,000796661;4,67098E-05;1,78039E-05;3,55298E-06;0,00055884;0,505344938;0,661310648;0,135830341;2,97895E-05;0,058423035;0,000756269;2,09172E-05;9,63298E-05;1,06222E-06;0,000189026;0,098005504;0,144116076;0,085773139;0,001873991;6,62521E-06;0,000128665;5,0311E-07;0,000543642;0,013983541;0,061291428;0,025927452;0,000143108;0,000108021;3,57263E-06;0,000141934;0,037056736;0,133234291;0,068175344;1,01032E-06;0,000351041;0,000843795;0,003030948;0,001921343;1,87526E-06;4,70722E-05;0,000216638;8,51163E-05;7,63558E-07;0,000461009;0,000797983;0,000325079;3,32831E-06;4,61871E-06;1,58353E-05;0,000388408;0,001381952;0,000894041;0,013360591;0,006365802;0,000388187;0,01096601;0,014231314;0,070613049;0,115924953;0,02846228;9,86626E-05;0,004371632;0,000590932;0,003556231;0,022067774;0,007284254;0,013385401;388,3125197;123,5780714;275,3724782;0,058001063;5,5415E-05;0,001262365;3,45813E-05;0,490825163;0,037569475;0,005444794;0,015577281;0,002223617;2,74956E-05;0,000494034;1,46056E-07;5,79996E-05;0,19383989;294,4117565;74,65806533
0,967439936;3,7718E-05;0,006475696;0,00017873;0,56859106;0,159426811;0,024721327;0,160189724;0,000170435;0,0006088;27,0220295;35,37015005;50,05851597;9,259402637;5,130432595;1,61605E-05;0,008363388;6,5949E-06;0,005823547;0,07638003;0,006072183;0,003080826;47,55501911;52,95410192;95,41992085;74,19751148;5,99873E-05;0,010156569;0,000465486;0,147378018;0,006931889;0,058355996;0,024472131;0,003130991;9,53274E-05;5,87821E-05;1,6887E-06;4,96311668;0,400937726;0,525968126;6,88386E-05;5,57957E-05;3,2233E-06;5,79552E-05;1,75305E-05;6,60478E-05;0,000977602;8,8252E-06;0,00019528;2,0453E-06;0,000396948;0,016202066;0,019470049;0,001941868;0,00048579;2,66327E-05;5,89158E-05;1,31876E-06;5,94322E-06;0,000243239;7,88879E-05;0,000386748;4,96408E-06;3,05016E-05;0,000237255;5,93333E-06;0,00020728;0,497775844;0,677476854;0,133660125;2,33819E-05;0,064412663;0,000716126;1,19679E-06;9,57331E-05;7,23009E-06;0,000440137;0,113488434;0,183321113;0,091499254;9,94519E-05;3,8362E-06;0,000494567;5,26228E-07;0,000156584;0,020025908;0,091527842;0,030150619;6,44991E-05;2,65485E-05;2,40193E-06;3,19981E-05;0,046548512;0,166445831;0,068864702;1,00257E-05;6,31559E-05;0,001114332;0,003666743;0,001273405;1,61075E-06;8,09401E-05;0,000179368;6,70095E-05;7,58873E-08;0,000384166;0,000768685;0,000310207;1,58642E-05;2,72316E-07;1,03752E-05;0,000276679;0,001173725;0,000825911;0,001966838;0,003265674;0,008630919;0,005300336;0,031613306;0,056162949;0,106940022;0,015784786;0,000123295;0,004054601;0,000623432;0,012775228;0,006163774;0,00041533;0,003897808;388,3362413;123,5979384;275,3567287;0,025505243;8,84873E-06;0,006878756;1,32331E-05;0,574830903;0,196471845;0,052894499;0,02593134;0,000712736;1,92451E-05;6,66504E-06;4,57436E-07;0,000428624;0,184612057;294,3911967;74,65472065
0,971560937;2,20382E-05;0,008379513;0,000189571;0,567150017;0,176782168;0,024243139;0,146221696;0,000222015;0,000271588;27,01186992;35,34430062;50,10889484;9,229718668;5,121770064;5,45262E-05;0,003311826;2,11547E-05;0,002118117;0,088766919;0,005229537;0,008818671;47,53992462;52,96456283;95,42304685;74,19624137;3,20899E-06;0,005637284;0,000233073;0,075565972;0,006724892;0,085524411;0,030942283;0,000631778;4,26907E-05;5,37721E-05;4,17813E-06;4,976004733;0,407159299;0,532303346;1,41378E-05;1,09695E-05;9,27311E-07;7,61329E-05;7,1978E-05;8,59643E-05;0,001581244;7,42027E-05;0,000183051;4,13966E-06;5,82978E-05;0,009980509;0,020107445;0,004223051;0,00014822;2,69214E-05;1,8552E-05;2,13808E-07;0,000170005;0,000137702;0,000430967;0,000358286;0,001968974;5,03041E-05;0,000315669;1,97776E-06;0,000363089;0,492615291;0,665232546;0,150454172;2,39218E-05;0,051747648;2,97391E-05;4,52567E-05;4,39419E-05;1,47765E-06;0,000318037;0,105027862;0,167768963;0,085651733;4,45388E-05;1,51008E-05;0,000363078;3,23849E-06;0,000651523;0,015980055;0,079031716;0,039672091;4,93403E-05;0,00026355;4,0839E-06;0,000396315;0,050766484;0,163570663;0,065986489;9,1788E-07;7,56651E-05;0,000772589;0,002924743;0,00182895;1,14928E-06;3,66871E-05;0,000166355;0,000124834;1,91805E-06;0,00025634;0,000790195;0,000531158;1,13601E-05;1,83716E-06;1,06961E-05;0,000616428;0,001447444;0,000608001;0,001649424;0,001328234;0,003562759;0,014827696;0,03760322;0,061138978;0,120110312;0,002391056;0,000111697;0,01370823;0,000611848;0,014727702;0,008601874;0,003945571;0,000780437;388,3291545;123,5898267;275,3538665;0,023459439;4,47177E-05;0,003846854;0,00023522;0,651440216;0,126219968;0,016818683;0,042526192;0,00119837;1,01533E-05;2,93472E-05;5,89333E-07;0,000443017;0,16636357;294,3980596;74,59804781
0,97077812;5,43535E-05;0,012408175;6,57006E-05;0,598960005;0,171943316;0,014405627;0,144441577;2,83827E-05;0,000368176;27,10957518;35,39705582;49,97653203;9,205474445;5,105582877;2,08244E-05;0,002866107;0,000491783;0,034293378;0,069209501;0,007688101;0,036351678;47,62389926;52,94177336;95,39490458;74,16530799;3,14726E-05;0,011591318;6,75387E-05;0,048924482;0,007139414;0,086669548;0,063898822;0,000788323;3,23157E-05;2,04504E-05;1,44261E-06;4,959429164;0,438088561;0,521148939;7,82417E-06;3,00354E-05;2,13655E-06;6,5063E-05;9,80881E-05;5,0193E-05;0,00143849;1,50268E-05;8,06641E-06;2,45758E-07;0,000361859;0,016605832;0,018890316;0,003934037;0,00030745;7,06494E-05;5,78885E-05;1,41346E-08;0,000243401;0,000161576;4,26556E-05;0,000438525;0,000410554;3,01822E-06;3,56008E-05;1,33555E-06;0,000631134;0,49025835;0,659985581;0,145229446;1,9028E-05;0,039286247;0,000879368;4,49962E-05;0,000268956;7,5181E-06;0,000205986;0,103145681;0,163001563;0,080883143;0,001037771;9,16344E-05;0,000105007;5,40834E-07;0,000181614;0,015151207;0,073710905;0,035749874;5,25789E-05;0,00024913;6,11867E-06;0,000268274;0,061348439;0,171265028;0,073675416;4,08074E-06;5,88005E-05;0,000979499;0,002673271;0,001456646;5,89349E-06;7,57201E-05;0,000172089;9,98609E-05;4,20895E-07;0,000221362;0,000790849;0,000277862;3,14292E-08;1,9264E-06;2,4591E-05;0,000275865;0,001222993;0,000853862;0,015772708;0,001734111;0,003678491;0,005984716;0,003483302;0,026767254;0,057420583;0,013231641;0,000121769;0,00626652;0,000633035;0,019438759;0,014679331;0,011566888;0,002331574;388,3262684;123,6020909;275,3823894;0,032466445;5,8923E-06;0,006387642;6,41017E-05;0,594938394;0,121092433;0,005698391;0,020555087;0,000310341;3,14386E-05;0,000428175;8,82245E-07;9,22764E-05;0,277776826;294,4020062;74,95383068
