Study area (LWR);Functional Group;Compartment;Family;Studied taxon;Column;LWR;[W];[L];Source;meanL;Source;C/W-ratio;Source;Comments
Meta-analysis;gelatinous zooplankton;Hydro;Corynidae;Sarsia tubulosa;S.tubulosa;10^(-0.3431+0.0605*log10(L));C [mg];bell diameter [mm];Lucas et al. (2014);9;Lucas et al. (2014);;;primary LWR source: Jankowski (2000) J Plankton Res, 22: 1329-1340.
Meta-analysis;gelatinous zooplankton;Hydro;Rathkeidae;Rathkea octopuntata;R.octopunctata;10^(-0.3431+0.0605*log10(L));C [mg];bell diameter [mm];Lucas et al. (2014);4,5;Lucas et al. (2014);;;primary LWR source: Jankowski (2000) J Plankton Res, 22: 1329-1340.
Meta-analysis;gelatinous zooplankton;Hydro;Bougainvilliidae;Nemopsis bachei;Nemopsis_sp;10^(-0.3431+0.0605*log10(L));C [mg];bell diameter [mm];Lucas et al. (2014);5,5;Lucas et al. (2014);;;Primarily occurring Nemopsis taxa in Wadden Sea (see Van Walraven et al., 2016)-->treated as Nemopsis sp.
Meta-analysis;gelatinous zooplankton;Hydro;Phialellidae;Phialella sp.;Phialella_sp;10^(-0.3431+0.0605*log10(L));;;*treated as other hydrozoans;;;;;
Meta-analysis;gelatinous zooplankton;Hydro;Lovenellidae;Eucheilota sp.;Eucheilota_sp;10^(-0.3431+0.0605*log10(L));;;*treated as other hydrozoans;;;;;
Meta-analysis;gelatinous zooplankton;Hydro;Campanulariidae;Clytia haemispherica;Clytia_sp;10^(-0.3431+0.0605*log10(L));;;*treated as other hydrozoans;6,405;Lucas et al. (1995);;;"Primarily occurring Clytia taxa in Wadden Sea (see Laakmann & Holst, 2013)-->treated as Clytia sp. ; use of average size of the average size range: 5.67-7.14"
Meta-analysis;gelatinous zooplankton;Hydro;Bougainvilliidae;Bougainvillia sp.;Bougainvillia_sp;10^(-0.3431+0.0605*log10(L));;;*treated as other hydrozoans;;;;;
Meta-analysis;gelatinous zooplankton;Hydro;Campanulariidae;Obelia geniculata;O.geniculata;10^(-0.3431+0.0605*log10(L));;;*treated as other hydrozoans;;;;;
Meta-analysis;gelatinous zooplankton;Mlei;;Mnemiopsis leidyi;M.leidyi;1.074*L^(2.76);WW [mg];oral-apical length [mm];Lucas et al. (2014);5;;0,0015;Lucas et al. (2014);"primary LWR source: Finenko et al. (2001) Hydrobiologia, 451: 177-186. ; primary C/W source: Shushkina et al. (2000) Oceanology, 40: 809-816."
Meta-analysis;gelatinous zooplankton;Ppil;;Pleurobrachia pileus;P.pileus;0.682*L^(2.522);WW [mg];oral-apical length [mm];Lucas et al. (2014);7,5;Timm Kress (pers. communication);0,001849;Lucas et al. (2014);"primary LWR & ratios source: Mutlu & Bingel (1999) Mar Biol, 135: 589-601. ; DW/WW=0,043 ; C/DW=0,043"
Meta-analysis;gelatinous zooplankton;Bcu;;Beroe cucumis;B.cucumis;1.77*L^(2.33);WW [mg];oral-apical length [mm];Lucas et al. (2014);12;Timm Kress (pers. communication);0,0015;Lucas et al. (2014);"primary LWR source: Finenko et al. (2001) Hydrobiologia, 451: 177-186. ; primary C/W source: Shushkina et al. (2000) Oceanology, 40: 809-816."
Western English Channel+Celtic Sea;mesozooplankton;Cop;;Acartia sp.;Acartia_sp;0.0299*L^(2.8348);WW [mg];total length [mm];Pitois et al. (2021);0,9;Pitois et al. (2021);0,453;Silberberger et al. (2020);assuming a DW/WW-ratio of 0.15 (see Van Der Meeren et al., 2007)
Western English Channel+Celtic Sea;mesozooplankton;Cop;;Temora sp.;T.longicornis;0.0299*L^(2.8348);WW [mg];total length [mm];Pitois et al. (2021);1,7;Pitois et al. (2021);0,433;Silberberger et al. (2020);assuming a DW/WW-ratio of 0.15 (see Van Der Meeren et al., 2007)
Western English Channel+Celtic Sea;mesozooplankton;Cop;;Centropages sp.;C.hamatus;0.0299*L^(2.8348);WW [mg];total length [mm];Pitois et al. (2021);1,3;Pitois et al. (2021);;;"assuming a DW/WW-ratio of 0.15 (see Van Der Meeren et al., 2007); LWR & mean size applied for Pseudocalanus elongatus"
Western English Channel+Celtic Sea;mesozooplankton;Cop;;Para-Pseudocalanus sp.;P.elongatus;0.0299*L^(2.8348);WW [mg];total length [mm];Pitois et al. (2021);1,1;Pitois et al. (2021);0,497;Silberberger et al. (2020);"assuming a DW/WW-ratio of 0.15 (see Van Der Meeren et al., 2007); LWR & mean size applied for Paracalanus parvus"
Western English Channel+Celtic Sea;mesozooplankton;Cop;;Para-Pseudocalanus sp.;P.parvus;0.0299*L^(2.8348);WW [mg];total length [mm];Pitois et al. (2021);1,1;Pitois et al. (2021);;;assuming a DW/WW-ratio of 0.15 (see Van Der Meeren et al., 2007)
Western English Channel+Celtic Sea;mesozooplankton;Cop;;Oithona sp.;Oithona_sp;0.0299*L^(2.8348);WW [mg];total length [mm];Pitois et al. (2021);0,8;Pitois et al. (2021);0,465;Silberberger et al. (2020);assuming a DW/WW-ratio of 0.15 (see Van Der Meeren et al., 2007)
Western English Channel+Celtic Sea;mesozooplankton;Cop;;Harpacticoida;harpacticoids;0.0299*L^(2.8348);WW [mg];total length [mm];Pitois et al. (2021);0,7;Pitois et al. (2021);;;assuming a DW/WW-ratio of 0.15 (see Van Der Meeren et al., 2007)
Bay of Marennes-Oléron;mesozooplankton;Clado;;Podon sp.;Podon_sp;0,72;C [ug];;Sautour & Castel (1995);;;;;
Bay of Marennes-Oléron;mesozooplankton;Clado;;Evadne sp.;Evadne_sp;0,32;C [ug];;Sautour & Castel (1995);;;;;
Laboratory culture;mesozooplankton;Tun;;Oikopleura dioica;tunicates;1.06*10^(-7)*L^(2.60);C [ug];body length [um];Lombard et al. (2009);846,97;Lombard et al. (2009);;;use of mean of the average O. dioica sizes which where fed at different alcal concentrations: 709.54um-984.40um
North Sea (Helgoland);meroplankton;Poly;;Lanice conchilega;Lanice;7,668;C [ug];;Franco-Santos et al. (2019);;;;;average in situ carbon content
Baltic Sea (Knebel Vig)+mesocosm;meroplankton;Poly;Spionidae;Polydora sp.;Spionidae;1.58*10^(-4)*L^(1.38);C [ug];body length [um];Hansen (1999);700;Pitois et al. (2021);;;
Baltic Sea (Knebel Vig)+mesocosm;meroplankton;Poly;Spionidae;Spio/Microcospio sp.;Spionidae;1.34*10^(-5)*L^(1.79);C [ug];body length [um];Hansen (1999);700;Pitois et al. (2021);;;
Baltic Sea (Knebel Vig)+mesocosm;meroplankton;Poly;Nereis;Nereis (Neanthes) succinea;Nereis;1.42*10^(-4)*L^(1.47);C [ug];body length [um];Hansen (1999);700;Pitois et al. (2021);;;LWR applied for Nereis sp.
Wadden Sea;meroplankton;Poly;;Magelone papilicornis;Magelona;5;DW [ug];;Martens & Beusekom (2008);;;0,373;Silberberger et al. (2020);LWR applied for Magelona sp.
Wadden Sea;meroplankton;Gastr;;Gastropoda;gastropods;2;DW [ug];;Martens & Beusekom (2008);;;0,335;Silberberger et al. (2020);rejected LWR-biomass calculation of Hansen & Ockelmann (1991): seems to be heavily overestimating biomass of gastropod larvae (~factor 100)
Baltic Sea (Kalø Vig);meroplankton;Biv;;Mytilus edulis;Bivalvia;3.06*10^(-8)*L^(2.88);C [ug];shell length [um];Fotel et al. (1999);250;Hendriks et al. (2005);;;roughly estimated mean size value based on the publication of Hendriks: performed length measurements of various species, alternatively use size estimate for bivalve larvae of Pitois (2021): 0.5mm
Long Island (North Atlantic);bacteria;Bac;;Bacteria;bacteria;20;C [fg];;Lee & Fuhrman (1987);;;;;average carbon content of a bacterial cell
Sylt-Romo Bight;fish;Her;;Clupea harengus;herring;0.315*exp(0.0283*L);FW [g];total length [mm];Fish monitoring, unpublished data;80;Fish monitoring, unpublished data;0,0986;de la Vega et al. (2018);"ash-free DW/FW=0.17 & C/ash-free DW=0.58 ; Primary source: Remmert, H. 1978. Ecosystem. Ecology. Springer-Verlag Berlin-Heidelberg, Germany, 169-2"
