Year;Month;Date;Station;number of hauls (benthic);number of hauls (pelagic);notes;;
2007;1;23.01.2007;Sylt-1;1;1;;;
2007;1;23.01.2007;Sylt-2;1;1;;;
2007;1;23.01.2007;Sylt-3;1;0;;;
2007;1;24.01.2007;Sylt-4;1;1;;;
2007;1;24.01.2007;Sylt-5;1;0;;;
2007;1;24.01.2007;Sylt-6;1;1;;;
2007;1;24.01.2007;Sylt-7;1;0;;;
2007;1;not sampled;Sylt-8;0;0;;;
2007;1;not sampled;Sylt-9;0;0;;;
2007;2;21.02.2007;Sylt-1;1;1;;;
2007;2;21.02.2007;Sylt-2;1;1;;;
2007;2;21.02.2007;Sylt-3;1;0;;;
2007;2;21.02.2007;Sylt-4;1;1;;;
2007;2;21.02.2007;Sylt-5;1;0;;;
2007;2;22.02.2007;Sylt-6;1;1;;;
2007;2;22.02.2007;Sylt-7;1;0;;;
2007;2;not sampled;Sylt-8;0;0;;;
2007;2;not sampled;Sylt-9;0;0;;;
2007;3;20.03.2007;Sylt-1;1;1;;;
2007;3;20.03.2007;Sylt-2;1;1;;;
2007;3;20.03.2007;Sylt-3;1;0;;;
2007;3;21.03.2007;Sylt-4;1;1;;;
2007;3;20.03.2007;Sylt-5;1;0;;;
2007;3;21.03.2007;Sylt-6;1;1;;;
2007;3;21.03.2007;Sylt-7;1;0;;;
2007;3;27.03.2007;Sylt-8;1;1;;;
2007;3;22.03.2007;Sylt-9;1;1;;;
2007;4;10.04.2007;Sylt-1;1;1;;;
2007;4;10.04.2007;Sylt-2;1;1;jellyfish;;
2007;4;10.04.2007;Sylt-3;1;0;;;
2007;4;10.04.2007;Sylt-4;1;1;jellyfish;;
2007;4;11.04.2007;Sylt-5;1;0;;;
2007;4;11.04.2007;Sylt-6;1;1;;;
2007;4;11.04.2007;Sylt-7;1;0;;;
2007;4;not sampled;Sylt-8;0;0;;;
2007;4;not sampled;Sylt-9;0;0;;;
2007;5;07.05.2007;Sylt-1;1;1;jellyfish;;
2007;5;07.05.2007;Sylt-2;1;1;jellyfish;;
2007;5;07.05.2007;Sylt-3;1;0;jellyfish;;
2007;5;07.05.2007;Sylt-4;1;1;jellyfish;;
2007;5;08.05.2007;Sylt-5;1;0;jellyfish;;
2007;5;08.05.2007;Sylt-6;1;1;jellyfish;;
2007;5;08.05.2007;Sylt-7;1;0;jellyfish;;
2007;5;not sampled;Sylt-8;0;0;;;
2007;5;not sampled;Sylt-9;0;0;;;
2007;6;04.06.2007;Sylt-1;1;1;jellyfish;;
2007;6;04.06.2007;Sylt-2;1;1;jellyfish;;
2007;6;04.06.2007;Sylt-3;1;0;;;
2007;6;04.06.2007;Sylt-4;1;1;jellyfish;;
2007;6;05.06.2007;Sylt-5;1;0;jellyfish;;
2007;6;05.06.2007;Sylt-6;1;1;jellyfish;;
2007;6;05.06.2007;Sylt-7;1;0;jellyfish;;
2007;6;not sampled;Sylt-8;0;0;;;
2007;6;not sampled;Sylt-9;0;0;;;
2007;7;02.07.2007;Sylt-1;1;1;jellyfish;;
2007;7;02.07.2007;Sylt-2;1;1;jellyfish;;
2007;7;02.07.2007;Sylt-3;1;0;jellyfish;;
2007;7;03.07.2007;Sylt-4;1;1;jellyfish;;
2007;7;02.07.2007;Sylt-5;1;0;jellyfish;;
2007;7;03.07.2007;Sylt-6;1;1;jellyfish;;
2007;7;03.07.2007;Sylt-7;1;0;jellyfish;;
2007;7;02.07.2007;Sylt-8;1;1;jellyfish;;
2007;7;03.07.2007;Sylt-9;1;1;jellyfish;;
2007;8;01.08.2007;Sylt-1;1;0;jellyfish;;
2007;8;14.08.2007;Sylt-1;1;1;jellyfish;;
2007;8;14.08.2007;Sylt-2;1;1;jellyfish;;
2007;8;01.08.2007;Sylt-3;1;0;;;
2007;8;14.08.2007;Sylt-4;1;1;jellyfish;;
2007;8;14.08.2007;Sylt-5;1;0;jellyfish;;
2007;8;20.08.2007;Sylt-6;1;1;jellyfish;;
2007;8;20.08.2007;Sylt-7;1;0;;;
2007;8;not sampled;Sylt-8;0;0;;;
2007;8;not sampled;Sylt-9;0;0;;;
2007;9;12.09.2007;Sylt-1;1;1;jellyfish;;
2007;9;12.09.2007;Sylt-2;1;1;jellyfish;;
2007;9;12.09.2007;Sylt-3;1;0;;;
2007;9;12.09.2007;Sylt-4;1;1;jellyfish;;
2007;9;12.09.2007;Sylt-5;1;0;jellyfish;;
2007;9;13.09.2007;Sylt-6;1;1;jellyfish;;
2007;9;13.09.2007;Sylt-7;1;0;;;
2007;9;not sampled;Sylt-8;0;0;;;
2007;9;not sampled;Sylt-9;0;0;;;
2007;10;15.10.2007;Sylt-1;1;1;jellyfish;;
2007;10;15.10.2007;Sylt-2;1;1;jellyfish;;
2007;10;15.10.2007;Sylt-3;1;0;jellyfish;;
2007;10;15.10.2007;Sylt-4;1;1;jellyfish;;
2007;10;16.10.2007;Sylt-5;1;0;jellyfish;;
2007;10;16.10.2007;Sylt-6;1;1;;;
2007;10;16.10.2007;Sylt-7;1;0;;;
2007;10;15.10.2007;Sylt-8;1;1;jellyfish;;
2007;10;16.10.2007;Sylt-9;1;1;jellyfish;;
2007;11;12.11.2007;Sylt-1;1;1;;;
2007;11;15.11.2007;Sylt-2;1;1;;;
2007;11;12.11.2007;Sylt-3;1;0;jellyfish, damaged equipment;;
2007;11;15.11.2007;Sylt-4;1;1;;;
2007;11;15.11.2007;Sylt-5;1;0;;;
2007;11;15.11.2007;Sylt-6;1;1;;;
2007;11;15.11.2007;Sylt-7;1;0;;;
2007;11;not sampled;Sylt-8;0;0;;;
2007;11;not sampled;Sylt-9;0;0;;;
2007;12;10.12.2007;Sylt-1;1;1;jellyfish;;
2007;12;10.12.2007;Sylt-2;1;1;;;
2007;12;10.12.2007;Sylt-3;1;0;;;
2007;12;10.12.2007;Sylt-4;1;1;jellyfish;;
2007;12;11.12.2007;Sylt-5;1;0;;;
2007;12;11.12.2007;Sylt-6;1;1;;;
2007;12;11.12.2007;Sylt-7;1;0;;;
2007;12;not sampled;Sylt-8;0;0;;;
2007;12;not sampled;Sylt-9;0;0;;;
2008;1;14.01.2008;Sylt-1;1;1;;;
2008;1;14.01.2008;Sylt-2;1;1;;;
2008;1;14.01.2008;Sylt-3;1;0;;;
2008;1;14.01.2008;Sylt-4;1;1;;;
2008;1;17.01.2008;Sylt-5;1;0;;;
2008;1;17.01.2008;Sylt-6;1;1;;;
2008;1;17.01.2008;Sylt-7;1;0;;;
2008;1;not sampled;Sylt-8;0;0;;;
2008;1;not sampled;Sylt-9;0;0;;;
2008;2;11.02.2008;Sylt-1;1;1;;;
2008;2;11.02.2008;Sylt-2;1;1;;;
2008;2;11.02.2008;Sylt-3;1;0;;;
2008;2;13.02.2008;Sylt-4;1;1;;;
2008;2;13.02.2008;Sylt-5;1;0;;;
2008;2;13.02.2008;Sylt-6;1;1;;;
2008;2;13.02.2008;Sylt-7;1;0;;;
2008;2;not sampled;Sylt-8;0;0;;;
2008;2;not sampled;Sylt-9;0;0;;;
2008;3;not sampled;Sylt-1;0;0;;;
2008;3;not sampled;Sylt-2;0;0;;;
2008;3;not sampled;Sylt-3;0;0;;;
2008;3;not sampled;Sylt-4;0;0;;;
2008;3;not sampled;Sylt-5;0;0;;;
2008;3;not sampled;Sylt-6;0;0;;;
2008;3;not sampled;Sylt-7;0;0;;;
2008;3;not sampled;Sylt-8;0;0;;;
2008;3;not sampled;Sylt-9;0;0;;;
2008;4;07.04.2008;Sylt-1;1;1;;;
2008;4;07.04.2008;Sylt-2;1;1;;;
2008;4;07.04.2008;Sylt-3;1;0;;;
2008;4;07.04.2008;Sylt-4;1;1;;;
2008;4;07.04.2008;Sylt-5;1;0;;;
2008;4;09.04.2008;Sylt-6;1;1;;;
2008;4;09.04.2008;Sylt-7;1;0;;;
2008;4;not sampled;Sylt-8;0;0;;;
2008;4;not sampled;Sylt-9;0;0;;;
2008;5;20.05.2008;Sylt-1;1;1;jellyfish;;
2008;5;20.05.2008;Sylt-2;1;1;jellyfish;;
2008;5;20.05.2008;Sylt-3;1;0;;;
2008;5;20.05.2008;Sylt-4;1;1;jellyfish;;
2008;5;22.05.2008;Sylt-5;1;0;;;
2008;5;22.05.2008;Sylt-6;1;1;;;
2008;5;22.05.2008;Sylt-7;1;0;jellyfish;;
2008;5;not sampled;Sylt-8;0;0;;;
2008;5;not sampled;Sylt-9;0;0;;;
2008;6;not sampled;Sylt-1;0;0;;;
2008;6;not sampled;Sylt-2;0;0;;;
2008;6;not sampled;Sylt-3;0;0;;;
2008;6;not sampled;Sylt-4;0;0;;;
2008;6;not sampled;Sylt-5;0;0;;;
2008;6;not sampled;Sylt-6;0;0;;;
2008;6;not sampled;Sylt-7;0;0;;;
2008;6;not sampled;Sylt-8;0;0;;;
2008;6;not sampled;Sylt-9;0;0;;;
2008;7;07.07.2008;Sylt-1;1;1;pelagic: 40 kg jellyfish;;
2008;7;07.07.2008;Sylt-2;1;1;;;
2008;7;07.07.2008;Sylt-3;1;0;;;
2008;7;08.07.2008;Sylt-4;1;1;;;
2008;7;08.07.2008;Sylt-5;1;0;;;
2008;7;08.07.2008;Sylt-6;1;1;;;
2008;7;08.07.2008;Sylt-7;1;0;;;
2008;7;not sampled;Sylt-8;0;0;;;
2008;7;not sampled;Sylt-9;0;0;;;
2008;8;19.08.2008;Sylt-1;1;1;;;
2008;8;19.08.2008;Sylt-2;1;1;;;
2008;8;19.08.2008;Sylt-3;1;0;;;
2008;8;19.08.2008;Sylt-4;1;1;jellyfish;;
2008;8;19.08.2008;Sylt-5;1;0;jellyfish;;
2008;8;21.08.2008;Sylt-6;1;1;jellyfish;;
2008;8;21.08.2008;Sylt-7;1;0;jellyfish;;
2008;8;not sampled;Sylt-8;0;0;;;
2008;8;not sampled;Sylt-9;0;0;;;
2008;9;17.09.2008;Sylt-1;1;1;;;
2008;9;17.09.2008;Sylt-2;1;1;jellyfish;;
2008;9;17.09.2008;Sylt-3;1;0;jellyfish;;
2008;9;17.09.2008;Sylt-4;1;1;jellyfish;;
2008;9;18.09.2008;Sylt-5;1;0;jellyfish;;
2008;9;18.09.2008;Sylt-6;1;1;jellyfish;;
2008;9;18.09.2008;Sylt-7;1;0;jellyfish;;
2008;9;not sampled;Sylt-8;0;0;;;
2008;9;not sampled;Sylt-9;0;0;;;
2008;10;27.10.2008;Sylt-1;1;1;;;
2008;10;27.10.2008;Sylt-2;1;1;;;
2008;10;27.10.2008;Sylt-3;1;0;;;
2008;10;27.10.2008;Sylt-4;1;1;jellyfish;;
2008;10;28.10.2008;Sylt-5;1;0;;;
2008;10;28.10.2008;Sylt-6;1;1;;;
2008;10;28.10.2008;Sylt-7;1;0;;;
2008;10;not sampled;Sylt-8;0;0;;;
2008;10;not sampled;Sylt-9;0;0;;;
2008;11;17.11.2008;Sylt-1;1;1;;;
2008;11;17.11.2008;Sylt-2;1;1;;;
2008;11;17.11.2008;Sylt-3;1;0;;;
2008;11;24.11.2008;Sylt-4;1;1;;;
2008;11;24.11.2008;Sylt-5;1;0;;;
2008;11;24.11.2008;Sylt-6;1;1;;;
2008;11;24.11.2008;Sylt-7;1;0;;;
2008;11;17.11.2008;Sylt-8;1;1;;;
2008;11;17.11.2008;Sylt-9;1;1;;;
2008;12;16.12.2008;Sylt-1;1;1;;;
2008;12;16.12.2008;Sylt-2;1;1;;;
2008;12;16.12.2008;Sylt-3;1;0;;;
2008;12;16.12.2008;Sylt-4;1;1;;;
2008;12;17.12.2008;Sylt-5;1;0;;;
2008;12;17.12.2008;Sylt-6;1;1;;;
2008;12;17.12.2008;Sylt-7;1;0;;;
2008;12;not sampled;Sylt-8;0;0;;;
2008;12;not sampled;Sylt-9;0;0;;;
2009;1;12.01.2009;Sylt-1;1;1;;;
2009;1;12.01.2009;Sylt-2;1;0;;;
2009;1;13.01.2009;Sylt-2;0;1;;;
2009;1;12.01.2009;Sylt-3;1;0;;;
2009;1;13.01.2009;Sylt-4;1;1;;;
2009;1;13.01.2009;Sylt-5;1;0;;;
2009;1;13.01.2009;Sylt-6;1;1;;;
2009;1;13.01.2009;Sylt-7;1;0;;;
2009;1;not sampled;Sylt-8;0;0;;;
2009;1;not sampled;Sylt-9;0;0;;;
2009;2;17.02.2009;Sylt-1;1;1;;;
2009;2;17.02.2009;Sylt-2;1;1;;;
2009;2;17.02.2009;Sylt-3;1;0;;;
2009;2;18.02.2009;Sylt-4;1;1;;;
2009;2;18.02.2009;Sylt-5;1;0;;;
2009;2;18.02.2009;Sylt-6;1;1;;;
2009;2;18.02.2009;Sylt-7;1;0;;;
2009;2;17.02.2009;Sylt-8;1;1;;;
2009;2;18.02.2009;Sylt-9;1;1;;;
2009;3;17.03.2009;Sylt-1;1;1;;;
2009;3;17.03.2009;Sylt-2;1;1;;;
2009;3;17.03.2009;Sylt-3;1;0;;;
2009;3;17.03.2009;Sylt-4;1;1;;;
2009;3;18.03.2009;Sylt-5;1;0;;;
2009;3;18.03.2009;Sylt-6;1;1;;;
2009;3;18.03.2009;Sylt-7;1;0;;;
2009;3;not sampled;Sylt-8;0;0;;;
2009;3;not sampled;Sylt-9;0;0;;;
2009;4;21.04.2009;Sylt-1;1;1;;;
2009;4;21.04.2009;Sylt-2;1;1;;;
2009;4;21.04.2009;Sylt-3;1;0;;;
2009;4;21.04.2009;Sylt-4;1;1;;;
2009;4;22.04.2009;Sylt-5;1;0;;;
2009;4;22.04.2009;Sylt-6;1;1;;;
2009;4;22.04.2009;Sylt-7;1;0;;;
2009;4;not sampled;Sylt-8;0;0;;;
2009;4;not sampled;Sylt-9;0;0;;;
2009;5;19.05.2009;Sylt-1;1;1;;;
2009;5;19.05.2009;Sylt-2;1;1;;;
2009;5;19.05.2009;Sylt-3;1;0;;;
2009;5;19.05.2009;Sylt-4;1;1;;;
2009;5;20.05.2009;Sylt-5;1;0;;;
2009;5;20.05.2009;Sylt-6;1;1;;;
2009;5;20.05.2009;Sylt-7;1;0;;;
2009;5;19.05.2009;Sylt-8;1;1;;;
2009;5;20.05.2009;Sylt-9;1;1;;;
2009;6;10.06.2009;Sylt-1;1;1;;;
2009;6;10.06.2009;Sylt-2;1;1;;;
2009;6;10.06.2009;Sylt-3;1;0;;;
2009;6;11.06.2009;Sylt-4;1;1;;;
2009;6;11.06.2009;Sylt-5;1;0;;;
2009;6;11.06.2009;Sylt-6;1;1;;;
2009;6;11.06.2009;Sylt-7;1;0;;;
