Sample label;Latitude (start of trawl);Longitude (start of trawl);Latitude 2 (end of trawl);Longitude 2 (end of trawl);Bathy depth [m] (start of trawl);Bathy depth [m] (end of trawl);Date/Time (start of trawl);Date/Time (end of trawl);Habitat;Mass [g] (total);Mass [g] (subsample);C. harengus TL [mm];C. harengus [#];Sex;Sal (PSU);Temp [Â°C] (at surface);Comment;# number before extrapolation
Sylt-1 trawl 1;55,05555;8,438433;55,0512;8,4534;12,3;12,2;2007-01-23T11:30;2007-01-23T11:45;Benthic;;;80;1;;;7;;
Sylt-1 trawl 1;55,05555;8,438433;55,0512;8,4534;12,3;12,2;2007-01-23T11:30;2007-01-23T11:45;Benthic;;;85;1;;;7;;
Sylt-1 trawl 1;55,05555;8,438433;55,0512;8,4534;12,3;12,2;2007-01-23T11:30;2007-01-23T11:45;Benthic;;;115;1;;;7;;
Sylt-2 trawl 1;55,036;8,463283;55,0316;8,46875;12,7;9,8;2007-01-23T12:40;2007-01-23T12:55;Benthic;54;;65;1;;;7;;
Sylt-2 trawl 1;55,036;8,463283;55,0316;8,46875;12,7;9,8;2007-01-23T12:40;2007-01-23T12:55;Benthic;54;;70;3;;;7;;
Sylt-2 trawl 1;55,036;8,463283;55,0316;8,46875;12,7;9,8;2007-01-23T12:40;2007-01-23T12:55;Benthic;54;;75;5;;;7;;
Sylt-2 trawl 1;55,036;8,463283;55,0316;8,46875;12,7;9,8;2007-01-23T12:40;2007-01-23T12:55;Benthic;54;;80;6;;;7;;
Sylt-2 trawl 1;55,036;8,463283;55,0316;8,46875;12,7;9,8;2007-01-23T12:40;2007-01-23T12:55;Benthic;54;;100;1;;;7;;
Sylt-2 trawl 1;55,036;8,463283;55,0316;8,46875;12,7;9,8;2007-01-23T12:40;2007-01-23T12:55;Benthic;54;;130;1;;;7;;
Sylt-2 trawl 1;55,019283;8,4554;55,0319;8,468083;10;11;2007-01-23T13:42;2007-01-23T13:55;Pelagic;80;;55;2;;;7;;
Sylt-2 trawl 1;55,019283;8,4554;55,0319;8,468083;10;11;2007-01-23T13:42;2007-01-23T13:55;Pelagic;80;;60;2;;;7;;
Sylt-2 trawl 1;55,019283;8,4554;55,0319;8,468083;10;11;2007-01-23T13:42;2007-01-23T13:55;Pelagic;80;;70;3;;;7;;
Sylt-2 trawl 1;55,019283;8,4554;55,0319;8,468083;10;11;2007-01-23T13:42;2007-01-23T13:55;Pelagic;80;;75;6;;;7;;
Sylt-2 trawl 1;55,019283;8,4554;55,0319;8,468083;10;11;2007-01-23T13:42;2007-01-23T13:55;Pelagic;80;;80;9;;;7;;
