Sample label;Latitude (start of trawl);Longitude (start of trawl);Latitude 2 (end of trawl);Longitude 2 (end of trawl);Bathy depth [m] (start of trawl);Bathy depth [m] (end of trawl);Date/Time (start of trawl);Date/Time (end of trawl);Habitat;Mass [g] (total);Mass [g] (subsample);O. eperlanus TL [mm];O. eperlanus [#];Sal (PSU);Temp [Â°C] (at surface);
Sylt-3 trawl 1;55,028;8,450167;55,037667;8,457;3,2;7,3;2007-01-23T09:50;2007-01-23T10:06;Benthic;;;60;1;;7;
Sylt-3 trawl 1;55,028;8,450167;55,037667;8,457;3,2;7,3;2007-01-23T09:50;2007-01-23T10:06;Benthic;;;65;2;;7;
Sylt-3 trawl 1;55,028;8,450167;55,037667;8,457;3,2;7,3;2007-01-23T09:50;2007-01-23T10:06;Benthic;;;70;1;;7;
Sylt-3 trawl 1;55,028;8,450167;55,037667;8,457;3,2;7,3;2007-01-23T09:50;2007-01-23T10:06;Benthic;;;75;2;;7;
Sylt-1 trawl 1;55,05555;8,438433;55,0512;8,4534;12,3;12,2;2007-01-23T11:30;2007-01-23T11:45;Benthic;;;60;1;;7;
Sylt-1 trawl 1;55,05555;8,438433;55,0512;8,4534;12,3;12,2;2007-01-23T11:30;2007-01-23T11:45;Benthic;;;70;2;;7;
Sylt-1 trawl 1;55,05555;8,438433;55,0512;8,4534;12,3;12,2;2007-01-23T11:30;2007-01-23T11:45;Benthic;;;80;3;;7;
Sylt-1 trawl 1;55,05685;8,43225;55,05415;8,444933;13,2;16;2007-01-23T12:11;2007-01-23T12:25;Pelagic;3;;75;1;;7;
Sylt-1 trawl 1;55,05685;8,43225;55,05415;8,444933;13,2;16;2007-01-23T12:11;2007-01-23T12:25;Pelagic;3;;85;1;;7;
Sylt-1 trawl 1;55,05685;8,43225;55,05415;8,444933;13,2;16;2007-01-23T12:11;2007-01-23T12:25;Pelagic;50;;180;1;;7;
Sylt-2 trawl 1;55,036;8,463283;55,0316;8,46875;12,7;9,8;2007-01-23T12:40;2007-01-23T12:55;Benthic;94;;50;1;;7;
Sylt-2 trawl 1;55,036;8,463283;55,0316;8,46875;12,7;9,8;2007-01-23T12:40;2007-01-23T12:55;Benthic;94;;55;2;;7;
Sylt-2 trawl 1;55,036;8,463283;55,0316;8,46875;12,7;9,8;2007-01-23T12:40;2007-01-23T12:55;Benthic;94;;60;3;;7;
Sylt-2 trawl 1;55,036;8,463283;55,0316;8,46875;12,7;9,8;2007-01-23T12:40;2007-01-23T12:55;Benthic;94;;65;5;;7;
Sylt-2 trawl 1;55,036;8,463283;55,0316;8,46875;12,7;9,8;2007-01-23T12:40;2007-01-23T12:55;Benthic;94;;70;14;;7;
Sylt-2 trawl 1;55,036;8,463283;55,0316;8,46875;12,7;9,8;2007-01-23T12:40;2007-01-23T12:55;Benthic;94;;75;8;;7;
Sylt-2 trawl 1;55,036;8,463283;55,0316;8,46875;12,7;9,8;2007-01-23T12:40;2007-01-23T12:55;Benthic;94;;80;7;;7;
Sylt-2 trawl 1;55,036;8,463283;55,0316;8,46875;12,7;9,8;2007-01-23T12:40;2007-01-23T12:55;Benthic;94;;85;4;;7;
