Sample label;Latitude (start of trawl);Longitude (start of trawl);Latitude 2 (end of trawl);Longitude 2 (end of trawl);Bathy depth [m] (start of trawl);Bathy depth [m] (end of trawl);Date/Time (start of trawl);Date/Time (end of trawl);Habitat;Mass [g] (total);Mass [g] (subsample);S. sprattus TL [mm];S. sprattus [#];Sal (PSU);Temp [Â°C] (at surface);Comment
Sylt-3 trawl 1;55,028;8,450167;55,037667;8,457;3,2;7,3;2007-01-23T09:50;2007-01-23T10:06;Benthic;;;50;1;;7;
Sylt-3 trawl 1;55,028;8,450167;55,037667;8,457;3,2;7,3;2007-01-23T09:50;2007-01-23T10:06;Benthic;;;60;1;;7;
Sylt-3 trawl 1;55,028;8,450167;55,037667;8,457;3,2;7,3;2007-01-23T09:50;2007-01-23T10:06;Benthic;;;85;1;;7;
Sylt-3 trawl 1;55,028;8,450167;55,037667;8,457;3,2;7,3;2007-01-23T09:50;2007-01-23T10:06;Benthic;;;90;1;;7;
Sylt-3 trawl 1;55,028;8,450167;55,037667;8,457;3,2;7,3;2007-01-23T09:50;2007-01-23T10:06;Benthic;;;110;1;;7;
Sylt-1 trawl 1;55,05555;8,438433;55,0512;8,4534;12,3;12,2;2007-01-23T11:30;2007-01-23T11:45;Benthic;;;50;2;;7;
Sylt-1 trawl 1;55,05555;8,438433;55,0512;8,4534;12,3;12,2;2007-01-23T11:30;2007-01-23T11:45;Benthic;;;55;3;;7;
Sylt-1 trawl 1;55,05555;8,438433;55,0512;8,4534;12,3;12,2;2007-01-23T11:30;2007-01-23T11:45;Benthic;;;60;5;;7;
Sylt-1 trawl 1;55,05555;8,438433;55,0512;8,4534;12,3;12,2;2007-01-23T11:30;2007-01-23T11:45;Benthic;;;65;2;;7;
Sylt-1 trawl 1;55,05555;8,438433;55,0512;8,4534;12,3;12,2;2007-01-23T11:30;2007-01-23T11:45;Benthic;;;70;2;;7;
Sylt-1 trawl 1;55,05555;8,438433;55,0512;8,4534;12,3;12,2;2007-01-23T11:30;2007-01-23T11:45;Benthic;;;80;1;;7;
Sylt-1 trawl 1;55,05555;8,438433;55,0512;8,4534;12,3;12,2;2007-01-23T11:30;2007-01-23T11:45;Benthic;;;100;1;;7;
Sylt-1 trawl 1;55,05555;8,438433;55,0512;8,4534;12,3;12,2;2007-01-23T11:30;2007-01-23T11:45;Benthic;;;120;1;;7;
Sylt-1 trawl 1;55,05685;8,43225;55,05415;8,444933;13,2;16;2007-01-23T12:11;2007-01-23T12:25;Pelagic;121;;50;8;;7;
Sylt-1 trawl 1;55,05685;8,43225;55,05415;8,444933;13,2;16;2007-01-23T12:11;2007-01-23T12:25;Pelagic;121;;55;3;;7;
Sylt-1 trawl 1;55,05685;8,43225;55,05415;8,444933;13,2;16;2007-01-23T12:11;2007-01-23T12:25;Pelagic;121;;60;8;;7;
Sylt-1 trawl 1;55,05685;8,43225;55,05415;8,444933;13,2;16;2007-01-23T12:11;2007-01-23T12:25;Pelagic;121;;75;5;;7;
Sylt-1 trawl 1;55,05685;8,43225;55,05415;8,444933;13,2;16;2007-01-23T12:11;2007-01-23T12:25;Pelagic;121;;80;5;;7;
Sylt-1 trawl 1;55,05685;8,43225;55,05415;8,444933;13,2;16;2007-01-23T12:11;2007-01-23T12:25;Pelagic;121;;85;2;;7;
Sylt-1 trawl 1;55,05685;8,43225;55,05415;8,444933;13,2;16;2007-01-23T12:11;2007-01-23T12:25;Pelagic;121;;90;2;;7;
Sylt-1 trawl 1;55,05685;8,43225;55,05415;8,444933;13,2;16;2007-01-23T12:11;2007-01-23T12:25;Pelagic;121;;120;1;;7;
Sylt-1 trawl 1;55,05685;8,43225;55,05415;8,444933;13,2;16;2007-01-23T12:11;2007-01-23T12:25;Pelagic;121;;150;1;;7;
Sylt-1 trawl 1;55,05685;8,43225;55,05415;8,444933;13,2;16;2007-01-23T12:11;2007-01-23T12:25;Pelagic;121;;65;6;;7;
Sylt-1 trawl 1;55,05685;8,43225;55,05415;8,444933;13,2;16;2007-01-23T12:11;2007-01-23T12:25;Pelagic;121;;70;4;;7;
Sylt-2 trawl 1;55,036;8,463283;55,0316;8,46875;12,7;9,8;2007-01-23T12:40;2007-01-23T12:55;Benthic;43;;50;7;;7;
Sylt-2 trawl 1;55,036;8,463283;55,0316;8,46875;12,7;9,8;2007-01-23T12:40;2007-01-23T12:55;Benthic;43;;55;10;;7;
Sylt-2 trawl 1;55,036;8,463283;55,0316;8,46875;12,7;9,8;2007-01-23T12:40;2007-01-23T12:55;Benthic;43;;60;10;;7;
