Datum;Uhrzeit;Station;Sal(psu);Temp(°C);pH;PO4(µM);Si SalzCorr;NH4(µM);NO2(µM);NO3µM;SM-Nuc(mg/l);Chla(µg/l)
06.01.2020;08:35;1;28,77;5,11;7,89;0,87;25,35;4,52;1,1;27,64;42,28;5,2
09.01.2020;08:15;1;27,76;5,4;7,83;0,8;27,02;5,85;1,5;31,26;19,92;2,8
13.01.2020;10:10;1;27,94;5,47;7,988;0,8;26,81;4,92;1,13;31,38;27,88;4,4
16.01.2020;08:30;1;28,53;5,97;7,85;0,82;27,14;4,66;0,91;29,57;22,54;3,8
16.01.2020;08:20;4;29,42;5,78;7,95;0,84;23,05;4,6;0,79;26,62;30,15;4,2
20.01.2020;10:20;1;28,47;5,51;7,95;0,87;27,16;3,81;0,42;31,49;28,14;4,3
20.01.2020;10:10;4;27,71;5,47;7,92;0,8;30,16;4,16;0,55;34,4;15,26;2,8
23.01.2020;08:20;1;27,7;5,4;7,9;0,77;29,11;4,43;0,52;34,05;26,28;2,5
27.01.2020;10:10;1;27,49;5,56;7,91;0,78;30,14;4,43;0,47;36,52;13,22;4,1
30.01.2020;08:15;1;28,11;5,53;8,055;0,85;29,02;3,56;0,27;35,1;19,65;2,6
03.02.2020;10:10;1;27,06;6;7,978;0,84;33,99;3,8;0,42;39,74;15,76;2,8
06.02.2020;08:20;1;26,98;5,51;8,039;0,83;33,47;3,82;0,47;40,19;26,09;3,5
10.02.2020;11:50;1;28,33;5,73;8,057;0,84;29,5;3,51;0,51;36,35;50,32;5,3
13.02.2020;08:20;1;27,49;4,76;8,057;0,68;30,97;3,39;0,56;38,95;42,51;5,9
18.02.2020;08:20;1;29,34;5,66;8,076;0,68;24,67;4,24;0,82;30,97;44,86;5,5
20.02.2020;08:20;1;27,71;5,63;8,02;0,65;30,14;3,82;0,66;37,04;69,24;7,3
24.02.2020;10:15;1;28,08;5,34;8,086;0,63;28,37;4,33;0,83;36,84;39,05;5,7
27.02.2020;08:10;1;27,19;4,91;7,971;0,63;32,15;3,85;0,87;40,66;25,99;3,9
02.03.2020;08:15;1;27,33;5,06;8,037;0,63;32,11;3,76;1,03;41,43;21,47;3,3
05.03.2020;08:15;1;27,18;5,32;8,001;0,64;32,63;3,79;1,05;42,22;21,42;3,5
09.03.2020;08:15;1;26,59;5,85;8,015;0,54;30,43;3,79;1,02;42,65;31,93;5,8
11.03.2020;12:00;1;27,22;6,3;8,015;0,58;30,67;3,42;1,12;42,71;31,86;5,9
16.03.2020;08:20;1;27,3;6,18;7,943;0,6;28,6;2,99;1,34;43,29;24,61;5,1
19.03.2020;08:30;1;26,78;6,62;8,053;0,52;29,94;2,59;1,16;45,32;20,57;5
23.03.2020;08:30;1;26,63;6,7;8,08;0,29;21,91;0,83;0,91;43,65;35,53;11,4
26.03.2020;08:15;1;27;5,72;8,139;0,36;23,67;0,81;0,8;44,9;31,52;9,7
30.03.2020;08:20;1;27,31;5,86;8,127;0,27;19,38;0,25;0,94;42,65;23,26;9,8
02.04.2020;08:20;1;28,22;6,12;8,145;0,16;15,05;0,13;0,95;39,08;32,84;16,1
06.04.2020;10:15;1;27,01;6,89;8,149;0,07;9,6;0,14;0,63;35,74;41,25;19,7
09.04.2020;08:20;1;27,32;8,27;8,19;0,05;5,46;0,19;0,57;33,12;13,42;11,6
14.04.2020;08:30;1;27,48;8,5;8,204;0,02;0,15;0,17;0,4;25,83;23,78;21,1
17.04.2020;08:20;1;27,64;8,41;8,35;0,03;0,18;0,37;0,35;20,75;16,99;15,7
20.04.2020;08:17;1;27,34;10;8,228;0,03;0,17;0,44;0,28;14,26;16,31;11,8
23.04.2020;08:15;1;27,85;10,36;8,263;0,03;0,21;0,36;0,26;13,57;14;11,3
27.04.2020;08:15;1;28,71;10,41;8,263;0,04;0,17;0,49;0,23;11,34;4,41;5,1
30.04.2020;08:20;1;27,75;10,51;8,265;0,05;0,24;0,34;0,19;8,43;3,01;9,3
04.05.2020;10:15;1;29,09;10,9;8,311;0,08;0,18;0,1;0,11;2,08;4,69;13,7
07.05.2020;08:15;1;28,75;11,35;8,377;0,15;0,24;0,17;0,02;0;9,85;14
11.05.2020;08:17;1;29,31;11,95;8,501;0,04;0,11;0,08;0,01;0;5,6;9,6
14.05.2020;08:25;1;30,09;11,12;8,453;0,04;0,1;0,17;0,02;0,09;5,15;6,5
18.05.2020;12:10;Fähre;29,81;12,2;8,331;0,11;0,16;0,33;0,04;0,16;4,48;4,6
20.05.2020;08:10;1;29,54;12,83;8,297;0,1;0,24;0,22;0,04;0,04;5,56;3,7
25.05.2020;08:25;1;30,13;13,72;8,153;0,05;0,49;0,15;0,01;0;8,33;1,5
28.05.2020;08:20;1;30,15;13,99;8,215;0,05;0,63;0,15;0,01;0;2,54;0,8
02.06.2020;08:20;1;30,44;15,93;8,12;0,2;0,16;0,78;0,05;1,01;10,83;1,7
04.06.2020;08:20;1;30,36;18,09;8,14;0,2;0,64;0,6;0,05;0,02;9,16;3
08.06.2020;14:25;Fähre;30,92;16,3;8,109;0,23;0,85;0,76;0,08;0;5,58;3,6
11.06.2020;07:03;Fähre;30,76;15,9;8,073;0,27;1,83;2,79;0,05;0,13;1,97;1,8
15.06.2020;10:05;Fähre;30,54;17,8;8,057;0,32;1,69;2,38;0,11;0,3;5,24;2,5
18.06.2020;13:15;Fähre;30,64;19,7;8,252;0,79;1,29;2,51;0,08;1,29;10,22;2,8
22.06.2020;14:15;Fähre;30,9;20,5;8,145;0,13;0,86;0,57;0,02;0,02;2,86;3,5
26.06.2020;06:50;Fähre;30,83;21,6;8,155;0,41;2,49;1,8;0,04;0,31;3,65;1,8
29.06.2020;08:15;1;31,34;20,51;8,09;0,1;0,48;0,26;0,01;0,01;5,53;3,6
02.07.2020;08:20;1;31,28;18,63;8,055;0,14;0,3;0,58;0,04;0,09;8,4;5,4
06.07.2020;08:15;1;31,03;17,57;8,131;0,16;0,35;0,81;0,16;0,34;20,51;12,6
09.07.2020;08:17;1;30,9;16,43;8,117;0,2;0,31;0,48;0,07;0,05;5,16;5,3
13.07.2020;08:37;1;30,96;16,29;8,139;0,21;0,61;0,17;0,01;0;4,66;3,2
13.07.2020;08:25;4;31;16,25;8,054;0,22;0,79;0,26;0,01;0;4,69;3
16.07.2020;08:19;1;30,9;17,09;8,154;0,24;0,81;0,24;0,03;0;8;4,3
20.07.2020;08:15;1;31,04;18,92;8,101;0,27;1,6;0,29;0,02;0,02;3,62;1,6
23.07.2020;08:10;1;31,03;18,4;8,127;0,22;1,71;0,13;0,02;0,09;3,04;1,5
27.07.2020;08:37;1;31,06;18,44;8,049;0,14;2,19;0,24;0,01;0;2,05;1,8
27.07.2020;08:23;4;31,13;18,41;8,035;0,2;2,21;0,53;0,03;0;4,24;1,8
30.07.2020;08:15;1;31;17,5;8,107;0,19;2,3;0,46;0,02;0,02;6,27;2,8
03.08.2020;08:15;1;30,92;18,1;8,13;0,25;1,92;0,33;0,03;0;0,39;1,9
06.08.2020;08:05;1;31;18,43;8,122;0,2;1,73;0,52;0,01;0;2,16;3,1
10.08.2020;11:10;1;31;20,96;8,11;0,27;1,07;0,23;0,01;0;2,52;2,8
13.08.2020;08:15;1;31,04;21,29;8,129;0,22;1,04;0,14;0,01;0;1,79;2,7
17.08.2020;08:20;1;31,52;22,98;8,237;0,62;0,85;0,11;0,01;0;3,64;2,7
20.08.2020;08:15;1;31,24;22,47;8,143;0,39;0,97;0,13;0,01;0;3,92;3,1
24.08.2020;08:25;1;31,2;20,84;8,1;0,26;4,03;0,13;0,02;0;2,86;4,1
27.08.2020;08:15;1;31,15;19,53;8,109;0,22;5,19;0,15;0,01;0,07;3,2;4,9
27.08.2020;08:55;4;31,17;19,3;8,109;0,26;4,82;0,16;0,02;0,01;6,23;5
31.08.2020;13:05;Fähre;31,01;19,1;8,111;0,39;2,1;0,51;0,02;0,05;2,86;3,5
04.09.2020;08:15;1;31,06;18,32;8,119;0,35;0,88;0,23;0,02;0;5,6;4,3
07.09.2020;11:05;1;31,03;16,78;8,145;0,36;0,79;0,17;0,06;0;2,25;4,1
10.09.2020;08:20;1;31,01;17;8,143;0,36;1,02;0,24;0,04;0,03;1,07;3,3
14.09.2020;11:30;Fähre;30,94;17,1;8,14;0,57;1,59;1,35;0,09;0;2,08;2,3
17.09.2020;15:00;Fähre;30,9;16,6;8,17;0,5;1,37;1;0,11;0;5,05;3,7
21.09.2020;14:55;Fähre;30,99;16,7;8,163;0,48;1,04;0,53;0,03;0,02;2,81;3,4
25.09.2020;08:45;Fähre;31,02;16;8,12;0,4;1,2;0,58;0,03;0,01;2,18;2,8
28.09.2020;08:30;1;30,94;15,36;8,14;0,45;0,99;1,06;0,07;0,12;4,8;4,8
01.10.2020;08:36;1;31;14,96;8,08;0,58;1,12;1,1;0,12;0,66;9,4;6,6
05.10.2020;10:05;Fähre;30,95;13,6;7,88;0,6;1,9;3,76;0,23;1,02;20,93;6,1
08.10.2020;09:30;1;31,06;14,26;8,12;0,43;0,62;0,43;0,05;0;5,48;5,9
12.10.2020;09:25;1;30,77;13,07;8,11;0,44;0,94;0,98;0,11;0,48;2,19;3,6
15.10.2020;09:25;1;30,37;11,52;8,53;0,47;1,5;2,21;0,25;1,16;23,16;4,1
19.10.2020;08:10;1;30,37;10,9;8,091;0,38;1,11;1,07;0,16;0,95;3,94;4,6
22.10.2020;08:55;Fähre;30,26;11,9;8,105;0,45;1,78;3,1;0,18;1,13;8,92;4
27.10.2020;08:15;1;30,51;11,42;8,079;0,53;2,6;1,86;0,2;1,55;19,7;5,8
29.10.2020;08:20;1;30,48;11,1;8,093;0,53;2,83;2,36;0,25;2,03;8,48;4,8
02.11.2020;10:11;1;30,28;11,6;8,021;0,51;2,72;2,91;0,31;2,6;7,58;5,3
05.11.2020;08:20;1;29,93;10,8;8,061;0,61;4,83;4,39;0,55;4,48;10,98;4,7
10.11.2020;08:35;Fähre;29,77;10,2;8,062;0,64;5,85;6,18;0,61;6,07;5,09;2,5
12.11.2020;08:15;1;29,71;9,55;8,021;0,65;6,38;6,31;0,65;6,57;6,36;2,8
16.11.2020;08:10;1;30,28;9,87;7,947;0,84;7,88;7,45;0,71;6,61;17,56;4,1
19.11.2020;08:15;1;30,2;10,17;7,965;0,86;10,04;8,54;1;8,35;27,96;4,5
23.11.2020;09:00;1;29,71;8,64;7,951;0,86;11,72;8,46;1,18;11,4;16,64;4
23.11.2020;08:50;4;29,66;8,73;7,917;0,89;13,32;9,33;1,2;10,89;16,65;3,3
26.11.2020;09:25;1;29,81;8,57;7,955;0,88;12,96;8,71;1,26;11,97;13,87;3
30.11.2020;11:40;Fähre;29,35;6,9;8,033;0,83;13,87;9,85;1,4;13,84;13,46;2,6
03.12.2020;08:25;1;29,37;6,24;7,982;0,84;14,54;9,7;1,47;14,77;16,3;3
07.12.2020;08:15;1;29,47;5,25;7,953;0,85;16,28;9,62;1,72;15,76;11,15;1,9
10.12.2020;08:20;1;30,29;5,82;7,997;0,96;15,93;8,21;1,66;14,08;12,72;2
10.12.2020;08:43;4;29,71;5,38;8,021;0,88;16,58;9,53;1,77;15,63;9,58;1,5
14.12.2020;10:30;1;29,69;4,71;7,961;0,9;17,4;9,63;1,88;16,38;15,49;2,4
17.12.2020;08:15;1;29,56;5,21;7,962;0,88;17,6;10,34;2,06;17,03;15,9;2,2
