Date;station;latitude;longitude;SST;salinity;pH;NH4;NO2;NO3;PO4;Si;chlorophyll a;SPM
28.06.1973;1;55,03000;8,46000;18,50;30,51;;;;;;;;
28.06.1973;2;55,01250;8,49000;19,80;30,37;;;;;;;;
02.07.1973;1;55,03000;8,46000;19,80;30,79;;;;;;;;
02.07.1973;2;55,01250;8,49000;20,50;30,56;;;;;;;;
05.07.1973;1;55,03000;8,46000;20,10;30,76;;;;;;;;
09.07.1973;1;55,03000;8,46000;16,90;31,02;;;;;;;;
09.07.1973;2;55,01250;8,49000;19,80;30,88;;;;;;;;
12.07.1973;1;55,03000;8,46000;18,20;31,04;;;;;;;;
12.07.1973;2;55,01250;8,49000;19,90;30,94;;;;;;;;
16.07.1973;1;55,03000;8,46000;19,10;31,18;;;;;;;;
16.07.1973;2;55,01250;8,49000;19,00;30,95;;;;;;;;
17.07.1973;1;55,03000;8,46000;19,00;31,20;;;;;;;;
18.07.1973;1;55,03000;8,46000;18,90;31,22;;;;;;;;
19.07.1973;1;55,03000;8,46000;18,50;31,27;;;;;;;;
19.07.1973;2;55,01250;8,49000;17,90;30,98;;;;;;;;
23.07.1973;1;55,03000;8,46000;17,20;31,01;;;;;;;;
23.07.1973;2;55,01250;8,49000;18,00;30,87;;;;;;;;
26.07.1973;1;55,03000;8,46000;17,90;31,00;;;;;;;;
26.07.1973;2;55,01250;8,49000;18,30;30,78;;;;;;;;
30.07.1973;1;55,03000;8,46000;19,10;30,86;;;;;;;;
30.07.1973;2;55,01250;8,49000;19,00;30,43;;;;;;;;
02.08.1973;1;55,03000;8,46000;19,20;30,71;;;;;;;;
02.08.1973;2;55,01250;8,49000;19,20;30,71;;;;;;;;
06.08.1973;1;55,03000;8,46000;18,80;31,24;;;;;;;;
06.08.1973;2;55,01250;8,49000;19,00;31,01;;;;;;;;
09.08.1973;1;55,03000;8,46000;;30,74;;;;;;;;
09.08.1973;2;55,01250;8,49000;17,60;31,09;;;;;;;;
13.08.1973;1;55,03000;8,46000;18,50;30,73;;;;;;;;
13.08.1973;2;55,01250;8,49000;18,20;31,02;;;;;;;;
16.08.1973;1;55,03000;8,46000;21,90;30,94;;;;;;;;
16.08.1973;2;55,01250;8,49000;19,20;30,90;;;;;;;;
20.08.1973;1;55,03000;8,46000;18,60;31,04;;;;;;;;
20.08.1973;2;55,01250;8,49000;18,60;30,82;;;;;;;;
23.08.1973;1;55,03000;8,46000;16,90;31,15;;;;;;;;
23.08.1973;2;55,01250;8,49000;16,20;31,19;;;;;;;;
27.08.1973;1;55,03000;8,46000;18,10;31,14;;;;;;;;
27.08.1973;2;55,01250;8,49000;16,80;31,22;;;;;;;;
30.08.1973;1;55,03000;8,46000;17,20;31,29;;;;;;;;
30.08.1973;2;55,01250;8,49000;17,30;31,27;;;;;;;;
03.09.1973;1;55,03000;8,46000;16,50;31,33;;;;;;;;
03.09.1973;2;55,01250;8,49000;16,30;31,29;;;;;;;;
06.09.1973;1;55,03000;8,46000;16,60;31,24;;;;;;;;
06.09.1973;2;55,01250;8,49000;17,70;31,24;;;;;;;;
10.09.1973;1;55,03000;8,46000;17,00;31,22;;;;;;;;
10.09.1973;2;55,01250;8,49000;16,40;31,28;;;;;;;;
13.09.1973;1;55,03000;8,46000;15,90;31,37;;;;;;;;
13.09.1973;2;55,01250;8,49000;14,80;31,43;;;;;;;;
17.09.1973;1;55,03000;8,46000;15,90;31,45;;;;;;;;
17.09.1973;2;55,01250;8,49000;15,40;31,46;;;;;;;;
20.09.1973;1;55,03000;8,46000;15,20;31,79;;;;;;;;
20.09.1973;2;55,01250;8,49000;15,20;31,47;;;;;;;;
24.09.1973;1;55,03000;8,46000;14,10;31,47;;;;;;;;
24.09.1973;2;55,01250;8,49000;14,00;31,33;;;;;;;;
27.09.1973;1;55,03000;8,46000;14,00;31,53;;;;;;;;
27.09.1973;2;55,01250;8,49000;13,30;31,07;;;;;;;;
