Event;date/time;Water depth (Chart Datum);M. leidyi;P. pileus;S. tubulosa;Lucicutia sp.;Ctenophora, juv.;O. geniculata;Bougainvillia sp.;B. cucumis;Bolinopsis sp.;Clytia sp.;Phialella sp.;M. haeckelii ;R. octopunctata ;Scyphozoa, juv.;Leuckartiara sp.;Nemopsis sp.;Eucheilota sp.
List Reede;11.05.2009;15,25;4;1;5;1;12;0;0;0;0;0;0;0;0;0;0;0;0
List Reede;04.06.2009;15,25;16;13;0;0;243;1;89;0;0;0;0;0;0;0;0;0;0
List Reede;08.06.2009;15,25;46;28;2;0;290;0;26;7;0;0;0;0;0;0;0;0;0
List Reede;15.06.2009;15,25;84;46;0;1;57;0;4;0;25;0;0;0;0;0;0;0;0
List Reede;22.06.2009;15,25;121;5;0;0;30;0;1;4;22;0;0;0;0;0;0;0;0
List Reede;06.07.2009;15,25;51;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
List Reede;13.07.2009;15,25;0;116;0;0;174;0;3;0;0;10;0;0;0;0;0;0;0
List Reede;20.07.2009;15,25;14;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0
List Reede;27.07.2009;15,25;1;2;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0
List Reede;03.08.2009;15,25;12;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
List Reede;31.08.2009;15,25;42;0;0;0;0;0;0;1;0;5;0;0;0;0;0;0;0
List Reede;07.09.2009;15,25;27;9;0;0;13;0;0;1;0;8;0;0;0;0;0;0;0
List Reede;14.09.2009;15,25;44;9;0;0;5;0;5;0;0;12;0;0;0;0;0;0;0
List Reede;21.09.2009;15,25;70;20;0;0;0;0;2;12;0;138;0;0;0;0;0;0;0
List Reede;30.09.2009;15,25;30;0;0;0;0;0;2;4;0;52;0;0;0;0;0;0;0
List Reede;05.10.2009;15,25;43;15;0;0;0;0;4;1;0;58;0;0;0;0;0;0;0
List Reede;12.10.2009;15,25;102;45;0;0;129;0;4;1;0;58;0;0;0;0;0;0;0
List Reede;19.10.2009;15,25;93;54;0;0;217;0;1;2;7;2;0;0;0;0;0;0;0
List Reede;27.10.2009;15,25;149;1;0;0;82;5;0;0;0;2;0;0;0;0;0;0;0
List Reede;02.11.2009;15,25;71;10;0;0;184;0;0;1;17;2;0;0;0;0;0;0;0
List Reede;09.11.2009;15,25;144;0;0;0;22;0;3;3;0;1;0;0;0;0;0;0;0
List Reede;16.11.2009;15,25;14;5;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0
List Reede;24.11.2009;15,25;4;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
List Reede;30.11.2009;15,25;4;1;0;0;4;0;0;2;0;0;0;0;0;0;0;0;0
List Reede;07.12.2009;15,25;29;33;0;0;22;0;0;6;0;0;0;0;0;0;0;0;0
