Event;date/time;Water depth;Comments;M. leidyi;P. pileus;S. tubulosa;Lucicutia sp.;Ctenophora, juv.;O. geniculata;Bougainvillia sp.;B. cucumis;Bolinopsis sp.;Clytia sp.;Phialella sp.;M. haeckelii ;R. octopunctata ;Scyphozoa, juv.;Leuckartiara sp.;Nemopsis sp.;Eucheilota sp.
List Reede;04.03.2010;15,25;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
List Reede;15.03.2010;15,25;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
List Reede;22.03.2010;15,25;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
List Reede;30.03.2010;15,25;;0;0;40;0;10;0;0;0;0;0;0;7;10;0;0;0;0
List Reede;06.04.2010;15,25;;0;0;18;0;5;0;1;0;0;0;0;5;13;0;0;0;0
List Reede;17.05.2010;15,25;;0;1;17;0;0;0;0;0;0;0;4;3;0;35;0;0;0
List Reede;25.05.2010;15,25;;2;0;125;0;0;0;0;0;0;0;3;0;0;0;0;0;0
List Reede;03.06.2010;15,25;;0;3;16;0;1;0;0;0;0;0;0;0;0;0;0;0;0
List Reede;07.06.2010;15,25;;0;4;5;0;0;0;0;0;0;0;1;0;0;0;0;0;0
List Reede;14.06.2010;15,25;6 x Cyanea sp.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
List Reede;21.06.2010;15,25;;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0
List Reede;28.06.2010;15,25;;0;0;0;0;4;0;0;0;0;0;0;0;0;3;0;0;0
List Reede;08.07.2010;15,25;;0;5;0;0;0;0;13;0;0;9;0;0;0;0;0;0;0
List Reede;12.07.2010;15,25;;0;3;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0
List Reede;19.07.2010;15,25;;0;3;0;0;4;0;12;0;0;5;5;0;0;0;0;0;0
List Reede;26.07.2010;15,25;;1;3;0;0;1;0;0;0;0;9;1;0;0;0;0;0;0
List Reede;02.08.2010;15,25;34 Proboscidactyla cf.;0;7;0;0;13;0;20;0;3;0;7;0;0;0;0;0;0
List Reede;09.08.2010;15,25;;33;4;0;0;29;0;12;0;0;0;16;0;0;0;0;0;0
List Reede;16.08.2010;15,25;;43;0;0;0;35;0;9;0;1;4;5;0;0;0;0;0;0
List Reede;23.08.2010;15,25;;91;0;0;0;429;0;7;0;0;4;10;0;5;0;0;0;0
List Reede;30.08.2010;15,25;;55;0;0;0;1397;0;75;0;0;7;9;0;19;0;0;0;0
List Reede;06.09.2010;15,25;;182;0;0;0;107;0;75;0;0;0;12;0;0;0;0;0;0
List Reede;13.09.2010;15,25;;81;2;0;0;35;0;6;0;0;10;107;0;0;0;0;0;0
List Reede;20.09.2010;15,25;;4;0;0;0;7;0;6;0;0;0;0;0;0;0;0;0;0
List Reede;27.09.2010;15,25;;425;0;0;0;24;0;2;0;0;0;7;0;0;0;0;0;0
List Reede;04.10.2010;15,25;;137;0;0;0;120;0;2;0;0;0;11;0;0;0;0;0;0
List Reede;11.10.2010;15,25;;239;0;0;0;24;0;0;0;0;0;4;0;0;0;0;0;0
List Reede;18.10.2010;15,25;;405;0;0;0;330;0;0;1;22;0;8;0;0;0;0;0;0
List Reede;25.10.2010;15,25;;553;96;0;0;381;0;0;2;119;0;1;0;0;0;0;0;0
List Reede;01.11.2010;15,25;;97;59;0;0;263;0;0;27;66;48;47;0;0;0;0;0;0
List Reede;08.11.2010;15,25;;222;32;0;0;93;0;2;19;188;0;0;0;0;0;0;0;0
List Reede;15.11.2010;15,25;1 x  Beroe ovata;30;0;0;0;9;0;0;28;24;15;0;0;0;0;0;0;0
List Reede;22.11.2010;15,25;;23;0;0;0;4;0;0;8;22;0;0;0;0;0;0;0;0
