Event;date/time;Water depth;Comments;M. leidyi;P. pileus;S. tubulosa;Lucicutia sp.;Ctenophora, juv.;O. geniculata;Bougainvillia sp.;B. cucumis;Bolinopsis sp.;Clytia sp.;Phialella sp.;M. haeckelii ;R. octopunctata ;Scyphozoa, juv.;Leuckartiara sp.;Nemopsis sp.;Eucheilota sp.;;
List Reede;17.01.2011;15,25;;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;;
List Reede;24.01.2011;15,25;;0;0;0;0;0;0;0;19;0;0;0;0;0;0;0;0;0;;
List Reede;31.01.2011;15,25;;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;;
List Reede;07.02.2011;15,25;;0;1;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;;
List Reede;21.02.2011;15,25;;0;0;56;0;0;0;0;6;0;0;0;0;0;0;0;0;0;;
List Reede;07.03.2011;15,25;1 x Cyanea sp.;0;0;142;0;0;0;4;4;0;0;0;0;3;0;0;0;0;;
List Reede;28.03.2011;15,25;;0;0;95;0;0;0;0;14;0;1;0;0;758;0;0;0;0;;
List Reede;04.04.2011;15,25;;0;13;546;0;0;0;0;11;0;0;0;0;1083;0;0;0;0;;
List Reede;11.04.2011;15,25;;0;3;186;0;0;0;0;13;0;0;0;0;338;0;0;0;0;;
List Reede;18.04.2011;15,25;;0;9;313;0;0;0;0;8;0;0;0;0;156;0;0;0;0;;
List Reede;02.05.2011;15,25;;0;6;324;0;3;0;0;0;0;0;0;0;0;0;0;0;0;;
List Reede;09.05.2011;15,25;;0;4;170;0;0;0;0;2;0;0;0;0;74;0;0;0;0;;
List Reede;16.05.2011;15,25;;0;5;71;0;0;0;0;2;0;0;0;0;0;0;0;0;0;;
List Reede;23.05.2011;15,25;;0;2;4;0;117;0;0;0;0;0;0;0;0;0;0;0;0;;
List Reede;30.05.2011;15,25;;0;26;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
List Reede;15.06.2011;15,25;;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
List Reede;20.06.2011;15,25;;0;2;0;0;19;0;6;0;0;4;0;0;0;0;0;0;0;;
List Reede;27.06.2011;15,25;;0;12;0;0;21;0;43;0;0;11;0;0;0;1;0;0;0;;
List Reede;04.07.2011;15,25;;0;246;3;0;0;0;74;0;0;1;19;12;0;0;0;0;0;;
List Reede;11.07.2011;15,25;;0;26;0;0;0;0;2;0;0;1;17;0;0;0;0;0;0;;
List Reede;18.07.2011;15,25;;0;115;0;0;0;0;19;0;0;1;21;0;0;0;0;0;0;;
List Reede;25.07.2011;15,25;;0;2;0;0;0;0;8;1;0;1;6;0;0;0;0;0;0;;
List Reede;01.08.2011;15,25;;0;1;0;0;2;0;2;0;0;0;7;0;0;0;0;0;0;;
List Reede;08.08.2011;15,25;1 x Rhizostoma pulmo;0;2;0;0;0;0;4;0;0;25;90;0;0;0;0;0;0;;
List Reede;15.08.2011;15,25;;0;13;0;0;3;0;3;3;0;0;65;0;0;0;0;0;0;;
List Reede;22.08.2011;15,25;;0;6;0;0;6;0;35;0;0;0;96;0;0;0;0;0;0;;
List Reede;22.09.2011;15,25;;0;26;0;0;0;0;21;7;0;0;708;0;0;0;4;0;0;;
List Reede;06.10.2011;15,25;;0;59;0;0;0;0;2;2;1;2;48;0;0;0;1;0;0;;
List Reede;10.10.2011;15,25;;4;8;0;0;105;0;7;38;131;0;40;0;0;0;0;0;0;;
List Reede;17.10.2011;15,25;;54;5;0;0;49;0;9;73;5;0;69;0;0;0;0;0;0;;
List Reede;27.10.2011;15,25;;62;6;0;0;19;0;0;12;13;0;0;0;0;0;0;0;0;;
List Reede;31.10.2011;15,25;;33;0;0;0;9;0;0;149;11;0;27;0;0;0;0;0;0;;
List Reede;07.11.2011;15,25;;30;0;0;0;9;0;0;36;4;0;1;0;0;0;0;0;0;;
List Reede;17.11.2011;15,25;;44;0;0;0;2;0;0;157;14;0;3;0;0;0;0;0;0;;
List Reede;21.11.2011;15,25;;9;0;0;0;7;0;0;27;2;0;2;0;0;0;0;0;0;;
List Reede;28.11.2011;15,25;;9;0;0;0;0;0;0;102;0;0;7;0;0;0;0;0;0;;
List Reede;07.12.2011;15,25;;9;0;0;0;1;0;0;28;0;0;0;0;0;0;0;0;0;;
List Reede;12.12.2011;15,25;;0;0;0;0;0;0;0;17;0;0;1;0;0;0;0;0;0;;
