Event;date/time;Water depth;Comments;M. leidyi;P. pileus;S. tubulosa;Lucicutia sp.;Ctenophora, juv.;O. geniculata;Bougainvillia sp.;B. cucumis;Bolinopsis sp.;Clytia sp.;Phialella sp.;M. haeckelii ;R. octopunctata ;Scyphozoa, juv.;Leuckartiara sp.;Nemopsis sp.;Clytia sp.;Eucheilota sp.
List Reede;09.01.2012;15,25;;0;0;0;0;0;0;0;25;0;0;0;0;0;0;0;0;0;0
List Reede;16.01.2012;15,25;;0;1;5;0;0;0;0;10;0;0;3;0;0;0;0;0;0;0
List Reede;23.01.2012;15,25;;0;1;7;0;0;0;1;29;0;0;0;0;0;0;0;0;0;0
List Reede;02.02.2012;15,25;;0;2;17;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0
List Reede;20.02.2012;15,25;;0;0;14;0;0;0;3;2;0;0;0;;0;0;0;0;0;0
List Reede;27.02.2012;15,25;;0;1;21;0;0;0;4;29;0;0;0;0;1;0;0;0;0;0
List Reede;06.03.2012;15,25;;0;0;36;0;0;0;18;7;0;0;0;0;3;0;0;0;0;0
List Reede;12.03.2012;15,25;;0;11;59;0;0;0;7;67;0;0;0;0;25;0;0;0;0;0
List Reede;22.03.2012;15,25;;0;22;133;0;0;0;15;99;0;0;0;0;84;0;0;0;0;0
List Reede;26.03.2012;15,25;;0;21;260;0;0;0;12;71;0;0;0;0;667;0;0;0;0;0
List Reede;10.04.2012;15,25;net was towned;0;96;168;0;2;0;16;22;0;0;0;0;16;0;0;0;0;0
List Reede;16.04.2012;15,25;;0;4;32;0;0;0;2;2;0;0;0;0;27;0;0;0;0;0
List Reede;23.04.2012;15,25;;0;15;120;0;26;0;3;13;0;0;0;0;0;0;0;0;0;0
List Reede;03.05.2012;15,25;;0;6;43;0;4;0;0;4;0;0;0;0;0;0;0;0;0;0
List Reede;07.05.2012;15,25;;0;6;80;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0
List Reede;14.05.2012;15,25;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
List Reede;21.05.2012;15,25;1 x Cyanea sp. ;0;25;22;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0
List Reede;29.05.2012;15,25;;0;11;2;0;25;0;6;7;0;0;0;0;0;2;0;0;0;0
List Reede;11.06.2012;15,25;3 x Mnemiopsis or Bolinopsis;0;61;0;0;221;0;42;11;0;0;189;0;0;6;0;0;0;0
List Reede;18.06.2012;15,25;;0;23;0;0;24;0;1;2;0;0;14;0;0;1;0;0;0;0
List Reede;25.06.2012;15,25;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
List Reede;02.07.2012;15,25;;0;7;0;0;11;0;2;1;0;0;2;0;0;0;0;0;0;0
List Reede;10.07.2012;15,25;;0;0;0;0;14;0;3;0;0;0;1;0;0;0;0;0;0;0
List Reede;19.07.2012;15,25;;0;27;0;0;40;0;3;0;0;0;17;0;0;0;0;0;0;0
List Reede;23.07.2012;15,25;;0;90;0;0;75;0;29;0;0;0;31;0;0;0;0;0;0;0
List Reede;13.08.2012;15,25;;0;0;0;0;2;0;1;0;0;0;4;0;0;0;0;0;0;0
List Reede;20.08.2012;15,25;;1;0;0;0;163;7;5;0;0;89;362;0;0;0;0;0;0;0
List Reede;27.08.2012;15,25;;0;0;0;0;11;0;0;0;0;6;55;0;0;0;0;0;0;0
List Reede;03.09.2012;15,25;;0;56;0;0;0;0;11;2;0;394;372;0;0;1;0;0;0;0
List Reede;10.09.2012;15,25;;0;24;0;0;70;0;163;0;0;231;274;0;0;0;0;0;0;0
List Reede;17.09.2012;15,25;;0;13;0;0;65;0;18;5;0;221;197;0;0;0;0;0;0;0
List Reede;24.09.2012;15,25;;0;114;0;0;40;0;40;14;0;228;110;0;0;0;0;0;0;0
List Reede;08.10.2012;15,25;;0;13;3;0;0;0;0;2;0;0;1;0;0;0;0;0;247;0
List Reede;15.10.2012;15,25;;0;17;0;0;23;0;0;8;0;1;6;0;0;0;0;2;5;0
List Reede;23.10.2012;15,25;;10;14;0;0;90;0;7;30;0;18;23;0;0;0;0;0;33;0
List Reede;29.10.2012;15,25;;3;0;0;0;38;0;0;1;0;0;1;0;0;0;0;0;0;0
List Reede;05.11.2012;15,25;;7;6;0;0;99;0;0;18;0;3;0;0;0;1;0;0;65;0
List Reede;12.11.2012;15,25;;7;1;0;0;55;0;0;3;0;0;0;0;0;0;0;0;1;0
List Reede;19.11.2012;15,25;;1;0;0;0;20;0;0;1;0;0;0;0;0;0;0;0;3;0
List Reede;26.11.2012;15,25;;3;2;0;0;25;0;0;6;0;0;0;0;0;0;0;0;3;0
List Reede;03.12.2012;15,25;;7;0;0;0;3;0;0;47;0;0;0;0;0;0;0;0;2;0
List Reede;10.12.2012;15,25;;0;3;0;0;4;0;0;93;0;0;0;0;0;0;0;0;0;0
