Event;date/time;Water depth;Comments;M. leidyi;P. pileus;S. tubulosa;Lucicutia sp.;Ctenophora, juv.;O. geniculata;Bougainvillia sp.;B. cucumis;Bolinopsis sp.;Clytia sp.;Phialella sp.;M. haeckelii ;R. octopunctata ;Scyphozoa, juv.;Leuckartiara sp.;Nemopsis sp.;Clytia sp.;Eucheilota sp.;
List Reede;06.02.2014;15,25;;0;7;64;0;0;0;0;33;0;0;0;0;108;0;0;0;0;0;
List Reede;10.02.2014;15,25;;0;1;9;0;0;0;0;93;0;0;0;0;5;0;0;0;0;0;
List Reede;17.02.2014;15,25;;0;1;3;0;0;0;0;8;0;0;0;0;38;0;0;0;0;0;
List Reede;31.03.2014;15,25;;0;12;9;0;2;0;0;9;0;0;0;0;64;0;0;0;0;0;
List Reede;14.04.2014;15,25;;0;33;23;0;27;0;0;9;0;0;0;0;4;0;0;0;0;0;
List Reede;05.05.2014;15,25;;0;101;13;0;5;0;12;2;0;0;3;0;438;0;0;0;0;0;
List Reede;12.05.2014;15,25;1 x Aurelia aurita;0;177;11;0;36;0;2;35;0;0;2;0;3;2;0;0;0;0;
List Reede;19.05.2014;15,25;15 x Proboscidactyla cf.;0;119;10;0;78;0;6;4;0;0;2;0;14;2;0;0;0;0;
List Reede;26.05.2014;15,25;;0;44;8;0;18;0;2;0;0;0;0;0;0;0;0;0;0;0;
List Reede;16.06.2014;15,25;;0;2;0;0;4;0;8;23;0;0;1;0;0;1;0;0;0;0;
List Reede;23.06.2014;15,25;;1;2;0;0;1;0;1;0;0;0;4;0;0;0;0;0;0;0;
List Reede;30.06.2014;15,25;3 x Cyanea;0;2;0;0;3;0;0;2;0;0;3;0;0;0;0;0;0;0;
List Reede;21.07.2014;15,25;;0;0;0;0;20;0;9;4;0;0;0;0;0;0;0;0;46;0;
List Reede;28.07.2014;15,25;;94;11;0;0;8;0;7;23;0;0;0;0;0;0;0;0;623;0;
List Reede;25.08.2014;15,25;;363;25;0;0;163;0;0;4;0;0;14;0;0;0;0;6;60;0;
List Reede;01.09.2014;15,25;;358;0;0;0;165;0;0;1;32;0;16;0;0;0;0;3;431;0;
List Reede;09.09.2014;15,25;;625;0;0;0;99;0;0;6;0;0;0;0;0;0;0;0;80;0;
List Reede;25.09.2014;15,25;2 hauls;1116;0;0;0;1581;0;0;8;0;0;50;0;0;0;0;3;57;0;
List Reede;29.09.2014;15,25;1 haul;285;0;0;0;482;0;0;0;0;0;5;0;0;0;0;2;11;0;
List Reede;14.10.2014;15,25;1 haul;768;0;0;0;318;0;0;22;0;0;59;0;0;0;0;1;108;0;
List Reede;27.10.2014;15,25;;411;0;0;0;502;0;0;10;0;0;56;0;0;0;0;0;97;0;
List Reede;03.11.2014;15,25;;257;0;0;0;220;0;2;22;0;543;0;0;0;1;2;2;153;0;
List Reede;19.11.2014;15,25;;237;0;0;0;91;0;0;6;0;0;0;0;0;0;0;0;17;0;
List Reede;01.12.2014;15,25;;382;0;0;0;30;0;0;159;0;0;8;0;0;0;0;1;5;0;
List Reede;08.12.2014;15,25;;52;0;0;0;19;0;0;40;0;0;0;0;0;0;0;0;4;0;
