Event;date/time;Water depth;Comments;M. leidyi;P. pileus;S. tubulosa;Lucicutia sp.;Ctenophora, juv.;O. geniculata;Bougainvillia sp.;B. cucumis;Bolinopsis sp.;Clytia sp.;Phialella sp.;M. haeckelii ;R. octopunctata ;Scyphozoa, juv.;Leuckartiara sp.;Nemopsis sp.;Clytia sp.;Eucheilota sp.;E. indicans ;Lovenella sp.
List Reede;13.01.2015;15,25;;1;0;0;0;61;0;0;2;0;0;0;0;5;0;0;0;0;0;;
List Reede;19.01.2015;15,25;;0;1;0;0;23;0;0;0;0;0;0;0;1;0;0;0;;0;;
List Reede;26.01.2015;15,25;;0;2;5;0;149;0;0;0;0;0;0;0;3;0;0;0;0;0;;
List Reede;02.02.2015;15,25;;0;1;3;0;19;0;0;0;0;0;0;0;2;0;0;0;0;0;;
List Reede;09.02.2015;15,25;;0;0;2;0;7;0;0;0;0;0;0;0;2;0;0;0;0;0;;
List Reede;16.02.2015;15,25;;0;0;2;;29;0;0;0;0;0;0;0;1;0;0;3;0;0;;
List Reede;25.02.2015;15,25;;1;12;14;0;1827;0;0;21;0;0;0;0;6;0;0;0;0;0;;
List Reede;04.03.2015;15,25;;0;14;16;0;310;0;1;18;0;0;0;0;1;0;0;0;0;0;;
List Reede;13.04.2015;15,25;1 x Aurelia aurita;0;157;57;0;69;0;0;8;0;0;0;0;16;0;0;0;0;0;;
List Reede;20.04.2015;15,25;;17;206;71;0;882;0;5;37;0;0;0;0;54;0;0;0;0;0;;
List Reede;27.04.2015;15,25;;0;26;62;0;148;0;5;4;0;0;0;0;0;0;0;0;0;0;;
List Reede;06.05.2015;15,25;;24;103;80;0;266;0;0;45;0;0;4;0;34;0;0;0;4;0;;
List Reede;11.05.2015;15,25;;2;201;13;0;985;2;0;11;2;0;0;117;2;1;0;0;0;0;;
List Reede;26.05.2015;15,25;;1;3;1;0;0;0;2;3;0;1;0;0;0;0;0;0;0;0;;
List Reede;01.06.2015;15,25;3 x Cyanea sp.;12;22;1;0;3;0;1;3;0;0;0;0;0;0;0;0;0;0;;
List Reede;08.06.2015;15,25;4 x Cyanea sp.;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
List Reede;17.06.2015;15,25;;1;11;0;0;10;0;0;2;0;0;0;0;0;0;0;0;0;0;;
List Reede;22.06.2015;15,25;;3;4;0;0;272;0;17;0;0;62;0;0;0;0;0;0;0;0;;
List Reede;29.06.2015;15,25;;11;5;0;0;61;0;19;3;0;8;0;0;0;1;0;0;2;0;;
List Reede;06.07.2015;15,25;;0;0;0;0;93;0;5;9;0;1;0;0;0;1;0;0;29;0;;
List Reede;13.07.2015;15,25;;233;138;0;0;800;25;175;16;0;0;73;0;0;2;0;0;25;0;;
List Reede;20.07.2015;15,25;;519;29;0;0;376;75;62;9;0;0;316;0;0;0;0;0;27;0;;
List Reede;27.07.2015;15,25;;450;24;0;263;438;14;14;3;0;0;0;0;0;0;0;0;47;0;;
List Reede;03.08.2015;15,25;;1024;7;0;5;2446;10;107;17;0;0;83;0;0;0;0;0;29;1;;
List Reede;10.08.2015;15,25;;222;1;0;0;69;17;4;25;0;0;2;0;0;0;0;0;5;0;;
List Reede;17.08.2015;15,25;;317;1;0;26;18;23;8;38;0;0;0;0;0;0;0;0;1;2;131;
List Reede;24.08.2015;15,25;1 x Cyanea sp.;40;0;0;0;97;394;0;88;0;0;0;0;0;0;0;2;3;260;151;
List Reede;31.08.2015;15,25;;70;0;0;7;28;206;0;258;0;0;17;0;0;0;0;24;0;358;1083;
List Reede;07.09.2015;15,25;;29;0;0;0;128;183;0;78;0;3;0;0;0;0;0;46;0;264;235;
List Reede;16.09.2015;15,25;2 hauls;12;0;0;0;56;125;0;177;0;28;0;0;0;0;0;54;0;1137;149;
List Reede;21.09.2015;15,25;;5;0;0;11;34;65;0;205;0;81;0;0;0;0;0;25;166;433;98;153
List Reede;29.09.2015;15,25;;6;0;0;2;1;3;0;607;0;14;0;0;0;0;0;1;6;147;182;18
List Reede;05.10.2015;15,25;;11;0;0;1;33;28;0;233;0;49;37;0;0;0;0;10;23;62;49;28
List Reede;28.10.2015;15,25;;5;1;0;0;1;0;0;407;0;0;0;0;0;0;0;0;7;0;0;0
List Reede;02.11.2015;15,25;2 hauls;3;0;0;0;0;0;0;1297;0;0;87;0;0;0;0;0;0;318;0;0
List Reede;09.11.2015;15,25;;7;0;0;0;0;0;0;560;0;8;68;0;0;0;0;0;0;33;20;0
List Reede;18.11.2015;15,25;;2;2;0;0;1;0;0;17;0;1;16;0;0;0;0;0;0;0;0;0
List Reede;24.11.2015;15,25;;2;8;0;0;76;0;0;128;0;11;0;8;0;0;0;0;0;0;0;0
List Reede;07.12.2015;15,25;;0;13;0;0;5;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0
List Reede;14.12.2015;15,25;;6;48;0;0;31;0;0;18;0;0;0;0;0;0;0;0;0;0;0;0
