Event;Date time;Lat;Long;water depth;Comments;M. leidyi;P. pileus;S. tubulosa;Lucicutia sp.;Ctenophora, juv.;O. geniculata;Bougainvillia sp.;B. cucumis;Bolinopsis sp.;Clytia sp.;Phialella sp.;M. haeckelii ;R. octopunctata ;Scyphozoa, juv.;Cyanea sp.;Leuckartiara sp.;Nemopsis sp.;Clytia sp.;Eucheilota sp.;Aurelia aurita;E. indicans ;Lovenella sp.;;;;
List Reede;09.01.2017;55,0300;8,4600;15,25;4 Stauridiosarsia;32;0;0;0;534;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;;;;
List Reede;16.01.2017;55,0300;8,4600;15,25;9 Stauridiosarsia;3;0;0;0;346;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;;;;
List Reede;23.01.2017;55,0300;8,4600;15,25;11 Stauridiosarsia;9;0;0;0;388;0;2;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;;;;
List Reede;30.01.2017;55,0300;8,4600;15,25;;7;0;11;0;283;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
List Reede;06.02.2017;55,0300;8,4600;15,25;;31;0;10;0;2625;0;0;0;7;0;0;0;6;0;0;0;2;0;0;0;0;0;;;;
List Reede;13.02.2017;55,0300;8,4600;15,25;;0;0;8;0;130;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;;;;
List Reede;20.02.2017;55,0300;8,4600;15,25;;7;0;148;0;991;0;0;1;0;0;0;0;59;0;0;0;1;0;0;0;0;0;;;;
List Reede;27.02.2017;55,0300;8,4600;15,25;;2;0;54;0;199;0;0;0;0;0;0;0;113;0;0;0;0;0;0;0;0;0;;;;
List Reede;06.03.2017;55,0300;8,4600;15,25;;2;0;227;0;236;0;0;0;0;0;0;0;83;0;0;0;0;0;0;0;0;0;;;;
List Reede;15.03.2017;55,0300;8,4600;15,25;;5;0;171;0;670;0;0;1;0;0;0;0;131;0;0;0;2;0;0;0;0;0;;;;
List Reede;20.03.2017;55,0300;8,4600;15,25;;0;0;106;0;94;0;0;0;0;0;0;0;31;0;0;0;0;0;0;0;0;0;;;;
List Reede;28.03.2017;55,0300;8,4600;15,25;;1;23;198;0;88;0;0;3;0;0;0;0;107;0;0;0;0;0;0;0;0;0;;;;
List Reede;03.04.2017;55,0300;8,4600;15,25;;0;19;81;0;142;0;0;2;0;0;0;0;328;1;0;0;0;0;0;0;0;0;;;;
List Reede;18.04.2017;55,0300;8,4600;15,25;;110;5;162;0;171;1;0;4;0;0;0;0;134;0;0;0;0;0;0;0;0;0;;;;
List Reede;24.04.2017;55,0300;8,4600;15,25;;280;159;165;0;256;9;0;2;0;0;0;0;194;0;0;0;0;0;0;0;0;0;;;;
List Reede;02.05.2017;55,0300;8,4600;15,25;;14;8;30;0;31;3;0;1;0;0;0;0;68;0;0;0;0;0;0;1;3;0;;;;
List Reede;08.05.2017;55,0300;8,4600;15,25;;11;22;109;0;21;0;0;2;20;0;0;0;16;0;0;0;0;0;0;0;0;0;;;;
List Reede;15.05.2017;55,0300;8,4600;15,25;;5;12;4;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
List Reede;22.05.2017;55,0300;8,4600;15,25;;77;2;13;0;0;0;0;2;3;0;0;0;0;0;1;0;0;0;0;0;0;0;;;;
List Reede;12.06.2017;55,0300;8,4600;15,25;1 Merga bulbosa;16;1;0;0;19;2;0;3;0;0;0;1;0;0;1;0;0;0;0;0;0;0;;;;
List Reede;21.06.2017;55,0300;8,4600;15,25;;29;1;0;0;29;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;1;;;;
List Reede;28.06.2017;55,0300;8,4600;15,25;;32;0;0;0;336;0;0;0;0;0;0;0;0;0;0;0;12;0;41;0;10;0;;;;
List Reede;12.07.2017;55,0300;8,4600;15,25;;105;0;0;0;21;0;0;0;0;0;4;0;0;0;0;0;1;0;1;0;0;0;;;;
