Event;Date time;Lat;Long;water depth;Comments;M. leidyi;P. pileus;S. tubulosa;Lucicutia sp.;Ctenophora, juv.;O. geniculata;Bougainvillia sp.;B. cucumis;Bolinopsis sp.;Clytia sp.;Phialella sp.;M. haeckelii ;R. octopunctata ;Scyphozoa, juv.;Cyanea sp.;Leuckartiara sp.;Nemopsis sp.;Clytia sp.;Eucheilota sp.;Aurelia aurita;E. indicans ;Lovenella sp.;;
List Reede;08.01.2018;55,0300;8,4600;15,25;;1;1;6;0;355;0;0;26;0;0;0;0;0;0;0;0;0;1;0;0;0;0;;
List Reede;15.01.2018;55,0300;8,4600;15,25;;0;0;1;0;256;0;0;43;0;2;0;0;2;0;0;0;0;0;1;0;0;2;;
List Reede;22.01.2018;55,0300;8,4600;15,25;;0;0;9;0;323;0;0;61;0;0;0;0;1;0;0;0;0;0;0;0;0;0;;
List Reede;29.01.2018;55,0300;8,4600;15,25;;0;4;0;0;43;0;0;21;0;0;0;0;0;0;0;0;1;0;0;0;0;0;;
List Reede;05.02.2018;55,0300;8,4600;15,25;;1;0;25;0;96;0;0;51;0;0;0;0;1;0;0;0;3;1;0;0;0;0;;
List Reede;12.02.2018;55,0300;8,4600;15,25;;0;1;12;0;44;0;0;16;0;0;0;0;2;0;0;1;0;0;0;0;0;0;;
List Reede;19.02.2018;55,0300;8,4600;15,25;;0;10;40;0;43;0;0;41;0;4;0;0;14;0;0;0;4;0;0;0;0;0;;
List Reede;26.02.2018;55,0300;8,4600;15,25;;1;6;53;0;20;0;0;19;0;2;0;0;25;0;0;0;6;0;0;0;0;0;;
List Reede;14.03.2018;55,0300;8,4600;15,25;;0;0;28;0;8;0;0;3;0;0;0;0;83;0;0;0;6;0;0;0;0;2;;
List Reede;19.03.2018;55,0300;8,4600;15,25;;0;1;27;0;0;0;0;2;0;0;0;0;77;0;0;0;2;0;0;0;0;0;;
List Reede;26.03.2018;55,0300;8,4600;15,25;;0;1;16;0;0;0;0;0;0;0;0;0;18;0;0;0;0;0;0;0;0;0;;
List Reede;03.04.2018;55,0300;8,4600;15,25;;0;0;10;0;0;0;0;0;0;0;0;0;41;0;0;0;2;0;0;0;0;0;;
List Reede;09.04.2018;55,0300;8,4600;15,25;;0;1;487;0;0;0;0;1;0;0;0;0;273;0;0;0;10;0;0;0;0;0;;
List Reede;16.04.2018;55,0300;8,4600;15,25;;0;6;122;0;1;0;0;2;0;0;0;0;492;0;1;0;1;0;0;0;0;0;;
List Reede;23.04.2018;55,0300;8,4600;15,25;;0;0;4;0;0;0;0;0;0;0;0;0;1;0;9;0;0;0;0;2;0;0;;
List Reede;09.05.2018;55,0300;8,4600;15,25;;1;0;7;0;0;0;0;0;0;0;0;14;0;0;11;0;0;0;0;1;0;0;;
List Reede;14.05.2018;55,0300;8,4600;15,25;;0;0;23;0;50;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;;
List Reede;23.05.2018;55,0300;8,4600;15,25;1 unknown jelly;0;112;0;0;74;0;0;0;0;0;0;1;9;1;0;0;51;0;0;0;0;0;;
List Reede;28.05.2018;55,0300;8,4600;15,25;;14;61;0;0;160;0;0;0;0;0;0;0;0;2;0;0;41;0;0;0;0;0;;
List Reede;11.06.2018;55,0300;8,4600;15,25;;378;51;0;0;103;0;0;0;0;0;0;0;0;7;1;0;11;0;0;0;0;0;;
List Reede;18.06.2018;55,0300;8,4600;15,25;1 small Rhizostoma;141;253;0;0;71;0;0;8;0;0;0;0;0;1;0;0;7;0;0;0;0;0;;
List Reede;25.06.2018;55,0300;8,4600;15,25;;16;443;0;0;455;0;0;3;0;0;0;0;0;2;0;0;23;0;0;0;0;0;;
List Reede;02.07.2018;55,0300;8,4600;15,25;2 small Rhizostoma;156;43;0;0;115;0;0;3;0;1;0;0;0;1;0;0;3;4;33;0;0;34;;
List Reede;09.07.2018;55,0300;8,4600;15,25;1 small Rhizostoma;55;6;0;0;1824;3;0;0;0;0;0;0;0;0;0;0;49;4;2;0;0;83;;
List Reede;16.07.2018;55,0300;8,4600;15,25;;22;0;0;0;67;0;0;0;0;2;0;0;0;0;0;0;0;0;4;0;0;8;;
List Reede;23.07.2018;55,0300;8,4600;15,25;;9;0;0;1;15;0;0;2;0;3;0;0;0;0;0;0;0;0;0;0;0;12;;
List Reede;08.08.2018;55,0300;8,4600;15,25;1 Rhizostoma;7;2;0;168;228;0;0;1;0;7;224;0;0;0;0;0;110;246;265;0;0;79;;
List Reede;13.08.2018;55,0300;8,4600;15,25;;10;0;0;95;203;0;0;3;0;12;0;0;0;0;0;0;27;118;179;0;0;56;;
List Reede;20.08.2018;55,0300;8,4600;15,25;;14;0;0;144;845;0;0;16;0;122;77;0;0;0;0;0;14;204;151;0;0;60;;
List Reede;27.08.2018;55,0300;8,4600;15,25;;6;0;0;32;46;3;0;5;0;11;17;0;0;0;0;0;2;39;26;0;0;34;;
List Reede;03.09.2018;55,0300;8,4600;15,25;;0;0;0;15;5;0;0;1;0;27;0;0;0;0;0;0;0;9;29;0;0;30;;
List Reede;11.09.2018;55,0300;8,4600;15,25;;5;0;0;5;99;0;0;4;0;3;0;0;0;0;0;0;0;0;37;0;0;50;;
List Reede;17.09.2018;55,0300;8,4600;15,25;1453 Hydrozoa nd;1;0;0;0;270;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
List Reede;20.09.2018;55,0300;8,4600;15,25;;2;0;0;0;135;0;0;0;0;144;469;0;0;0;0;0;4;0;245;0;0;293;;
List Reede;04.10.2018;55,0300;8,4600;15,25;;67;0;0;2;343;0;0;4;0;26;31;0;0;0;0;0;3;2;62;0;0;45;;
List Reede;08.10.2018;55,0300;8,4600;15,25;;93;0;0;;112;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;9;;
List Reede;25.10.2018;55,0300;8,4600;15,25;;52;1;0;0;11;0;0;1;0;0;0;0;0;1;0;0;0;2;1;0;0;0;;
List Reede;29.10.2018;55,0300;8,4600;15,25;;96;0;0;0;24;0;0;0;0;4;0;0;0;0;0;0;0;1;0;0;0;0;;
List Reede;05.11.2018;55,0300;8,4600;15,25;;46;10;0;0;33;0;0;4;0;6;0;0;0;0;0;0;0;0;0;0;0;0;;
List Reede;12.11.2018;55,0300;8,4600;15,25;;78;3;0;0;23;0;0;2;0;26;0;0;0;0;0;0;0;1;0;0;0;0;;
List Reede;19.11.2018;55,0300;8,4600;15,25;;65;2;0;0;9;0;0;3;0;3;0;0;0;0;0;0;0;0;0;0;0;0;;
List Reede;26.11.2018;55,0300;8,4600;15,25;;36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
List Reede;04.12.2018;55,0300;8,4600;15,25;;30;0;0;0;3;0;0;26;0;51;0;0;0;0;0;0;0;0;0;0;0;0;;
List Reede;10.12.2018;55,0300;8,4600;15,25;;19;1;0;0;3;0;0;13;0;5;0;0;0;0;0;0;0;0;0;0;0;0;;
