Event;Date time;Lat;Long;water depth;Comments;M. leidyi;P. pileus;S. tubulosa;Lucicutia sp.;Ctenophora, juv.;O. geniculata;Bougainvillia sp.;B. cucumis;Bolinopsis sp.;Clytia sp.;Phialella sp.;M. haeckelii ;R. octopunctata ;Scyphozoa, juv.;Cyanea sp.;Leuckartiara sp.;Nemopsis sp.;Clytia sp.;Eucheilota sp.;Aurelia aurita;E. indicans ;Lovenella sp.
List Reede;07.01.2019;55,0300;8,4600;15,25;;3;5;5;0;3;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0
List Reede;14.01.2019;55,0300;8,4600;15,25;;5;1;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
List Reede;24.01.2019;55,0300;8,4600;15,25;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
List Reede;31.01.2019;55,0300;8,4600;15,25;;4;0;1;0;20;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0
List Reede;06.02.2019;55,0300;8,4600;15,25;;2;0;0;0;6;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
List Reede;14.02.2019;55,0300;8,4600;15,25;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
List Reede;18.02.2019;55,0300;8,4600;15,25;;1;1;24;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
List Reede;25.02.2019;55,0300;8,4600;15,25;;0;0;55;0;0;0;0;6;0;0;0;0;7;0;0;0;1;0;0;0;0;0
List Reede;05.03.2019;55,0300;8,4600;15,25;;1;1;16;0;2;0;0;4;0;0;0;0;3;0;0;0;0;0;0;0;0;0
List Reede;11.03.2019;55,0300;8,4600;15,25;;0;3;16;0;10;0;0;13;0;0;0;0;3;0;0;0;1;0;0;0;0;0
List Reede;18.03.2019;55,0300;8,4600;15,25;;0;8;7;0;9;0;0;10;0;0;0;0;3;0;0;0;0;0;0;0;0;0
List Reede;25.03.2019;55,0300;8,4600;15,25;;0;6;12;0;12;0;0;6;0;0;0;0;4;0;0;0;0;0;0;0;0;0
List Reede;01.04.2019;55,0300;8,4600;15,25;;0;18;3;0;7;0;0;8;0;0;0;0;22;0;0;0;0;0;0;0;0;0
List Reede;08.04.2019;55,0300;8,4600;15,25;;0;58;65;0;46;0;0;26;0;0;0;0;21;0;0;0;0;0;0;0;0;0
List Reede;29.04.2019;55,0300;8,4600;15,25;;0;8;19;0;0;0;0;18;0;0;0;0;17;0;0;0;0;0;1;0;0;0
List Reede;06.05.2019;55,0300;8,4600;15,25;;0;9;12;0;67;0;0;4;0;0;0;0;0;1;0;0;0;0;0;0;0;0
List Reede;13.05.2019;55,0300;8,4600;15,25;;0;49;1;;147;0;0;9;0;0;0;0;0;1;0;0;2;0;0;0;0;0
List Reede;20.05.2019;55,0300;8,4600;15,25;;3;5;2;0;3;0;0;4;0;0;0;0;0;1;1;0;0;0;0;0;0;0
List Reede;28.05.2019;55,0300;8,4600;15,25;;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
List Reede;06.06.2019;55,0300;8,4600;15,25;;3;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
List Reede;12.06.2019;55,0300;8,4600;15,25;;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
List Reede;17.06.2019;55,0300;8,4600;15,25;;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
List Reede;15.07.2019;55,0300;8,4600;15,25;;114;7;0;0;8;0;0;0;0;1;0;0;0;0;0;0;3;22;16;0;7;0
List Reede;22.07.2019;55,0300;8,4600;15,25;2 hauls;189;0;0;15;32;0;0;0;0;16;6;0;0;0;0;0;0;11;26;0;0;4
List Reede;29.07.2019;55,0300;8,4600;15,25;2 hauls;161;1;0;2;14;0;0;0;0;43;7;0;0;0;0;0;0;0;1;0;0;0
List Reede;08.08.2019;55,0300;8,4600;15,25;386 Hydromedusae decayed;159;0;0;0;11;0;0;6;0;15;0;0;0;0;0;0;0;0;0;0;0;6
List Reede;12.08.2019;55,0300;8,4600;15,25;;207;0;0;6;322;0;0;12;0;17;132;0;0;0;0;0;10;28;94;0;0;6
