Event;Date time;Lat;Long;water depth;comments;M. leidyi;P. pileus;S. tubulosa;Lucicutia sp.;Ctenophora, juv.;O. geniculata;Bougainvillia sp.;B. cucumis;Bolinopsis sp.;Clytia sp.;Phialella sp.;M. haeckelii ;R. octopunctata ;Scyphozoa, juv.;Cyanea sp.;Leuckartiara sp.;Nemopsis sp.;Clytia sp.;Eucheilota sp.;Aurelia aurita;E. indicans ;Lovenella sp.
List Reede;06.01.2020;55,0300;8,4600;15,25;;2;1;0;0;95;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
List Reede;13.01.2020;55,0300;8,4600;15,25;;5;0;0;0;52;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0
List Reede;20.01.2020;55,0300;8,4600;15,25;;0;0;0;0;31;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0
List Reede;27.01.2020;55,0300;8,4600;15,25;;2;0;0;0;5;0;0;2;0;0;0;0;0;0;0;0;4;0;0;0;0;0
List Reede;03.02.2020;55,0300;8,4600;15,25;;0;0;2;0;5;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
List Reede;10.02.2020;55,0300;8,4600;15,25;;1;0;3;0;9;0;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0
List Reede;17.02.2020;55,0300;8,4600;15,25;;0;1;0;0;3;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0
List Reede;25.02.2020;55,0300;8,4600;15,25;;0;1;0;0;2;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0
List Reede;02.03.2020;55,0300;8,4600;15,25;;0;3;5;0;2;0;0;22;0;0;0;0;3;0;0;0;0;0;0;0;0;0
List Reede;09.03.2020;55,0300;8,4600;15,25;;3;1;1;0;4;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
List Reede;16.03.2020;55,0300;8,4600;15,25;;3;0;2;0;3;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
List Reede;23.03.2020;55,0300;8,4600;15,25;;0;16;18;0;26;0;0;9;0;0;0;0;14;0;0;0;0;0;0;0;0;0
List Reede;30.03.2020;55,0300;8,4600;15,25;;4;77;7;0;323;0;0;5;0;0;0;0;61;0;0;0;0;0;0;0;0;0
