Study area (LWR);Functional Group;Compartment;Family;Species;Column;LWR;[W];[L];Source;meanL;Source;C/W-ratio;Source;Comments
;hydrozoan;hydromedusae;Corynidae;Sarsia tubulosa;S.tubulosa;10^(-0.3431+0.0605*log10(L));C [mg];bell diameter [mm];Lucas et al. (2014);9;Lucas et al. (2014);;;primary LWR source: Jankowski (2000) J Plankton Res, 22: 1329-1340.
;hydrozoan;hydromedusae;Rathkeidae;Rathkea octopuntata;R.octopuntata;10^(-0.3431+0.0605*log10(L));C [mg];bell diameter [mm];Lucas et al. (2014);4,5;Lucas et al. (2014);;;primary LWR source: Jankowski (2000) J Plankton Res, 22: 1329-1340.
;hydrozoan;hydromedusae;Bougainvilliidae;Nemopsis bachei;Nemopsis_sp;10^(-0.3431+0.0605*log10(L));C [mg];bell diameter [mm];Lucas et al. (2014);5,5;Lucas et al. (2014);;;Primarily occurring Nemopsis taxa in Wadden Sea (see Van Walraven et al., 2016)-->treated as Nemopsis sp.
;hydrozoan;hydromedusae;Phialellidae;Phialella sp.;Phialella_sp;10^(-0.3431+0.0605*log10(L));;;*treated as other hydrozoans;;;;;
;hydrozoan;hydromedusae;Lovenellidae;Eucheilota sp.;Eucheilota_sp;10^(-0.3431+0.0605*log10(L));;;*treated as other hydrozoans;;;;;
;hydrozoan;hydromedusae;Campanulariidae;Clytia haemispherica;Clytia_sp;10^(-0.3431+0.0605*log10(L));;;*treated as other hydrozoans;6,405;Lucas et al. (1995);;;"Primarily occurring Clytia taxa in Wadden Sea (see Laakmann & Holst, 2013)-->treated as Clytia sp. ; use of average size of the average size range: 5.67-7.14"
;hydrozoan;hydromedusae;Bougainvilliidae;Bougainvillia sp.;Bougainvillia_sp;10^(-0.3431+0.0605*log10(L));;;*treated as other hydrozoans;;;;;
;hydrozoan;hydromedusae;Campanulariidae;Obelia geniculata;O.geniculata;10^(-0.3431+0.0605*log10(L));;;*treated as other hydrozoans;;;;;
;ctenophore;Mnemiopsis leidyi;;Mnemiopsis leidyi;M.leidyi;1.074*L^(2.76);WW [mg];oral-apical length [mm];Lucas et al. (2014);5;;0,0015;Lucas et al. (2014);"primary LWR source: Finenko et al. (2001) Hydrobiologia, 451: 177-186. ; primary C/W source: Shushkina et al. (2000) Oceanology, 40: 809-816."
;ctenophore;Pleurobrachia pileus;;Pleurobrachia pileus;P.pileus;0.682*L^(2.522);WW [mg];oral-apical length [mm];Lucas et al. (2014);7,5;Timm Kress (pers. communication);0,001849;Lucas et al. (2014);"primary LWR & ratios source: Mutlu & Bingel (1999) Mar Biol, 135: 589-601. ; DW/WW=0,043 ; C/DW=0,043"
;ctenophore;Beroe cucumis;;Beroe cucumis;B.cucumis;1.77*L^(2.33);WW [mg];oral-apical length [mm];Lucas et al. (2014);12;Timm Kress (pers. communication);0,0015;Lucas et al. (2014);"primary LWR source: Finenko et al. (2001) Hydrobiologia, 451: 177-186. ; primary C/W source: Shushkina et al. (2000) Oceanology, 40: 809-816."
