;;;;;;Bivalvia ;Obelia;Ctenophora;Cnidaria indet.;Spionidae;Bipinnaria ;Echinopluteus ;Scoloplos ;Nereis;Gastropoda;Crepidula ;Cypris ;Carcinus Zoea ;Carcinus Megalopa ;Pandalus;Crangon;Pagurus;Lanice ;Magelona ;Appendicularia;Fritillaria;Podon;Evadne;Chaetognatha;Actiniaria 
Event;Date/Time;Latitude;Longitude;Depth water;Analyst͢͢/Aphia ID;105;117034;1248;1267;913;123080;123082;129425;129379;101;137722;1082;106922;106922;107044;107007;106854;129697;129341 ;146421;103358;106269;106267 ;2081;1360
List Ferry Terminal ;03.01.2007;55,01553;8,43990;surface - 1m;Petra Kadel;17;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;N/A
List Ferry Terminal ;10.01.2007;55,01553;8,43990;surface - 1m;Petra Kadel;10;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;N/A
List Ferry Terminal ;17.01.2007;55,01553;8,43990;surface - 1m;Petra Kadel;6;0;0;0;6;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;N/A
List Ferry Terminal ;24.01.2007;55,01553;8,43990;surface - 1m;Petra Kadel;10;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;N/A
List Ferry Terminal ;31.01.2007;55,01553;8,43990;surface - 1m;Petra Kadel;16;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;N/A
List Ferry Terminal ;07.02.2007;55,01553;8,43990;surface - 1m;Petra Kadel;9;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;N/A
List Ferry Terminal ;14.02.2007;55,01553;8,43990;surface - 1m;Petra Kadel;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;N/A
List Ferry Terminal ;21.02.2007;55,01553;8,43990;surface - 1m;Petra Kadel;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;N/A
List Ferry Terminal ;28.02.2007;55,01553;8,43990;surface - 1m;Petra Kadel;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;N/A
List Ferry Terminal ;07.03.2007;55,01553;8,43990;surface - 1m;Petra Kadel;2;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;N/A
List Ferry Terminal ;14.03.2007;55,01553;8,43990;surface - 1m;Petra Kadel;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;N/A
List Ferry Terminal ;19.03.2007;55,01553;8,43990;surface - 1m;Petra Kadel;2;0;0;0;9;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;N/A
List Ferry Terminal ;20.03.2007;55,01553;8,43990;surface - 1m;Petra Kadel;1;0;0;0;6;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;N/A
List Ferry Terminal ;21.03.2007;55,01553;8,43990;surface - 1m;Petra Kadel;6;0;0;1;7;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;N/A
List Ferry Terminal ;22.03.2007;55,01553;8,43990;surface - 1m;Petra Kadel;15;0;0;0;15;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;N/A
List Ferry Terminal ;23.03.2007;55,01553;8,43990;surface - 1m;Petra Kadel;8;0;0;0;28;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;N/A
List Ferry Terminal ;24.03.2007;55,01553;8,43990;surface - 1m;Petra Kadel;9;0;0;0;30;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
List Ferry Terminal ;25.03.2007;55,01553;8,43990;surface - 1m;Petra Kadel;6;0;0;1;153;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal ;26.03.2007;55,01553;8,43990;surface - 1m;Petra Kadel;4;0;0;0;165;7;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal ;27.03.2007;55,01553;8,43990;surface - 1m;Petra Kadel;4;0;0;0;168;7;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal ;29.03.2007;55,01553;8,43990;surface - 1m;Petra Kadel;4;0;0;0;30;1;0;0;0;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal ;31.03.2007;55,01553;8,43990;surface - 1m;Petra Kadel;4;0;0;0;72;1;0;3;0;3;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal ;02.04.2007;55,01553;8,43990;surface - 1m;Petra Kadel;8;0;0;0;4;0;0;3;0;2;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal ;04.04.2007;55,01553;8,43990;surface - 1m;Petra Kadel;14;0;0;0;17;4;0;2;0;1;0;20;0;0;0;0;0;0;0;1;0;0;0;0;0
List Ferry Terminal ;06.04.2007;55,01553;8,43990;surface - 1m;Petra Kadel;7;0;0;1;7;1;0;2;0;0;0;3;0;0;0;0;1;0;0;3;0;0;0;0;0
List Ferry Terminal ;08.04.2007;55,01553;8,43990;surface - 1m;Petra Kadel;14;0;0;0;6;1;0;1;0;1;0;11;0;0;0;0;0;0;0;3;0;0;0;0;0
List Ferry Terminal ;10.04.2007;55,01553;8,43990;surface - 1m;Petra Kadel;26;0;0;0;8;0;0;1;0;1;0;12;0;0;0;1;1;0;0;1;0;0;0;0;0
List Ferry Terminal ;12.04.2007;55,01553;8,43990;surface - 1m;Petra Kadel;58;0;0;1;11;1;0;1;0;4;0;11;0;0;0;0;1;0;0;4;0;0;0;0;0
List Ferry Terminal ;14.04.2007;55,01553;8,43990;surface - 1m;Petra Kadel;49;0;0;3;6;0;0;0;0;5;0;6;0;0;0;0;0;0;0;3;0;0;0;0;0
List Ferry Terminal ;16.04.2007;55,01553;8,43990;surface - 1m;Petra Kadel;114;0;0;1;23;0;0;0;0;24;0;5;0;0;0;0;0;1;0;14;0;0;0;0;0
List Ferry Terminal ;18.04.2007;55,01553;8,43990;surface - 1m;Petra Kadel;129;0;0;3;14;3;1;0;0;13;0;9;0;0;0;0;0;3;0;33;0;0;0;0;0
List Ferry Terminal ;20.04.2007;55,01553;8,43990;surface - 1m;Petra Kadel;181;0;0;2;8;2;0;0;0;17;0;12;3;0;0;0;0;4;0;35;0;0;0;0;0
List Ferry Terminal ;22.04.2007;55,01553;8,43990;surface - 1m;Petra Kadel;1104;0;0;5;19;4;0;0;0;72;0;3;1;0;0;0;0;4;0;52;0;0;0;0;0
List Ferry Terminal ;24.04.2007;55,01553;8,43990;surface - 1m;Petra Kadel;2232;0;0;0;29;4;2;0;0;49;0;3;0;0;0;0;0;3;0;25;0;0;0;0;0
List Ferry Terminal ;26.04.2007;55,01553;8,43990;surface - 1m;Petra Kadel;3240;1;0;0;60;0;0;0;0;172;0;1;0;0;0;0;0;1;0;23;0;0;0;0;0
List Ferry Terminal ;28.04.2007;55,01553;8,43990;surface - 1m;Petra Kadel;2440;0;0;1;24;0;4;0;0;139;0;1;1;0;0;0;0;6;0;29;0;0;0;0;0
List Ferry Terminal ;30.04.2007;55,01553;8,43990;surface - 1m;Petra Kadel;3968;0;0;2;21;4;7;0;0;111;0;6;3;0;0;0;0;6;0;46;0;0;0;0;0
List Ferry Terminal ;02.05.2007;55,01553;8,43990;surface - 1m;Petra Kadel;7320;0;0;2;32;2;13;0;0;88;0;2;4;0;1;0;0;12;0;51;0;0;0;0;0
List Ferry Terminal ;04.05.2007;55,01553;8,43990;surface - 1m;Petra Kadel;5624;3;0;3;47;4;13;0;0;92;5;2;0;0;0;0;0;12;0;82;0;0;0;0;0
List Ferry Terminal ;06.05.2007;55,01553;8,43990;surface - 1m;Petra Kadel;3408;0;0;0;72;1;2;0;0;142;8;4;1;0;0;0;0;17;0;25;0;0;0;0;0
List Ferry Terminal ;08.05.2007;55,01553;8,43990;surface - 1m;Petra Kadel;3232;0;0;1;34;0;3;0;0;68;7;4;1;0;0;0;0;14;0;26;0;0;0;0;0
List Ferry Terminal ;10.05.2007;55,01553;8,43990;surface - 1m;Petra Kadel;4000;1;0;2;35;0;7;0;0;70;10;7;0;0;0;0;0;25;0;42;0;0;0;0;0
List Ferry Terminal ;12.05.2007;55,01553;8,43990;surface - 1m;Petra Kadel;2992;16;0;1;135;0;5;0;0;189;13;2;1;0;0;0;0;9;0;35;0;0;0;0;0
List Ferry Terminal ;14.05.2007;55,01553;8,43990;surface - 1m;Petra Kadel;1336;3;0;0;13;0;5;0;0;59;4;1;0;0;0;0;0;5;2;4;0;0;0;0;0
List Ferry Terminal ;16.05.2007;55,01553;8,43990;surface - 1m;Petra Kadel;646;7;0;0;39;1;17;0;0;81;2;2;1;0;0;0;0;5;11;48;0;0;0;0;0
List Ferry Terminal ;18.05.2007;55,01553;8,43990;surface - 1m;Petra Kadel;160;5;0;2;46;0;24;0;0;145;4;5;1;0;0;0;0;5;9;44;0;0;2;0;0
List Ferry Terminal ;20.05.2007;55,01553;8,43990;surface - 1m;Petra Kadel;49;1;0;0;12;0;14;0;0;33;0;1;1;0;0;0;0;3;0;15;0;0;0;1;0
List Ferry Terminal ;22.05.2007;55,01553;8,43990;surface - 1m;Petra Kadel;309;11;0;1;52;0;12;0;0;86;2;1;0;0;0;0;0;15;9;41;0;0;0;0;0
List Ferry Terminal ;25.05.2007;55,01553;8,43990;surface - 1m;Petra Kadel;409;1;0;0;41;0;4;0;0;159;9;0;0;0;0;0;0;5;3;21;0;0;0;0;0
List Ferry Terminal ;27.05.2007;55,01553;8,43990;surface - 1m;Petra Kadel;367;2;0;2;48;0;1;0;0;135;4;1;1;0;0;0;0;0;0;20;0;0;0;0;0
List Ferry Terminal ;28.05.2007;55,01553;8,43990;surface - 1m;Petra Kadel;195;1;0;1;51;0;3;0;0;196;0;1;0;0;0;0;0;2;3;20;0;0;0;1;0
List Ferry Terminal ;31.05.2007;55,01553;8,43990;surface - 1m;Petra Kadel;320;1;0;0;93;0;3;0;0;236;3;2;0;0;0;0;0;2;5;34;5;0;0;0;0
List Ferry Terminal ;01.06.2007;55,01553;8,43990;surface - 1m;Petra Kadel;168;0;0;4;34;0;1;0;0;90;0;0;0;0;0;0;0;2;6;25;0;0;0;0;0
List Ferry Terminal ;04.06.2007;55,01553;8,43990;surface - 1m;Petra Kadel;98;0;0;10;37;0;0;0;0;47;3;0;1;0;0;0;0;6;8;27;0;0;1;0;0
List Ferry Terminal ;06.06.2007;55,01553;8,43990;surface - 1m;Petra Kadel;102;1;0;4;18;0;0;0;0;45;0;0;0;0;0;0;0;3;1;25;0;0;1;0;0
List Ferry Terminal ;08.06.2007;55,01553;8,43990;surface - 1m;Petra Kadel;147;0;0;4;49;0;2;0;0;93;1;0;0;0;0;0;0;5;0;42;1;0;0;2;0
List Ferry Terminal ;10.06.2007;55,01553;8,43990;surface - 1m;Petra Kadel;135;0;0;4;52;0;9;0;0;41;0;0;0;0;0;0;0;2;0;65;2;0;0;0;0
List Ferry Terminal ;12.06.2007;55,01553;8,43990;surface - 1m;Petra Kadel;179;1;0;1;41;0;9;0;0;5;0;0;0;0;0;0;0;10;3;188;4;0;0;0;0
List Ferry Terminal ;14.06.2007;55,01553;8,43990;surface - 1m;Petra Kadel;135;1;0;3;83;0;5;0;0;8;3;0;0;0;0;0;0;8;1;78;6;0;0;0;0
