;;;;;;Bivalvia ;Obelia;Ctenophora;Cnidaria indet.;Spionidae;Bipinnaria ;Echinopluteus ;Scoloplos ;Nereis;Gastropoda;Crepidula ;Cypris ;Carcinus Zoea ;Carcinus Megalopa ;Pandalus;Pagurus;Lanice ;Magelona ;Appendicularia;Fritillaria;Podon;Evadne;Chaetognatha;Actiniaria ;;
Event;Date/Time;Latitude;Longitude;Depth water;Analyst͢͢/Aphia ID;105;117034;1248;1267;913;123080;123082;129425;129379;101;137722;1082;106922;106922;107044;106854;129697;129341 ;146421;103358;106269;106267 ;2081;1360;;
List Ferry Terminal ;09.01.2008;55,01553;8,43990;surface - 1m;Petra Kadel;0;0;0;0;43;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
List Ferry Terminal ;19.01.2008;55,01553;8,43990;surface - 1m;Petra Kadel;6;0;0;0;31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
List Ferry Terminal ;24.01.2008;55,01553;8,43990;surface - 1m;Petra Kadel;2;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
List Ferry Terminal ;30.01.2008;55,01553;8,43990;surface - 1m;Petra Kadel;1;0;0;0;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
List Ferry Terminal ;07.02.2008;55,01553;8,43990;surface - 1m;Petra Kadel;4;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
List Ferry Terminal ;11.02.2008;55,01553;8,43990;surface - 1m;Petra Kadel;1;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
List Ferry Terminal ;19.02.2008;55,01553;8,43990;surface - 1m;Petra Kadel;4;0;0;0;62;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
List Ferry Terminal ;28.02.2008;55,01553;8,43990;surface - 1m;Petra Kadel;6;0;0;0;61;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
List Ferry Terminal ;05.03.2008;55,01553;8,43990;surface - 1m;Petra Kadel;8;0;0;0;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
List Ferry Terminal ;11.03.2008;55,01553;8,43990;surface - 1m;Petra Kadel;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
List Ferry Terminal ;18.03.2008;55,01553;8,43990;surface - 1m;Petra Kadel;3;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
List Ferry Terminal ;20.03.2008;55,01553;8,43990;surface - 1m;Petra Kadel;6;0;0;0;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
List Ferry Terminal ;22.03.2008;55,01553;8,43990;surface - 1m;Petra Kadel;1;0;0;0;27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
List Ferry Terminal ;24.03.2008;55,01553;8,43990;surface - 1m;Petra Kadel;6;0;0;0;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
List Ferry Terminal ;26.03.2008;55,01553;8,43990;surface - 1m;Petra Kadel;8;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
List Ferry Terminal ;28.03.2008;55,01553;8,43990;surface - 1m;Petra Kadel;5;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
List Ferry Terminal ;01.04.2008;55,01553;8,43990;surface - 1m;Petra Kadel;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
List Ferry Terminal ;02.04.2008;55,01553;8,43990;surface - 1m;Petra Kadel;4;0;0;0;56;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
List Ferry Terminal ;07.04.2008;55,01553;8,43990;surface - 1m;Petra Kadel;2;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
List Ferry Terminal ;09.04.2008;55,01553;8,43990;surface - 1m;Petra Kadel;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
List Ferry Terminal ;11.04.2008;55,01553;8,43990;surface - 1m;Petra Kadel;2;0;0;0;9;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
List Ferry Terminal ;14.04.2008;55,01553;8,43990;surface - 1m;Petra Kadel;10;0;0;0;22;7;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;;
List Ferry Terminal ;16.04.2008;55,01553;8,43990;surface - 1m;Petra Kadel;37;0;0;0;28;2;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;;
List Ferry Terminal ;18.04.2008;55,01553;8,43990;surface - 1m;Petra Kadel;147;0;0;0;33;12;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
List Ferry Terminal ;21.04.2008;55,01553;8,43990;surface - 1m;Petra Kadel;257;0;0;0;11;0;0;0;0;0;0;40;0;0;0;0;0;0;0;0;0;0;0;0;;
List Ferry Terminal ;23.04.2008;55,01553;8,43990;surface - 1m;Petra Kadel;94;0;0;0;1;1;0;0;0;1;0;6;0;0;0;0;0;0;0;0;0;0;0;0;;
List Ferry Terminal ;25.04.2008;55,01553;8,43990;surface - 1m;Petra Kadel;217;0;0;0;2;0;0;0;0;4;0;16;0;0;0;0;1;0;0;0;0;0;0;0;;
List Ferry Terminal ;28.04.2008;55,01553;8,43990;surface - 1m;Petra Kadel;199;0;0;0;3;0;0;0;0;3;0;3;0;0;0;0;6;0;0;0;0;0;0;0;;
List Ferry Terminal ;30.04.2008;55,01553;8,43990;surface - 1m;Petra Kadel;179;0;0;0;14;0;0;0;0;13;0;10;0;0;0;0;9;0;0;0;0;0;0;0;;
List Ferry Terminal ;02.05.2008;55,01553;8,43990;surface - 1m;Petra Kadel;411;0;0;0;18;0;0;0;0;16;0;4;0;0;0;0;11;0;0;0;0;0;0;0;;
List Ferry Terminal ;05.05.2008;55,01553;8,43990;surface - 1m;Petra Kadel;516;0;0;0;24;0;0;0;0;31;0;1;0;0;0;0;11;0;1;0;0;0;0;0;;
List Ferry Terminal ;07.05.2008;55,01553;8,43990;surface - 1m;Petra Kadel;910;0;0;0;26;7;0;0;0;28;2;10;0;0;0;0;25;0;1;0;0;0;0;0;;
List Ferry Terminal ;09.05.2008;55,01553;8,43990;surface - 1m;Petra Kadel;749;0;0;0;49;2;0;0;0;21;2;7;0;0;0;0;34;0;31;0;0;0;0;0;;
List Ferry Terminal ;12.05.2008;55,01553;8,43990;surface - 1m;Petra Kadel;882;0;0;0;23;2;0;0;0;10;2;27;0;0;0;0;21;0;24;0;0;0;0;0;;
