;;;;;;Bivalvia ;Obelia;Ctenophora;Cnidaria indet.;Spionidae;Bipinnaria ;Echinopluteus ;Scoloplos ;Nereis;Gastropoda;Crepidula ;Cypris ;Carcinus Zoea ;Carcinus Megalopa ;Pandalus;Pagurus;Gammarus;Crangon;Mysidae;Lanice ;Magelona ;Appendicularia;Fritillaria;Podon;Evadne;Chaetognatha;Actiniaria 
Event;Date/Time;Latitude;Longitude;Depth water;Analyst͢͢/Aphia ID;105;117034;1248;1267;913;123080;123082;129425;129379;101;137722;1082;106922;106922;107044;106854;101537;107007;119822;129697;129341 ;146421;103358;106269;106267 ;2081;1360
List Ferry Terminal ;07.01.2009;55,01553;8,43990;surface - 1m;Petra Kadel;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal ;14.01.2009;55,01553;8,43990;surface - 1m;Petra Kadel;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal ;28.01.2009;55,01553;8,43990;surface - 1m;Petra Kadel;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal ;04.02.2009;55,01553;8,43990;surface - 1m;Petra Kadel;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal ;18.02.2009;55,01553;8,43990;surface - 1m;Petra Kadel;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal ;25.02.2009;55,01553;8,43990;surface - 1m;Petra Kadel;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal ;11.03.2009;55,01553;8,43990;surface - 1m;Petra Kadel;0;0;0;0;5;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal ;26.03.2009;55,01553;8,43990;surface - 1m;Petra Kadel;0;0;0;0;6;0;0;2;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal ;03.04.2009;55,01553;8,43990;surface - 1m;Petra Kadel;0;0;0;0;6;8;0;1;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal ;06.04.2009;55,01553;8,43990;surface - 1m;Petra Kadel;0;0;0;2;16;6;0;1;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal ;08.04.2009;55,01553;8,43990;surface - 1m;Petra Kadel;22;0;0;1;14;11;0;0;6;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal ;10.04.2009;55,01553;8,43990;surface - 1m;Petra Kadel;24;0;0;1;11;27;0;1;2;2;0;13;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
List Ferry Terminal ;13.04.2009;55,01553;8,43990;surface - 1m;Petra Kadel;239;0;0;0;21;37;0;0;1;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal ;15.04.2009;55,01553;8,43990;surface - 1m;Petra Kadel;359;1;0;1;6;7;0;0;0;5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal ;17.04.2009;55,01553;8,43990;surface - 1m;Petra Kadel;710;1;0;0;13;7;0;0;0;10;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal ;20.04.2009;55,01553;8,43990;surface - 1m;Petra Kadel;819;0;0;0;13;5;0;0;0;6;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
List Ferry Terminal ;22.04.2009;55,01553;8,43990;surface - 1m;Petra Kadel;776;0;0;2;14;21;0;0;0;5;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
List Ferry Terminal ;24.04.2009;55,01553;8,43990;surface - 1m;Petra Kadel;876;1;0;2;16;19;1;0;1;12;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1
List Ferry Terminal ;27.04.2009;55,01553;8,43990;surface - 1m;Petra Kadel;302;0;0;0;15;2;0;1;0;22;1;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
List Ferry Terminal ;29.04.2009;55,01553;8,43990;surface - 1m;Petra Kadel;461;1;0;1;20;16;9;0;2;11;0;3;0;0;0;0;0;0;0;8;5;0;0;0;0;0;2
List Ferry Terminal ;04.05.2009;55,01553;8,43990;surface - 1m;Petra Kadel;150;1;0;0;76;2;2;0;0;26;3;2;0;0;0;0;0;0;0;3;1;0;0;0;0;0;1
List Ferry Terminal ;06.05.2009;55,01553;8,43990;surface - 1m;Petra Kadel;107;0;0;0;20;0;2;0;0;9;1;2;0;0;1;0;0;0;0;6;3;0;0;0;0;0;0
List Ferry Terminal ;09.05.2009;55,01553;8,43990;surface - 1m;Petra Kadel;71;1;0;0;11;0;0;0;0;9;2;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1
List Ferry Terminal ;11.05.2009;55,01553;8,43990;surface - 1m;Petra Kadel;36;0;0;0;23;0;1;0;0;14;5;11;0;0;0;0;0;0;0;2;4;0;0;0;0;0;0
List Ferry Terminal ;13.05.2009;55,01553;8,43990;surface - 1m;Petra Kadel;22;1;0;0;25;0;0;0;1;24;1;30;0;0;0;0;0;0;0;5;1;0;0;0;0;0;1
List Ferry Terminal ;15.05.2009;55,01553;8,43990;surface - 1m;Petra Kadel;82;5;0;0;100;1;2;0;1;72;6;24;3;0;0;0;0;0;0;6;5;0;0;1;0;0;0
List Ferry Terminal ;18.05.2009;55,01553;8,43990;surface - 1m;Petra Kadel;245;1;0;1;15;0;1;0;1;80;2;14;1;0;0;0;0;0;0;7;0;0;0;0;0;0;0
List Ferry Terminal ;20.05.2009;55,01553;8,43990;surface - 1m;Petra Kadel;44;2;0;0;10;0;0;0;0;19;2;11;0;0;0;0;0;0;0;5;1;0;0;0;0;0;0
List Ferry Terminal ;23.05.2009;55,01553;8,43990;surface - 1m;Petra Kadel;122;7;0;0;27;2;4;0;1;13;2;9;1;0;0;0;0;0;0;7;1;0;0;2;4;0;0
List Ferry Terminal ;29.05.2009;55,01553;8,43990;surface - 1m;Petra Kadel;40;1;0;0;32;0;0;0;0;23;0;2;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0
List Ferry Terminal ;01.06.2009;55,01553;8,43990;surface - 1m;Petra Kadel;44;1;0;0;55;0;0;0;1;46;6;11;2;0;0;0;0;0;0;1;0;14;0;1;0;0;0
List Ferry Terminal ;03.06.2009;55,01553;8,43990;surface - 1m;Petra Kadel;19;1;0;0;19;0;0;0;0;24;2;8;0;0;0;0;0;0;0;0;0;4;0;0;1;0;0
List Ferry Terminal ;04.06.2009;55,01553;8,43990;surface - 1m;Petra Kadel;32;0;0;2;53;0;1;0;0;9;2;7;0;0;0;0;0;0;0;4;1;24;0;0;10;0;1
List Ferry Terminal ;05.06.2009;55,01553;8,43990;surface - 1m;Petra Kadel;33;4;0;1;43;0;0;0;1;113;3;20;1;0;0;0;0;0;0;0;3;63;1;0;2;0;0
List Ferry Terminal ;08.06.2009;55,01553;8,43990;surface - 1m;Petra Kadel;16;3;0;1;6;0;0;0;0;28;1;14;1;0;0;0;0;0;0;1;0;16;0;0;0;0;0
List Ferry Terminal ;10.06.2009;55,01553;8,43990;surface - 1m;Petra Kadel;2;0;0;1;5;0;0;0;0;19;0;16;0;4;0;0;0;0;0;0;0;7;0;0;1;0;0
List Ferry Terminal ;12.06.2009;55,01553;8,43990;surface - 1m;Petra Kadel;11;0;0;0;5;0;0;0;0;10;1;12;0;0;0;0;0;0;0;0;0;4;0;1;0;0;0
List Ferry Terminal ;15.06.2009;55,01553;8,43990;surface - 1m;Petra Kadel;99;0;0;0;20;0;0;0;1;45;2;9;0;0;0;0;0;0;0;3;0;10;0;0;0;0;0
List Ferry Terminal ;17.06.2009;55,01553;8,43990;surface - 1m;Petra Kadel;53;0;0;0;30;0;0;0;0;45;4;2;0;1;0;0;0;0;0;0;0;10;0;0;0;0;0
List Ferry Terminal ;19.06.2009;55,01553;8,43990;surface - 1m;Petra Kadel;53;0;0;0;44;0;0;0;0;22;4;19;0;0;0;0;0;0;0;2;0;11;0;0;0;0;0
List Ferry Terminal ;22.06.2009;55,01553;8,43990;surface - 1m;Petra Kadel;46;0;0;0;20;0;0;0;0;19;5;4;0;0;0;0;0;0;0;14;0;9;0;0;0;0;0
