;;;;;;Bivalvia ;Obelia;Ctenophora;Cnidaria indet.;Spionidae;Bipinnaria ;Echinopluteus ;Scoloplos ;Nereis;Gastropoda;Crepidula ;Cypris ;Carcinus Zoea ;Carcinus Megalopa ;Pagurus;Pandalus;Lanice ;Magelona ;Appendicularia;Fritillaria;Podon;Evadne;Chaetognatha;Actiniaria 
Event;Date/Time;Latitude;Longitude;Depth water;Analyst͢͢/Aphia ID;105;117034;1248;1267;913;123080;123082;129425;129379;101;137722;1082;106922;106922;106854;107044;129697;129341 ;146421;103358;106269;106267 ;2081;1360
List Ferry Terminal ;04.01.2010;55,01553;8,43990;surface - 1m;Petra Kadel;1;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal ;11.01.2010;55,01553;8,43990;surface - 1m;Petra Kadel;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal ;27.01.2010;55,01553;8,43990;surface - 1m;Petra Kadel;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
List Ferry Terminal ;09.02.2010;55,01553;8,43990;surface - 1m;Petra Kadel;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal ;15.02.2010;55,01553;8,43990;surface - 1m;Petra Kadel;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal ;22.02.2010;55,01553;8,43990;surface - 1m;Petra Kadel;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal ;23.02.2010;55,01553;8,43990;surface - 1m;Petra Kadel;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal ;01.03.2010;55,01553;8,43990;surface - 1m;Petra Kadel;1;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal ;03.03.2010;55,01553;8,43990;surface - 1m;Petra Kadel;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal ;06.03.2010;55,01553;8,43990;surface - 1m;Petra Kadel;0;0;0;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal ;08.03.2010;55,01553;8,43990;surface - 1m;Petra Kadel;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
List Ferry Terminal ;10.03.2010;55,01553;8,43990;surface - 1m;Petra Kadel;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal ;12.03.2010;55,01553;8,43990;surface - 1m;Petra Kadel;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal ;17.03.2010;55,01553;8,43990;surface - 1m;Petra Kadel;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal ;19.03.2010;55,01553;8,43990;surface - 1m;Petra Kadel;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal ;22.03.2010;55,01553;8,43990;surface - 1m;Petra Kadel;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal ;24.03.2010;55,01553;8,43990;surface - 1m;Petra Kadel;1;0;0;0;7;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal ;26.03.2010;55,01553;8,43990;surface - 1m;Petra Kadel;1;0;0;0;6;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal ;29.03.2010;55,01553;8,43990;surface - 1m;Petra Kadel;0;0;0;0;9;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal ;31.03.2010;55,01553;8,43990;surface - 1m;Petra Kadel;1;0;0;1;8;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal ;02.04.2010;55,01553;8,43990;surface - 1m;Petra Kadel;0;0;0;0;5;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
List Ferry Terminal ;05.04.2010;55,01553;8,43990;surface - 1m;Petra Kadel;2;0;0;1;15;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal ;07.04.2010;55,01553;8,43990;surface - 1m;Petra Kadel;0;0;0;0;6;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal ;09.04.2010;55,01553;8,43990;surface - 1m;Petra Kadel;0;1;0;0;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;4;0;0;0;0
List Ferry Terminal ;12.04.2010;55,01553;8,43990;surface - 1m;Petra Kadel;6;0;0;1;4;7;0;1;0;0;0;3;0;0;0;0;0;0;0;3;0;0;0;0
List Ferry Terminal ;14.04.2010;55,01553;8,43990;surface - 1m;Petra Kadel;7;0;0;2;9;6;0;1;0;0;0;7;0;0;0;0;0;0;2;19;0;0;0;0
List Ferry Terminal ;16.04.2010;55,01553;8,43990;surface - 1m;Petra Kadel;5;0;0;0;12;10;0;0;;0;0;32;0;0;0;0;0;0;1;48;1;0;0;0
List Ferry Terminal ;19.04.2010;55,01553;8,43990;surface - 1m;Petra Kadel;9;0;0;2;8;9;0;0;30;0;0;72;0;0;1;0;0;0;2;19;0;0;0;0
List Ferry Terminal ;21.04.2010;55,01553;8,43990;surface - 1m;Petra Kadel;19;0;0;1;8;1;0;0;9;2;0;11;0;0;0;0;0;0;0;16;0;0;0;0
List Ferry Terminal ;23.04.2010;55,01553;8,43990;surface - 1m;Petra Kadel;17;0;0;2;12;3;0;0;0;1;0;15;0;0;0;0;0;0;1;8;0;0;0;0
List Ferry Terminal ;26.04.2010;55,01553;8,43990;surface - 1m;Petra Kadel;7;0;0;2;16;3;0;0;5;0;0;21;0;0;0;0;0;0;0;8;0;0;0;0
List Ferry Terminal ;28.04.2010;55,01553;8,43990;surface - 1m;Petra Kadel;7;0;0;1;17;1;0;0;2;1;0;19;0;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal ;30.04.2010;55,01553;8,43990;surface - 1m;Petra Kadel;19;0;0;3;11;1;0;0;2;2;0;44;0;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal ;03.05.2010;55,01553;8,43990;surface - 1m;Petra Kadel;392;0;0;2;74;1;0;0;0;103;0;12;0;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal ;06.05.2010;55,01553;8,43990;surface - 1m;Petra Kadel;2728;0;0;0;34;4;0;0;0;64;0;8;0;0;0;0;0;0;1;3;0;0;0;0
List Ferry Terminal ;07.05.2010;55,01553;8,43990;surface - 1m;Petra Kadel;1440;0;0;1;33;0;0;0;3;46;0;14;0;0;0;0;0;0;0;1;0;0;0;0
List Ferry Terminal ;10.05.2010;55,01553;8,43990;surface - 1m;Petra Kadel;236;0;0;2;39;4;0;0;0;21;0;10;0;0;0;0;0;1;0;6;0;0;0;0
List Ferry Terminal ;17.05.2010;55,01553;8,43990;surface - 1m;Petra Kadel;60;0;0;0;221;0;0;0;0;41;0;6;0;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal ;19.05.2010;55,01553;8,43990;surface - 1m;Petra Kadel;127;0;0;1;70;1;0;0;0;17;0;5;0;0;0;0;0;0;0;0;0;0;0;0
