;;;;;;Bivalvia ;Obelia;Ctenophora;Cnidaria indet.;Spionidae;Bipinnaria ;Echinopluteus ;Scoloplos ;Nereis;Gastropoda;Crepidula ;Cypris ;Carcinus Zoea ;Carcinus Megalopa ;Pagurus;Lanice ;Magelona ;Appendicularia;Fritillaria;Podon;Evadne;Chaetognatha;Actiniaria 
Event;Date/Time;Latitude;Longitude;Depth water;Analyst͢͢/Aphia ID;105;117034;1248;1267;913;123080;123082;129425;129379;101;137722;1082;106922;106922;106854;129697;129341 ;146421;103358;106269;106267 ;2081;1360
List Ferry Terminal ;02.01.2014;55,01553;8,43990;surface - 1m;Petra Kadel;1;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal ;08.01.2014;55,01553;8,43990;surface - 1m;Petra Kadel;1;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal ;15.01.2014;55,01553;8,43990;surface - 1m;Petra Kadel;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal ;22.01.2014;55,01553;8,43990;surface - 1m;Petra Kadel;1;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal ;24.02.2014;55,01553;8,43990;surface - 1m;Petra Kadel;4;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal ;26.02.2014;55,01553;8,43990;surface - 1m;Petra Kadel;1;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal ;03.03.2014;55,01553;8,43990;surface - 1m;Petra Kadel;3;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal ;05.03.2014;55,01553;8,43990;surface - 1m;Petra Kadel;0;0;0;0;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal ;07.03.2014;55,01553;8,43990;surface - 1m;Petra Kadel;7;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal ;10.03.2014;55,01553;8,43990;surface - 1m;Petra Kadel;6;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal ;12.03.2014;55,01553;8,43990;surface - 1m;Petra Kadel;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal ;14.03.2014;55,01553;8,43990;surface - 1m;Petra Kadel;4;0;0;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal ;17.03.2014;55,01553;8,43990;surface - 1m;Petra Kadel;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal ;19.03.2014;55,01553;8,43990;surface - 1m;Petra Kadel;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal ;21.03.2014;55,01553;8,43990;surface - 1m;Petra Kadel;9;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal ;24.03.2014;55,01553;8,43990;surface - 1m;Petra Kadel;10;0;0;0;23;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal ;23.04.2014;55,01553;8,43990;surface - 1m;Petra Kadel;201;0;0;5;9;1;0;0;0;19;0;10;0;0;0;2;0;0;3;0;0;0;0
List Ferry Terminal ;25.04.2014;55,01553;8,43990;surface - 1m;Petra Kadel;377;0;0;24;25;2;1;0;0;40;0;11;0;0;0;3;0;0;0;1;0;0;0
List Ferry Terminal ;28.04.2014;55,01553;8,43990;surface - 1m;Petra Kadel;858;0;0;22;26;3;0;0;0;39;0;4;0;0;0;2;1;0;0;0;0;0;0
List Ferry Terminal ;30.04.2014;55,01553;8,43990;surface - 1m;Petra Kadel;616;1;0;1;100;0;1;0;0;105;0;9;0;0;0;1;0;0;0;0;0;0;0
List Ferry Terminal ;02.05.2014;55,01553;8,43990;surface - 1m;Petra Kadel;531;0;0;1;82;1;0;0;0;237;3;2;1;0;0;3;0;0;0;0;0;0;0
List Ferry Terminal ;09.05.2014;55,01553;8,43990;surface - 1m;Petra Kadel;1556;0;0;16;74;1;3;0;0;20;1;0;0;0;0;1;2;1;31;0;0;0;0
List Ferry Terminal ;16.05.2014;55,01553;8,43990;surface - 1m;Petra Kadel;209;0;0;0;77;0;2;0;0;74;4;7;1;0;0;1;1;5;1;0;0;0;0
List Ferry Terminal ;23.05.2014;55,01553;8,43990;surface - 1m;Petra Kadel;106;0;0;0;65;0;1;0;0;89;1;6;1;0;0;0;2;6;1;0;0;0;0
List Ferry Terminal ;30.05.2014;55,01553;8,43990;surface - 1m;Petra Kadel;183;0;0;0;30;0;0;0;0;44;0;7;0;0;0;1;0;81;0;0;0;0;0
