;;;;;;Bivalvia ;Obelia;Ctenophora;Cnidaria indet.;Spionidae;Bipinnaria ;Echinopluteus ;Scoloplos ;Nereis;Gastropoda;Crepidula ;Cypris ;Pandalus;Carcinus Zoea ;Carcinus Megalopa ;Pagurus;Lanice ;Magelona ;Appendicularia;Fritillaria;Podon;Evadne;Chaetognatha;Actiniaria 
Event;Date/Time;Latitude;Longitude;Depth water;Analyst͢͢/Aphia ID;105;117034;1248;1267;913;123080;123082;129425;129379;101;137722;1082;107044;106922;106922;106854;129697;129341 ;146421;103358;106269;106267 ;2081;1360
List Ferry Terminal ;18.02.2016;55,01553;8,43990;surface - 1m;Petra Kadel;7;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal ;04.03.2016;55,01553;8,43990;surface - 1m;Petra Kadel;4;0;0;0;11;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal ;11.03.2016;55,01553;8,43990;surface - 1m;Petra Kadel;4;0;0;0;6;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal ;18.03.2016;55,01553;8,43990;surface - 1m;Petra Kadel;10;0;0;0;27;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal ;25.03.2016;55,01553;8,43990;surface - 1m;Petra Kadel;7;0;0;3;41;1;0;2;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal ;01.04.2016;55,01553;8,43990;surface - 1m;Petra Kadel;9;1;0;0;39;6;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal ;08.04.2016;55,01553;8,43990;surface - 1m;Petra Kadel;132;0;0;0;9;3;0;1;4;1;0;1;0;0;0;0;2;0;0;2;0;0;0;0
List Ferry Terminal ;15.04.2016;55,01553;8,43990;surface - 1m;Petra Kadel;489;0;0;2;21;1;7;0;0;2;0;11;0;0;0;0;2;12;0;2;0;0;0;0
List Ferry Terminal ;29.04.2016;55,01553;8,43990;surface - 1m;Petra Kadel;69;1;0;0;14;1;0;0;0;0;0;18;0;0;0;0;1;1;0;0;0;0;0;0
List Ferry Terminal ;13.05.2016;55,01553;8,43990;surface - 1m;Petra Kadel;1723;1;0;2;152;2;14;0;1;103;1;13;0;0;0;0;0;2;31;0;0;0;0;0
List Ferry Terminal ;25.05.2016;55,01553;8,43990;surface - 1m;Petra Kadel;54;1;0;0;123;0;11;0;0;130;0;17;1;0;0;0;7;0;8;0;0;0;0;0
List Ferry Terminal ;27.05.2016;55,01553;8,43990;surface - 1m;Petra Kadel;57;1;0;0;89;0;11;0;0;82;0;2;0;0;0;0;9;3;10;0;0;0;0;0
List Ferry Terminal ;29.05.2016;55,01553;8,43990;surface - 1m;Petra Kadel;50;1;0;1;12;0;1;0;2;5;1;1;0;0;0;0;0;0;55;0;3;1;0;0
List Ferry Terminal ;05.06.2016;55,01553;8,43990;surface - 1m;Petra Kadel;106;0;0;0;54;0;0;0;0;104;9;2;0;0;0;0;2;0;0;0;0;0;0;0
List Ferry Terminal ;10.06.2016;55,01553;8,43990;surface - 1m;Petra Kadel;54;1;0;0;27;0;0;0;3;20;1;0;0;7;0;0;3;0;7;0;0;0;0;0
List Ferry Terminal ;17.06.2016;55,01553;8,43990;surface - 1m;Petra Kadel;35;2;0;0;31;0;0;0;0;12;0;0;0;0;0;0;2;0;36;0;3;2;0;0
List Ferry Terminal ;01.07.2016;55,01553;8,43990;surface - 1m;Petra Kadel;22;0;0;0;38;0;0;0;0;4;3;0;0;0;0;0;0;0;23;0;1;0;0;0
List Ferry Terminal ;04.07.2016;55,01553;8,43990;surface - 1m;Petra Kadel;10;0;0;0;33;0;0;0;1;0;0;1;0;0;0;0;1;0;10;0;3;0;0;0
List Ferry Terminal ;06.07.2016;55,01553;8,43990;surface - 1m;Petra Kadel;5;0;0;0;58;0;0;0;2;0;1;2;0;1;0;1;0;0;12;0;1;0;0;0
List Ferry Terminal ;08.07.2016;55,01553;8,43990;surface - 1m;Petra Kadel;9;0;0;0;54;0;0;0;1;0;1;1;0;1;0;0;1;0;37;0;0;0;0;0
List Ferry Terminal ;15.07.2016;55,01553;8,43990;surface - 1m;Petra Kadel;3;0;0;0;34;0;0;0;0;0;0;1;0;0;0;0;5;0;16;2;0;0;0;0
List Ferry Terminal ;22.07.2016;55,01553;8,43990;surface - 1m;Petra Kadel;7;0;0;1;30;0;0;0;0;0;0;0;0;0;0;0;3;0;30;5;0;0;0;0
List Ferry Terminal ;29.07.2016;55,01553;8,43990;surface - 1m;Petra Kadel;87;0;0;0;93;0;0;0;1;1;2;5;0;0;0;0;1;0;37;0;0;0;0;0
List Ferry Terminal ;05.08.2016;55,01553;8,43990;surface - 1m;Petra Kadel;3;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
List Ferry Terminal ;12.08.2016;55,01553;8,43990;surface - 1m;Petra Kadel;21;0;0;0;48;0;0;0;0;3;0;0;0;0;0;0;1;0;1;0;0;0;0;0
List Ferry Terminal ;19.08.2016;55,01553;8,43990;surface - 1m;Petra Kadel;14;0;0;0;34;0;0;0;0;0;1;0;0;0;0;0;0;0;3;0;0;0;0;0
List Ferry Terminal ;26.08.2016;55,01553;8,43990;surface - 1m;Petra Kadel;38;1;0;0;62;0;0;0;0;0;1;0;0;0;0;0;1;0;9;0;0;0;0;0
List Ferry Terminal ;02.09.2016;55,01553;8,43990;surface - 1m;Petra Kadel;39;0;0;0;21;0;0;0;0;0;0;1;0;0;0;0;0;0;3;0;0;0;0;0
List Ferry Terminal ;09.09.2016;55,01553;8,43990;surface - 1m;Petra Kadel;31;2;0;0;34;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0
List Ferry Terminal ;16.09.2016;55,01553;8,43990;surface - 1m;Petra Kadel;26;1;0;0;42;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0
List Ferry Terminal ;23.09.2016;55,01553;8,43990;surface - 1m;Petra Kadel;51;0;0;0;85;0;0;0;0;1;2;0;0;0;0;0;0;0;5;0;0;0;0;0
List Ferry Terminal ;30.09.2016;55,01553;8,43990;surface - 1m;Petra Kadel;26;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal ;07.10.2016;55,01553;8,43990;surface - 1m;Petra Kadel;28;0;0;0;21;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0
List Ferry Terminal ;14.10.2016;55,01553;8,43990;surface - 1m;Petra Kadel;69;0;0;0;28;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
List Ferry Terminal ;21.10.2016;55,01553;8,43990;surface - 1m;Petra Kadel;53;0;0;0;21;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
List Ferry Terminal ;28.10.2016;55,01553;8,43990;surface - 1m;Petra Kadel;159;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0
