;;;;;;Bivalvia ;Obelia;Ctenophora;Cnidaria indet.;Spionidae;Bipinnaria ;Echinopluteus ;Scoloplos ;Nereis;Gastropoda;Crepidula ;Cypris ;Palaemon ;Carcinus Zoea ;Carcinus Megalopa ;Pagurus;Lanice ;Magelona ;Appendicularia;Fritillaria;Podon;Evadne;Chaetognatha;Actiniaria 
Event;Date/Time;Latitude;Longitude;Depth water;Analyst͢͢/Aphia ID;105;117034;1248;1267;913;123080;123082;129425;129379;101;137722;1082;107032;106922;106922;106854;129697;129341 ;146421;103358;106269;106267 ;2081;1360
List Ferry Terminal ;15.04.2019;55,01553;8,43990;surface - 1m;Petra Kadel;47;0;0;0;20;0;1;0;0;6;0;9;0;0;0;0;12;0;0;0;0;0;0;0
List Ferry Terminal ;18.04.2019;55,01553;8,43990;surface - 1m;Petra Kadel;16;0;0;2;11;0;2;0;0;2;0;2;0;0;0;0;8;0;1;0;0;0;0;0
List Ferry Terminal ;23.04.2019;55,01553;8,43990;surface - 1m;Petra Kadel;29;0;0;0;19;1;5;0;0;13;0;0;0;0;0;0;2;1;6;0;0;0;0;0
List Ferry Terminal ;25.04.2019;55,01553;8,43990;surface - 1m;Petra Kadel;97;0;0;2;11;0;8;0;0;10;0;1;0;0;0;0;8;0;2;7;0;0;0;0
List Ferry Terminal ;19.06.2019;55,01553;8,43990;surface - 1m;Petra Kadel;71;0;0;0;17;0;0;0;0;8;0;1;1;4;2;0;0;0;2;0;1;0;0;0
List Ferry Terminal ;24.06.2019;55,01553;8,43990;surface - 1m;Petra Kadel;88;0;0;0;76;0;0;0;2;5;0;1;0;1;0;0;0;0;9;0;2;0;0;0
List Ferry Terminal ;03.07.2019;55,01553;8,43990;surface - 1m;Petra Kadel;78;0;0;0;44;0;1;0;4;3;1;2;0;0;2;0;4;0;5;0;0;0;0;0
List Ferry Terminal ;08.07.2019;55,01553;8,43990;surface - 1m;Petra Kadel;79;0;0;0;111;0;0;0;6;8;0;1;0;0;0;0;8;0;2;0;0;0;0;0
List Ferry Terminal ;11.07.2019;55,01553;8,43990;surface - 1m;Petra Kadel;72;0;0;0;110;0;0;0;4;5;0;22;0;0;0;0;19;0;14;0;0;0;0;0
List Ferry Terminal ;29.08.2019;55,01553;8,43990;surface - 1m;Petra Kadel;15;0;0;0;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal ;03.09.2019;55,01553;8,43990;surface - 1m;Petra Kadel;27;0;0;0;31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal ;05.09.2019;55,01553;8,43990;surface - 1m;Petra Kadel;40;0;0;0;7;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
List Ferry Terminal ;09.09.2019;55,01553;8,43990;surface - 1m;Petra Kadel;97;0;0;0;38;0;0;0;0;2;1;1;0;0;0;0;0;0;2;0;0;0;0;0
List Ferry Terminal ;30.09.2019;55,01553;8,43990;surface - 1m;Petra Kadel;72;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;1;0;10;0;1;0;0;0
List Ferry Terminal ;02.10.2019;55,01553;8,43990;surface - 1m;Petra Kadel;87;1;0;0;52;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0
List Ferry Terminal ;16.12.2019;55,01553;8,43990;surface - 1m;Petra Kadel;4;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal ;20.12.2019;55,01553;8,43990;surface - 1m;Petra Kadel;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
