;;;;;;Bivalvia ;Obelia;Ctenophora;Beroe;Cnidaria indet.;Spionidae;Bipinnaria ;Echinopluteus ;Scoloplos ;Nereis;Gastropoda;Crepidula ;Cypris ;Carcinus Zoea ;Carcinus Megalopa ;Pandalus;Pagurus;Lanice ;Magelona ;Appendicularia;Fritillaria;Podon;Evadne;Chaetognatha;Actiniaria 
Event;Date/Time;Latitude;Longitude;Depth water;Analyst͢͢/Aphia ID;105;117034;1248;1434803;1267;913;123080;123082;129425;129379;101;137722;1082;106922;106922;107044;106854;129697;129341 ;146421;103358;106269;106267 ;2081;1360
Station 1;05.02.2014;53,03000;8,46000;surface - 1m;Petra Kadel;7;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Station 1;12.02.2014;53,03000;8,46000;surface - 1m;Petra Kadel;5;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Station 1;19.02.2014;53,03000;8,46000;surface - 1m;Petra Kadel;6;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Station 1;26.03.2014;53,03000;8,46000;surface - 1m;Petra Kadel;18;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Station 1;28.03.2014;53,03000;8,46000;surface - 1m;Petra Kadel;21;0;0;0;0;17;0;0;0;0;1;0;4;0;0;0;0;0;0;0;0;0;0;0;0
Station 1;31.03.2014;53,03000;8,46000;surface - 1m;Petra Kadel;20;0;0;0;0;19;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0
Station 1;02.04.2014;53,03000;8,46000;surface - 1m;Petra Kadel;26;0;0;0;0;20;11;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0
Station 1;04.04.2014;53,03000;8,46000;surface - 1m;Petra Kadel;3;0;0;0;0;9;0;0;0;0;0;0;18;0;0;0;0;0;0;0;0;0;0;0;0
Station 1;07.04.2014;53,03000;8,46000;surface - 1m;Petra Kadel;30;1;0;0;1;7;9;0;0;0;0;0;1;0;0;0;0;1;0;0;1;1;0;0;0
Station 1;09.04.2014;53,03000;8,46000;surface - 1m;Petra Kadel;19;0;0;0;5;10;8;1;0;0;2;0;3;0;0;0;0;1;0;0;0;0;0;0;0
Station 1;11.04.2014;53,03000;8,46000;surface - 1m;Petra Kadel;17;0;0;0;6;75;6;0;0;0;8;0;1;0;0;0;0;1;0;0;0;0;0;0;0
Station 1;14.04.2014;53,03000;8,46000;surface - 1m;Petra Kadel;61;0;0;0;9;7;19;0;0;0;3;0;4;0;0;0;0;3;1;0;0;1;0;0;0
Station 1;16.04.2014;53,03000;8,46000;surface - 1m;Petra Kadel;162;0;0;0;7;3;4;0;0;0;9;0;3;0;0;0;0;2;2;0;1;0;0;0;0
Station 1;05.05.2014;53,03000;8,46000;surface - 1m;Petra Kadel;187;1;0;0;5;3;0;1;0;0;23;0;0;0;0;0;0;0;0;0;1;0;0;0;3
Station 1;07.05.2014;53,03000;8,46000;surface - 1m;Petra Kadel;2708;0;0;0;6;10;2;4;0;0;5;0;0;0;0;0;0;0;0;6;33;0;0;0;1
Station 1;12.05.2014;53,03000;8,46000;surface - 1m;Petra Kadel;660;1;0;0;2;18;0;6;0;0;20;2;1;1;0;0;0;0;3;0;2;0;0;0;0
Station 1;14.05.2014;53,03000;8,46000;surface - 1m;Petra Kadel;357;0;0;0;2;32;0;5;0;0;19;1;1;4;0;0;0;0;3;11;9;0;0;0;0
Station 1;19.05.2014;53,03000;8,46000;surface - 1m;Petra Kadel;206;0;0;0;0;39;0;5;0;0;23;1;2;3;0;0;0;0;4;22;15;0;0;0;1
Station 1;21.05.2014;53,03000;8,46000;surface - 1m;Petra Kadel;139;0;0;0;0;21;0;7;0;0;15;0;2;0;0;0;0;1;5;13;1;0;0;0;1
Station 1;26.05.2014;53,03000;8,46000;surface - 1m;Petra Kadel;107;0;0;0;0;6;0;0;0;0;8;0;1;0;0;0;0;0;0;2;0;0;0;0;0
Station 1;28.05.2014;53,03000;8,46000;surface - 1m;Petra Kadel;302;0;0;0;0;141;0;0;0;0;199;20;4;2;0;0;0;2;0;2;0;0;0;0;1
Station 1;02.06.2014;53,03000;8,46000;surface - 1m;Petra Kadel;174;1;0;0;0;86;0;0;0;0;20;1;0;0;0;0;0;2;1;25;0;0;0;0;0
Station 1;04.06.2014;53,03000;8,46000;surface - 1m;Petra Kadel;182;0;0;0;0;28;0;3;0;0;13;1;2;1;0;1;0;5;1;33;0;0;0;0;0
Station 1;18.06.2014;53,03000;8,46000;surface - 1m;Petra Kadel;100;0;0;0;0;25;0;0;0;0;1;1;0;1;0;0;0;3;1;44;0;0;0;0;0
Station 1;23.06.2014;53,03000;8,46000;surface - 1m;Petra Kadel;129;2;0;0;0;62;0;0;0;0;11;1;1;1;0;0;0;1;0;9;0;0;0;0;0
Station 1;25.06.2014;53,03000;8,46000;surface - 1m;Petra Kadel;69;0;0;0;0;92;0;0;0;0;4;0;0;0;0;0;0;0;0;11;0;0;0;0;0
Station 1;30.06.2014;53,03000;8,46000;surface - 1m;Petra Kadel;60;0;0;0;0;52;0;0;0;0;2;0;0;0;0;0;2;0;0;5;0;0;0;0;0
Station 1;02.07.2014;53,03000;8,46000;surface - 1m;Petra Kadel;91;0;0;0;0;34;0;0;0;0;0;0;0;1;0;0;0;0;0;34;0;1;0;0;0
Station 1;07.07.2014;53,03000;8,46000;surface - 1m;Petra Kadel;80;0;0;0;0;88;0;0;0;0;0;0;0;0;0;0;0;0;0;136;0;0;0;0;0
