;;;;;;Bivalvia ;Obelia;Ctenophora;Cnidaria indet.;Spionidae;Bipinnaria ;Echinopluteus ;Scoloplos ;Nereis;Gastropoda;Crepidula ;Cypris ;Palaemon ;Carcinus Zoea ;Carcinus Megalopa ;Pagurus;Lanice ;Magelona ;Appendicularia;Fritillaria;Podon;Evadne;Chaetognatha;Actiniaria 
Event;Date/Time;Latitude;Longitude;Depth water;Analyst͢͢/Aphia ID;105;117034;1248;1267;913;123080;123082;129425;129379;101;137722;1082;107032;106922;106922;106854;129697;129341 ;146421;103358;106269;106267 ;2081;1360
Station 1;05.01.2015;53,03000;8,46000;surface - 1m;Petra Kadel;5;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Station 1;13.01.2015;53,03000;8,46000;surface - 1m;Petra Kadel;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Station 1;29.01.2015;53,03000;8,46000;surface - 1m;Petra Kadel;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Station 1;04.02.2015;53,03000;8,46000;surface - 1m;Petra Kadel;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Station 1;18.02.2015;53,03000;8,46000;surface - 1m;Petra Kadel;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Station 1;25.02.2015;53,03000;8,46000;surface - 1m;Petra Kadel;2;0;0;0;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Station 1;02.03.2015;53,03000;8,46000;surface - 1m;Petra Kadel;0;0;0;0;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Station 1;12.03.2015;53,03000;8,46000;surface - 1m;Petra Kadel;0;0;0;0;44;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Station 1;26.03.2015;53,03000;8,46000;surface - 1m;Petra Kadel;0;0;0;1;15;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Station 1;30.03.2015;53,03000;8,46000;surface - 1m;Petra Kadel;1;0;0;0;27;1;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Station 1;20.04.2015;53,03000;8,46000;surface - 1m;Petra Kadel;24;0;0;2;13;4;0;0;1;1;0;4;0;0;0;0;0;0;0;0;0;0;0;0
Station 1;22.04.2015;53,03000;8,46000;surface - 1m;Petra Kadel;47;0;0;5;1;3;1;0;0;6;0;0;0;1;0;0;0;0;0;1;0;0;0;0
Station 1;27.04.2015;53,03000;8,46000;surface - 1m;Petra Kadel;153;1;0;4;4;2;0;0;0;2;0;1;0;0;0;0;0;1;0;0;0;0;0;0
Station 1;29.04.2015;53,03000;8,46000;surface - 1m;Petra Kadel;298;0;0;3;2;2;0;0;0;3;0;7;0;0;0;0;0;0;0;0;0;0;0;0
Station 1;04.05.2015;53,03000;8,46000;surface - 1m;Petra Kadel;765;0;0;4;30;0;4;0;0;12;0;2;0;0;0;1;4;0;0;5;0;0;0;1
Station 1;06.05.2015;53,03000;8,46000;surface - 1m;Petra Kadel;964;0;0;15;5;2;6;0;0;3;0;2;0;0;0;0;3;3;0;0;0;0;0;0
Station 1;11.05.2015;53,03000;8,46000;surface - 1m;Petra Kadel;1215;0;0;6;46;6;31;0;1;25;0;0;0;1;0;0;8;15;9;3;0;0;0;0
