;;;;;;Bivalvia ;Obelia;Ctenophora;Beroe;Cnidaria indet.;Spionidae;Bipinnaria ;Echinopluteus ;Scoloplos ;Nereis;Gastropoda;Crepidula ;Cypris ;Carcinus Zoea ;Carcinus Megalopa ;Pagurus;Lanice ;Magelona ;Appendicularia;Fritillaria;Podon;Evadne;Chaetognatha;Actiniaria 
Event;Date/Time;Latitude;Longitude;Depth water;Analyst͢͢/Aphia ID;105;117034;1248;1434803;1267;913;123080;123082;129425;129379;101;137722;1082;106922;106922;106854;129697;129341 ;146421;103358;106269;106267 ;2081;1360
Station 1;06.01.2016;53,03000;8,46000;surface - 1m;Petra Kadel;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Station 1;11.01.2016;53,03000;8,46000;surface - 1m;Petra Kadel;1;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Station 1;18.01.2016;53,03000;8,46000;surface - 1m;Petra Kadel;1;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Station 1;25.01.2016;53,03000;8,46000;surface - 1m;Petra Kadel;1;0;0;1;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Station 1;04.02.2016;53,03000;8,46000;surface - 1m;Petra Kadel;16;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Station 1;10.02.2016;53,03000;8,46000;surface - 1m;Petra Kadel;6;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Station 1;24.02.2016;53,03000;8,46000;surface - 1m;Petra Kadel;9;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Station 1;02.03.2016;53,03000;8,46000;surface - 1m;Petra Kadel;10;0;0;0;0;1;7;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Station 1;07.03.2016;53,03000;8,46000;surface - 1m;Petra Kadel;0;0;0;0;0;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Station 1;09.03.2016;53,03000;8,46000;surface - 1m;Petra Kadel;5;0;0;0;0;9;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
