;;;;;;Bivalvia ;Obelia;Ctenophora;Cnidaria indet.;Spionidae;Bipinnaria ;Echinopluteus ;Scoloplos ;Nereis;Gastropoda;Crepidula ;Cypris ;Carcinus Zoea ;Carcinus Megalopa ;Pagurus;Lanice ;Magelona ;Appendicularia;Fritillaria;Podon;Evadne;Chaetognatha;Actiniaria 
Event;Date/Time;Latitude;Longitude;Depth water;Analyst͢͢/Aphia ID;105;117034;1248;1267;913;123080;123082;129425;129379;101;137722;1082;106922;106922;106854;129697;129341 ;146421;103358;106269;106267 ;2081;1360
Station 1;01.01.2019;53,03000;8,46000;surface - 1m;Petra Kadel;3;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Station 1;03.01.2019;53,03000;8,46000;surface - 1m;Petra Kadel;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Station 1;07.01.2019;53,03000;8,46000;surface - 1m;Petra Kadel;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Station 1;10.01.2019;53,03000;8,46000;surface - 1m;Petra Kadel;4;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Station 1;14.01.2019;53,03000;8,46000;surface - 1m;Petra Kadel;9;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Station 1;17.01.2019;53,03000;8,46000;surface - 1m;Petra Kadel;6;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Station 1;21.01.2019;53,03000;8,46000;surface - 1m;Petra Kadel;13;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Station 1;24.01.2019;53,03000;8,46000;surface - 1m;Petra Kadel;4;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Station 1;28.01.2019;53,03000;8,46000;surface - 1m;Petra Kadel;2;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Station 1;31.01.2019;53,03000;8,46000;surface - 1m;Petra Kadel;1;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Station 1;04.02.2019;53,03000;8,46000;surface - 1m;Petra Kadel;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Station 1;06.02.2019;53,03000;8,46000;surface - 1m;Petra Kadel;1;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Station 1;11.02.2019;53,03000;8,46000;surface - 1m;Petra Kadel;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Station 1;14.02.2019;53,03000;8,46000;surface - 1m;Petra Kadel;13;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Station 1;18.02.2019;53,03000;8,46000;surface - 1m;Petra Kadel;4;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Station 1;21.02.2019;53,03000;8,46000;surface - 1m;Petra Kadel;3;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Station 1;25.02.2019;53,03000;8,46000;surface - 1m;Petra Kadel;9;0;0;0;14;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Station 1;28.02.2019;53,03000;8,46000;surface - 1m;Petra Kadel;4;0;0;0;4;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Station 1;05.03.2019;53,03000;8,46000;surface - 1m;Petra Kadel;3;0;0;0;3;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Station 1;07.03.2019;53,03000;8,46000;surface - 1m;Petra Kadel;3;0;0;0;31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Station 1;11.03.2019;53,03000;8,46000;surface - 1m;Petra Kadel;7;0;0;0;21;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Station 1;14.03.2019;53,03000;8,46000;surface - 1m;Petra Kadel;6;0;0;0;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Station 1;18.03.2019;53,03000;8,46000;surface - 1m;Petra Kadel;10;0;0;0;14;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
Station 1;21.03.2019;53,03000;8,46000;surface - 1m;Petra Kadel;6;1;0;0;31;3;0;2;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0
Station 1;25.03.2019;53,03000;8,46000;surface - 1m;Petra Kadel;12;0;0;0;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Station 1;28.03.2019;53,03000;8,46000;surface - 1m;Petra Kadel;19;0;0;0;19;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Station 1;01.04.2019;53,03000;8,46000;surface - 1m;Petra Kadel;98;0;0;0;34;3;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0
Station 1;04.04.2019;53,03000;8,46000;surface - 1m;Petra Kadel;164;0;0;0;71;1;0;0;1;7;0;0;0;0;0;0;0;0;0;0;0;0;0
Station 1;08.04.2019;53,03000;8,46000;surface - 1m;Petra Kadel;75;0;0;3;24;2;0;1;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0
Station 1;11.04.2019;53,03000;8,46000;surface - 1m;Petra Kadel;81;0;0;0;10;0;1;0;0;4;0;0;0;0;0;1;0;0;0;0;0;0;0
Station 1;29.04.2019;53,03000;8,46000;surface - 1m;Petra Kadel;226;0;0;1;28;0;9;0;0;11;0;1;0;0;0;0;1;0;3;0;0;0;0
Station 1;02.05.2019;53,03000;8,46000;surface - 1m;Petra Kadel;157;1;0;0;45;1;5;0;0;25;0;3;0;0;0;2;0;3;9;0;0;0;0
Station 1;06.05.2019;53,03000;8,46000;surface - 1m;Petra Kadel;283;1;0;0;85;0;7;0;0;29;0;1;0;0;0;5;1;10;2;0;0;0;0
Station 1;09.05.2019;53,03000;8,46000;surface - 1m;Petra Kadel;194;0;0;1;91;1;32;0;0;12;0;1;0;0;0;6;3;34;0;0;0;0;0
Station 1;13.05.2019;53,03000;8,46000;surface - 1m;Petra Kadel;266;0;0;0;69;0;10;0;1;28;1;1;2;0;1;12;3;40;0;0;0;0;0
Station 1;16.05.2019;53,03000;8,46000;surface - 1m;Petra Kadel;48;0;0;0;16;0;2;0;1;29;2;6;0;0;0;0;0;4;0;0;0;0;0
Station 1;20.05.2019;53,03000;8,46000;surface - 1m;Petra Kadel;502;0;0;3;117;0;14;0;1;42;0;0;1;0;0;7;2;31;0;0;0;0;0
Station 1;23.05.2019;53,03000;8,46000;surface - 1m;Petra Kadel;315;0;0;4;75;0;9;0;0;26;0;1;14;0;1;15;1;51;6;1;5;0;1
Station 1;28.05.2019;53,03000;8,46000;surface - 1m;Petra Kadel;156;1;0;1;41;0;2;0;0;9;0;16;0;0;0;11;0;18;0;4;6;0;1
Station 1;03.06.2019;53,03000;8,46000;surface - 1m;Petra Kadel;47;0;0;1;18;0;0;0;0;34;1;7;1;0;0;5;0;18;2;1;0;0;0
Station 1;06.06.2019;53,03000;8,46000;surface - 1m;Petra Kadel;57;0;0;0;94;0;0;0;0;36;2;1;0;0;0;2;0;7;2;5;5;0;0
Station 1;10.06.2019;53,03000;8,46000;surface - 1m;Petra Kadel;102;0;0;0;26;0;1;0;0;32;0;21;2;3;0;0;0;37;4;21;4;0;0
Station 1;17.06.2019;53,03000;8,46000;surface - 1m;Petra Kadel;44;1;0;0;71;0;1;0;0;59;0;2;0;0;0;2;0;5;2;0;1;0;1
Station 1;27.06.2019;53,03000;8,46000;surface - 1m;Petra Kadel;105;0;0;0;51;0;0;0;1;2;2;0;0;0;0;0;0;67;0;0;0;0;0
Station 1;01.07.2019;53,03000;8,46000;surface - 1m;Petra Kadel;61;0;0;0;21;0;0;0;7;1;0;1;1;0;0;2;0;20;0;1;0;0;0
