;;;;;;Bivalvia ;Obelia;Ctenophora;Cnidaria indet.;Spionidae;Bipinnaria ;Echinopluteus ;Scoloplos ;Nereis;Gastropoda;Crepidula ;Cypris ;Carcinus Zoea ;Carcinus Megalopa ;Pagurus;Lanice ;Magelona ;Appendicularia;Fritillaria;Podon;Evadne;Chaetognatha;Actiniaria ;
Event;Date/Time;Latitude;Longitude;Depth water;Analyst͢͢/Aphia ID;105;117034;1248;1267;913;123080;123082;129425;129379;101;137722;1082;106922;106922;106854;129697;129341 ;146421;103358;106269;106267 ;2081;1360;
Station 1;04.01.2021;53,03000;8,46000;surface - 1m;Petra Kadel;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Station 1;07.01.2021;53,03000;8,46000;surface - 1m;Petra Kadel;1;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Station 1;11.01.2021;53,03000;8,46000;surface - 1m;Petra Kadel;2;0;0;0;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Station 1;14.01.2021;53,03000;8,46000;surface - 1m;Petra Kadel;2;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Station 1;18.01.2021;53,03000;8,46000;surface - 1m;Petra Kadel;1;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Station 1;25.01.2021;53,03000;8,46000;surface - 1m;Petra Kadel;1;0;0;0;9;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;
Station 1;28.01.2021;53,03000;8,46000;surface - 1m;Petra Kadel;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Station 1;01.02.2021;53,03000;8,46000;surface - 1m;Petra Kadel;9;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Station 1;04.02.2021;53,03000;8,46000;surface - 1m;Petra Kadel;4;0;0;0;7;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;
Station 1;22.02.2021;53,03000;8,46000;surface - 1m;Petra Kadel;1;0;0;0;12;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Station 1;25.02.2021;53,03000;8,46000;surface - 1m;Petra Kadel;0;0;0;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Station 1;01.03.2021;53,03000;8,46000;surface - 1m;Petra Kadel;2;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Station 1;04.03.2021;53,03000;8,46000;surface - 1m;Petra Kadel;4;0;0;0;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Station 1;08.03.2021;53,03000;8,46000;surface - 1m;Petra Kadel;1;0;0;0;9;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Station 1;15.03.2021;53,03000;8,46000;surface - 1m;Petra Kadel;3;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;
Station 1;18.03.2021;53,03000;8,46000;surface - 1m;Petra Kadel;1;0;0;0;34;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Station 1;22.03.2021;53,03000;8,46000;surface - 1m;Petra Kadel;0;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Station 1;25.03.2021;53,03000;8,46000;surface - 1m;Petra Kadel;0;0;0;0;63;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;
Station 1;29.03.2021;53,03000;8,46000;surface - 1m;Petra Kadel;0;0;0;0;32;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Station 1;01.04.2021;53,03000;8,46000;surface - 1m;Petra Kadel;3;0;0;1;35;7;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;
Station 1;05.04.2021;53,03000;8,46000;surface - 1m;Petra Kadel;2;0;0;0;43;2;0;0;0;1;0;2;0;0;0;0;0;0;1;0;0;0;0;
Station 1;12.04.2021;53,03000;8,46000;surface - 1m;Petra Kadel;10;0;0;0;27;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Station 1;15.04.2021;53,03000;8,46000;surface - 1m;Petra Kadel;21;0;0;2;30;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;
Station 1;19.04.2021;53,03000;8,46000;surface - 1m;Petra Kadel;17;0;0;3;12;4;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;
Station 1;22.04.2021;53,03000;8,46000;surface - 1m;Petra Kadel;88;0;0;0;33;1;0;0;0;2;0;3;0;0;0;0;0;0;0;0;0;0;0;
Station 1;26.04.2021;53,03000;8,46000;surface - 1m;Petra Kadel;1612;0;0;0;78;0;0;0;0;24;0;2;0;0;0;0;0;0;0;0;0;0;0;
Station 1;29.04.2021;53,03000;8,46000;surface - 1m;Petra Kadel;4136;0;0;2;27;1;1;0;0;1;0;3;0;0;0;1;0;0;0;0;0;0;0;
Station 1;03.05.2021;53,03000;8,46000;surface - 1m;Petra Kadel;466;0;0;0;20;2;8;0;0;5;0;0;0;0;0;1;3;2;0;0;0;0;0;
Station 1;06.05.2021;53,03000;8,46000;surface - 1m;Petra Kadel;457;1;0;1;61;2;0;0;0;30;0;0;0;0;0;1;3;0;0;0;0;0;0;
Station 1;10.05.2021;53,03000;8,46000;surface - 1m;Petra Kadel;93;0;0;0;33;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;
Station 1;12.05.2021;53,03000;8,46000;surface - 1m;Petra Kadel;344;1;0;0;102;1;0;1;0;33;0;0;0;0;0;5;2;0;1;0;0;0;0;
Station 1;18.05.2021;53,03000;8,46000;surface - 1m;Petra Kadel;123;0;0;0;61;0;1;0;0;34;0;0;0;0;0;0;1;0;0;0;0;0;0;
Station 1;20.05.2021;53,03000;8,46000;surface - 1m;Petra Kadel;271;0;0;0;30;0;4;0;0;17;0;0;1;0;0;0;0;0;4;0;0;0;0;
Station 1;25.05.2021;53,03000;8,46000;surface - 1m;Petra Kadel;649;0;0;0;30;9;42;0;0;12;0;0;1;0;0;3;2;0;14;0;0;0;0;
Station 1;27.05.2021;53,03000;8,46000;surface - 1m;Petra Kadel;314;0;0;1;31;1;20;2;0;15;0;1;0;0;0;2;1;0;3;0;0;0;0;
Station 1;31.05.2021;53,03000;8,46000;surface - 1m;Petra Kadel;235;0;0;0;63;1;12;2;0;28;0;0;6;0;0;2;1;0;1;0;0;0;0;
Station 1;03.06.2021;53,03000;8,46000;surface - 1m;Petra Kadel;219;1;0;0;75;3;7;0;0;42;0;2;1;0;0;6;2;1;6;0;0;0;0;
Station 1;07.06.2021;53,03000;8,46000;surface - 1m;Petra Kadel;13;0;0;0;15;0;1;0;0;17;0;1;0;0;0;2;0;0;0;0;0;0;0;
Station 1;10.06.2021;53,03000;8,46000;surface - 1m;Petra Kadel;65;5;0;0;135;0;0;0;0;39;1;0;0;0;0;2;0;0;0;0;0;0;0;
Station 1;17.06.2021;53,03000;8,46000;surface - 1m;Petra Kadel;93;1;0;3;5;0;4;0;1;6;0;0;0;0;0;2;0;0;0;0;0;0;0;
Station 1;28.06.2021;53,03000;8,46000;surface - 1m;Petra Kadel;88;3;0;0;27;0;3;0;0;3;0;0;0;0;0;6;0;0;0;8;0;0;0;
