species;column;genus;class;group
Acineta sp. ;Acineta_sp._C;Acineta;Kinetofragminophora;ciliate
Actinocyclus ehrenbergii ;A._ehrenbergii_C;Actinocyclus;Bacillariophyceae;diatom
Actinocyclus sp. ;Actinocyclus_sp._C;Actinocyclus;Bacillariophyceae;diatom
Actinoptychus senarius ;A._senarius_C;Actinoptychus;Bacillariophyceae;diatom
Actinoptychus splendens ;A._splendens_C;Actinoptychus;Bacillariophyceae;diatom
Akashiwo sanguinea ;A._sanguinea_C;Akashiwo;Dinophyceae;dinoflagellate
Alexandrium sp. ;Alexandrium_sp._C;Alexandrium;Dinophyceae;dinoflagellate
Amoeba indeterminata ;Amoeba_indet_C;Amoeba;Tubulinea;OUT
Amphidinium sp. ;Amphidinium_sp._C;Amphidinium;Dynophyceae;dinoflagellate
Asterionellopsis glacialis ;A._glacialis_C;Asterionellopsis;Bacillariophyceae;diatom
Asteroplanus karianus ;A._karianus_C;Asteroplanus;Bacillariophyceae;diatom
Aulacodiscus argus ;A._argus_C;Aulacodiscus;Bacillariophyceae;diatom
Auliscus sculptus ;A._sculptus_C;Auliscus;Bacillariophyceae;diatom
Bacillaria paxillifer ;B._paxillifer_C;Bacillaria;Bacillariophyceae;diatom
Bacillariophyceae indeterminata ;Bacillariophyceae_indet_C;Bacillariophyceae;Bacillariophyceae;diatom
Bacteriastrum hyalinum ;B._hyalinum_C;Bacteriastrum;Bacillariophyceae;diatom
Bellerochea malleus ;B._malleus_C;Bellerochea;Bacillariophyceae;diatom
Biddulphia alternans ;B._alternans_C;Biddulphia;Bacillariophyceae;diatom
Brockmanniella brockmannii ;B._brockmannii_C;Brockmanniella;Bacillariophyceae;diatom
Cachonina niei ;C._niei_C;Cachonina;Dynophyceae;dinoflagellate
Cerataulina pelagica ;C._pelagica_C;Cerataulina;Bacillariophyceae;diatom
Cerataulus sp. ;Cerataulus_sp._C;Cerataulus;Bacillariophyceae;diatom
Cerataulus turgidus ;C._turgidus_C;Cerataulus;Bacillariophyceae;diatom
Ceratium fusus ;C._fusus_C;Ceratium;Dinophyceae;dinoflagellate
Ceratium horridum ;C._horridum_C;Ceratium;Dinophyceae;dinoflagellate
Ceratium lineatum ;C._lineatum_C;Ceratium;Dinophyceae;dinoflagellate
Chaetoceros compressus ;C._compressus_C;Chaetoceros;Bacillariophyceae;diatom
Chaetoceros crinitus ;C._crinitus_C;Chaetoceros;Bacillariophyceae;diatom
Chaetoceros danicus ;C._danicus_C;Chaetoceros;Bacillariophyceae;diatom
Chaetoceros debilis ;C._debilis_C;Chaetoceros;Bacillariophyceae;diatom
Chaetoceros decipiens ;C._decipiens_C;Chaetoceros;Bacillariophyceae;diatom
Chaetoceros densus ;C._densus_C;Chaetoceros;Bacillariophyceae;diatom
Chaetoceros diadema ;C._diadema_C;Chaetoceros;Bacillariophyceae;diatom
Chaetoceros didymus ;C._didymus_C;Chaetoceros;Bacillariophyceae;diatom
Chaetoceros eibenii ;C._eibenii_C;Chaetoceros;Bacillariophyceae;diatom
Chaetoceros lauderi ;C._lauderi_C;Chaetoceros;Bacillariophyceae;diatom
Chaetoceros socialis ;C._socialis_C;Chaetoceros;Bacillariophyceae;diatom
Chaetoceros sp. ;Chaetoceros_sp._C;Chaetoceros;Bacillariophyceae;diatom
Chaetoceros teres ;C._teres_C;Chaetoceros;Bacillariophyceae;diatom
Chattonella sp. ;Chattonella_sp._C;Chattonella;Raphidophyceae;OUT
Chrysochromulina sp. ;Chrysochromulina_sp._C;Chrysochromulina;Prymnesiophyceae;OUT
Ciliates indeterminata ;Ciliates_indet_C;Ciliates;NA;ciliate
Tintinidae indeterminata ;Tintinidae_indet_C;Tintinidae;NA;ciliate
Corymbellus aureus ;C._aureus_C;Corymbellus;Prymnesiophyceae;OUT
Coscinodiscus commutatus ;C._commutatus_C;Coscinodiscus;Bacillariophyceae;diatom
Coscinodiscus concinnus ;C._concinnus_C;Coscinodiscus;Bacillariophyceae;diatom
Coscinodiscus granii ;C._granii_C;Coscinodiscus;Bacillariophyceae;diatom
Coscinodiscus radiatus ;C._radiatus_C;Coscinodiscus;Bacillariophyceae;diatom
Coscinodiscus sp. ;Coscinodiscus_sp._C;Coscinodiscus;Bacillariophyceae;diatom
Cryptophyceae indeterminata ;Cryptophyceae_indet_C;Cryptophyceae;Cryptophyceae;Cryptophyceae
Cyanobacteria indeterminata ;Cyanobacteria_indet_C;Cyanobacteria;Cyanophyceae;OUT
Cylindrotheca closterium ;C._closterium_C;Cylindrotheca;Bacillariophyceae;diatom
Dactyliosolen fragilissimus ;D._fragilissimus_C;Dactyliosolen;Bacillariophyceae;diatom
Delphineis surirella ;D._surirella_C;Delphineis;Bacillariophyceae;diatom
Detonula pumila ;D._pumila_C;Detonula;Bacillariophyceae;diatom
Dictyocha speculum ;D._speculum_C;Dictyocha;Dyctiocophyceae;Dictyocha speculum 
Didinium gargantua ;D._gargantua_C;Didinium;Litostomatea;ciliate
Dinobryon sp. ;Dinobryon_sp._C;Dinobryon;Chrysophyceae;OUT
Dinophyceae indeterminata ;Dinophy_indet_C;Dinophyceae;Dinophyceae;dinoflagellate
Dinophysis acuminata ;D._acuminata_C;Dinophysis;Dinophyceae;dinoflagellate
Diploneis sp. ;Diploneis_sp._C;Diploneis;Bacillariophyceae;diatom
Diplopsalis group ;Diplopsalis_gr_C;Diplopsalis;Dinophyceae;dinoflagellate
Ditylum brightwellii ;D._brightwellii_C;Ditylum;Bacillariophyceae;diatom
Ebria tripartita ;E._tripartita_C;Ebria;Ebriophyceae;heterotrophic flagellate
Entomoneis paludosa ;E._paludosa_C;Entomoneis;Bacillariophyceae;diatom
Entomoneis sp. ;Entomoneis_sp._C;Entomoneis;Bacillariophyceae;diatom
Eucampia zodiacus ;E._zodiacus_C;Eucampia;Bacillariophyceae;diatom
Eunotogramma dubium ;E._dubium_C;Eunotogramma;Bacillariophyceae;diatom
Eutreptia sp. ;Eutreptia_sp._C;Eutreptia;Euglenoidea;heterotrophic flagellate
Fibrocapsa japonica ;F._japonica_C;Fibrocapsa;Raphidophyceae;OUT
Flagellates indeterminata, fractionated ;Flag_indet_C_frac;Flagellates;NA;heterotrophic flagellate
Gonyaulax spinifera ;G._spinifera_C;Gonyaulax;Dinophyceae;dinoflagellate
Guinardia delicatula ;G._delicatula_C;Guinardia;Bacillariophyceae;diatom
Guinardia flaccida ;G._flaccida_C;Guinardia;Bacillariophyceae;diatom
Guinardia striata ;G._striata_C;Guinardia;Bacillariophyceae;diatom
Gymnodinium sp. ;Gymnodinium_sp._C;Gymnodinium;Dynophyceae;dinoflagellate
Gyrodinium sp. ;Gyrodinium_sp._C;Gyrodinium;Dynophyceae;dinoflagellate
Gyrodinium undulans ;G._undulans_C;Gyrodinium;Dynophyceae;dinoflagellate
Helicostomella subulata ;H._subulata_C;Helicostomella;Oligotrichea;ciliate
Helicotheca tamesis ;H._tamesis_C;Helicotheca;Bacillariophyceae;diatom
Heliozoa indeterminata ;Heliozoa_indet_C;Heliozoa;NA;OUT
Hemistasia phaeocystidicola ;H._phaeocystidicola_C;Hemistasia;Kinetoplastea;heterotrophic flagellate
Heterocapsa triquetra ;H._triquetra_C;Heterocapsa;Dynophyceae;dinoflagellate
Laboea strobila ;L._strobila_C;Laboea;Oligotrichea;ciliate
Lauderia annulata ;L._annulata_C;Lauderia;Bacillariophyceae;diatom
Lennoxia faveolata ;L._faveolata_C;Lennoxia;Bacillariophyceae;diatom
Leptocylindrus danicus ;L._danicus_C;Leptocylindrus;Bacillariophyceae;diatom
Leptocylindrus minimus ;L._minimus_C;Leptocylindrus;Bacillariophyceae;diatom
Leucocryptos sp. ;Leucocryptos_sp._C;Leucocryptos;Cryptophyceae;heterotrophic flagellate
Lithodesmium undulatum ;L._undulatum_C;Lithodesmium;Bacillariophyceae;diatom
Melosira sp. ;Melosira_sp._C;Melosira;Bacillariophyceae;diatom
Merismopedia sp. ;Merismopedia_sp._C;Merismopedia;Cyanophyceae;OUT
Meuniera membranacea ;M._membranacea_C;Meuniera;Bacillariophyceae;diatom
Micracanthodinium sp. ;Microcanthodinium_sp._C;Micracanthodinium;Dinophyceae;dinoflagellate
Myrionecta rubra ;M._rubra_C;Myrionecta;Litostomatea;ciliate
Navicula sp. ;Navicula_sp._C;Navicula;Bacillariophyceae;diatom
Nitzschia robusta ;N._robusta_C;Nitzschia;Bacillariophyceae;diatom
Nitzschia sp. ;Nitzschia_sp._C;Nitzschia;Bacillariophyceae;diatom
Noctiluca scintillans ;N._scintillans_C;Noctiluca;Dinophyceae;dinoflagellate
Odontella aurita ;O._aurita_C;Odontella;Bacillariophyceae;diatom
Odontella granulata ;O._granulata_C;Odontella;Bacillariophyceae;diatom
Odontella mobiliensis ;O._mobiliensis_C;Odontella;Bacillariophyceae;diatom
Odontella regia ;O._regia_C;Odontella;Bacillariophyceae;diatom
Odontella rhombus ;O._rhombus_C;Odontella;Bacillariophyceae;diatom
Odontella rhombus forma trigona ;O._rhombus_f_trigona_C;Odontella;Bacillariophyceae;diatom
Odontella sinensis ;O._sinensis_C;Odontella;Bacillariophyceae;diatom
Paralia sulcata ;P._sulcata_C;Paralia;Bacillariophyceae;diatom
