species;column;genus;class;group;funcGroup;Comments;Carb
Acineta sp. ;Acineta_sp._C;Acineta;Kinetofragminophora;ciliate;protozooplankton;;
Actinocyclus ehrenbergii ;A._ehrenbergii_C;Actinocyclus;Bacillariophyceae;diatom;phytoplankton;;
Actinocyclus sp. ;Actinocyclus_sp._C;Actinocyclus;Bacillariophyceae;diatom;phytoplankton;;
Actinoptychus senarius ;A._senarius_C;Actinoptychus;Bacillariophyceae;diatom;phytoplankton;;
Actinoptychus splendens ;A._splendens_C;Actinoptychus;Bacillariophyceae;diatom;phytoplankton;;
Akashiwo sanguinea ;A._sanguinea_C;Akashiwo;Dinophyceae;dinoflagellate;protozooplankton;;
Alexandrium sp. ;Alexandrium_sp._C;Alexandrium;Dinophyceae;dinoflagellate;protozooplankton;;
Amoeba indeterminata ;Amoeba_indet_C;Amoeba;Tubulinea;OUT;protozooplankton;amoeba;164 Nas, summed carbon of 11.17
Amphidinium sp. ;Amphidinium_sp._C;Amphidinium;Dynophyceae;dinoflagellate;protozooplankton;;
Asterionellopsis glacialis ;A._glacialis_C;Asterionellopsis;Bacillariophyceae;diatom;phytoplankton;;
Asteroplanus karianus ;A._karianus_C;Asteroplanus;Bacillariophyceae;diatom;phytoplankton;;
Aulacodiscus argus ;A._argus_C;Aulacodiscus;Bacillariophyceae;diatom;phytoplankton;;
Auliscus sculptus ;A._sculptus_C;Auliscus;Bacillariophyceae;diatom;phytoplankton;;
Bacillaria paxillifer ;B._paxillifer_C;Bacillaria;Bacillariophyceae;diatom;phytoplankton;;
Bacillariophyceae indeterminata ;Bacillariophyceae_indet_C;Bacillariophyceae;Bacillariophyceae;diatom;phytoplankton;;
Bacteriastrum hyalinum ;B._hyalinum_C;Bacteriastrum;Bacillariophyceae;diatom;phytoplankton;;
Bellerochea malleus ;B._malleus_C;Bellerochea;Bacillariophyceae;diatom;phytoplankton;;
Biddulphia alternans ;B._alternans_C;Biddulphia;Bacillariophyceae;diatom;phytoplankton;;
Brockmanniella brockmannii ;B._brockmannii_C;Brockmanniella;Bacillariophyceae;diatom;phytoplankton;;
Cachonina niei ;C._niei_C;Cachonina;Dynophyceae;dinoflagellate;protozooplankton;;
Cerataulina pelagica ;C._pelagica_C;Cerataulina;Bacillariophyceae;diatom;phytoplankton;;
Cerataulus sp. ;Cerataulus_sp._C;Cerataulus;Bacillariophyceae;diatom;phytoplankton;;
Cerataulus turgidus ;C._turgidus_C;Cerataulus;Bacillariophyceae;diatom;phytoplankton;;
