/* DATA DESCRIPTION:
Citation:	Asmus, Ragnhild; Asmus, Harald (2016): Phytoplankton primary production at Koenigshafen, List/Sylt, in 2010. Alfred Wegener Institute - Wadden Sea Station Sylt, PANGAEA, https://doi.org/10.1594/PANGAEA.860609
Project(s):	Long-term Ecological Research at AWI (LTER) (URI: http://www.awi.de/en/science/biosciences/functional-ecology.html)
Coverage:	LATITUDE: 55.033100 * LONGITUDE: 8.438100
	DATE/TIME START: 2010-03-11T00:00:00 * DATE/TIME END: 2010-11-19T00:00:00
	MINIMUM DEPTH, water: 0 m * MAXIMUM DEPTH, water: 0 m
Event(s):	List_Koenigshafen * LATITUDE: 55.033100 * LONGITUDE: 8.438100 * LOCATION: German Bight Wadden Sea * CAMPAIGN: Long-term time series Sylt * METHOD/DEVICE: Multiple investigations (MULT)
Parameter(s):	DATE/TIME (Date/Time) * GEOCODE * PI: Asmus, Ragnhild (https://orcid.org/0000-0003-3300-6065, ragnhild.asmus@awi.de, http://www.awi.de/en/about-us/organisation/staff/ragnhild-asmus.html)
	DEPTH, water [m] (Depth water) * GEOCODE * PI: Asmus, Ragnhild (https://orcid.org/0000-0003-3300-6065, ragnhild.asmus@awi.de, http://www.awi.de/en/about-us/organisation/staff/ragnhild-asmus.html)
	Temperature, water [°C] (Temp) * PI: Asmus, Ragnhild (https://orcid.org/0000-0003-3300-6065, ragnhild.asmus@awi.de, http://www.awi.de/en/about-us/organisation/staff/ragnhild-asmus.html)
	Chlorophyll total [mg/m**3] (Chl tot) * PI: Asmus, Ragnhild (https://orcid.org/0000-0003-3300-6065, ragnhild.asmus@awi.de, http://www.awi.de/en/about-us/organisation/staff/ragnhild-asmus.html)
	Biomass as carbon per volume [µg/l] (Biom C) * PI: Asmus, Ragnhild (https://orcid.org/0000-0003-3300-6065, ragnhild.asmus@awi.de, http://www.awi.de/en/about-us/organisation/staff/ragnhild-asmus.html)
	Net primary production of oxygen [µmol/l/h] (NPP O2) * PI: Asmus, Ragnhild (https://orcid.org/0000-0003-3300-6065, ragnhild.asmus@awi.de, http://www.awi.de/en/about-us/organisation/staff/ragnhild-asmus.html)
	Respiration rate, oxygen [µmol/l/h] (Resp O2) * PI: Asmus, Ragnhild (https://orcid.org/0000-0003-3300-6065, ragnhild.asmus@awi.de, http://www.awi.de/en/about-us/organisation/staff/ragnhild-asmus.html)
	Gross primary production of oxygen [µmol/l/h] (GPP O2) * PI: Asmus, Ragnhild (https://orcid.org/0000-0003-3300-6065, ragnhild.asmus@awi.de, http://www.awi.de/en/about-us/organisation/staff/ragnhild-asmus.html)
	Gross primary production of carbon [mg/l/h] (GPP C) * PI: Asmus, Ragnhild (https://orcid.org/0000-0003-3300-6065, ragnhild.asmus@awi.de, http://www.awi.de/en/about-us/organisation/staff/ragnhild-asmus.html)
	Net production of Carbon, organic, dissolved + particulate [mg/l/h] (NP DOC+POC) * PI: Asmus, Ragnhild (https://orcid.org/0000-0003-3300-6065, ragnhild.asmus@awi.de, http://www.awi.de/en/about-us/organisation/staff/ragnhild-asmus.html)
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0)
Size:	120 data points
*/
Date/Time	Depth water [m]	Temp [°C]	Chl tot [mg/m**3]	Biom C [µg/l]	NPP O2 [µmol/l/h]	Resp O2 [µmol/l/h]	GPP O2 [µmol/l/h]	GPP C [mg/l/h]	NP DOC+POC [mg/l/h]
2010-03-11	0	2.40	45.55	2277.5	13.3375	-0.7938	14.1313	0.1447	0.1366
2010-04-08	0	9.80	7.97	398.7	1.8438	-0.1813	2.0250	0.0207	0.0189
2010-04-26	0	11.60	9.38	468.9	0.1781	0.2031	-0.0250	-0.0002	0.0018
2010-05-10	0	9.90	19.58	978.9	2.7063	-2.1813	4.8875	0.0500	0.0277
2010-05-25	0	11.70	9.81	490.6	0.5719	-0.6344	1.2063	0.0123	0.0059
2010-06-09	0	17.80	13.04	652.2	4.0219	-0.5781	4.6000	0.0471	0.0412
2010-06-23	0	16.60	2.02	101.0	1.0688	-0.3813	1.4469	0.0148	0.0109
2010-07-07	0	18.60	3.05	152.5	2.1000	-0.5406	2.6406	0.0270	0.0215
2010-07-22	0	20.60	19.58	978.9	7.4313	-0.7625	8.1938	0.0839	0.0761
2010-08-05	0	18.30	3.79	189.7	1.5813	-0.3188	1.9000	0.0195	0.0162
2010-08-20	0	18.60	3.14	157.0	1.9875	-0.7938	2.7813	0.0285	0.0203
2010-09-06	0	14.70	23.22	1161.1	5.5406	-0.6281	6.1688	0.0632	0.0567
2010-10-04	0	13.20	7.69	384.5	2.6656	-0.3125	2.9781	0.0305	0.0273
2010-10-19	0	10.50	14.28	714.2	2.9094	-0.3125	3.2250	0.0330	0.0298
2010-11-19	0	4.80	18.14	907.1	0.6250	0.0000	0.6250	0.0064	0.0064
