Flow;Mean;Q0;Q2.5;Q97.5;Q100
Dia->Cil;0,365848261;1,59507E-05;0,00883384;0,659774427;0,725535353
Dia->Nsci;0,698211804;4,50475E-06;0,003004167;3,865577374;4,014535973
Dia->Tun;0,600334704;0,000232202;0,046614231;1,019869227;1,055189965
Dia->Clado;0,000124587;4,91074E-08;3,45902E-06;0,000372646;0,000640676
Dia->Cop;0,145192692;0,099893704;0,102892223;0,181504803;0,183117683
Dia->Biv;0,020117128;4,59537E-06;0,001651683;0,043883117;0,057701586
Dia->Gastr;0,00138686;5,4029E-09;4,4992E-05;0,004242309;0,006550255
Dia->Poly;0,521686477;2,66634E-06;0,022472105;0,799575957;0,875625414
Dia->Mlei;0,00200812;0,000957327;0,001577028;0,002268486;0,002358424
Dia->Her;6,36736E-05;3,00259E-05;4,30513E-05;7,84588E-05;8,12671E-05
Dia->Doc;12,72523811;7,481251584;7,711994355;14,57749805;14,6262013
Dia->Poc;4,875223878;2,055963482;2,087001734;9,401590442;9,749726684
Dia->Exp;29,76558104;26,09280375;26,24372846;35,04446473;35,13043727
Dia->Resp;5,667751663;5,241415231;5,387995343;5,774395537;5,776813414
Phae->Cil;0,068008855;7,64832E-06;0,002196345;0,197662976;0,259534373
Phae->Nsci;0,01436094;1,19842E-06;0,000438203;0,046204793;0,208043703
Phae->Tun;0,045795183;4,13878E-06;0,001449468;0,146720068;0,214413077
Phae->Clado;0,000123681;1,34951E-08;3,43465E-06;0,000381932;0,000575913
Phae->Cop;0,034863669;2,46029E-06;0,001310743;0,100914024;0,173351189
Phae->Biv;0,010266927;0,001007864;0,001399074;0,026168508;0,039630646
Phae->Gastr;0,001350757;6,94342E-08;3,86354E-05;0,004106326;0,006710909
Phae->Poly;0,06586804;9,18154E-06;0,002213676;0,176168187;0,221917665
Phae->Doc;0,064547038;0,026991541;0,032887267;0,106664417;0,134743168
Phae->Poc;0,072567591;0,016133046;0,021229013;0,160178117;0,219126994
Phae->Exp;0,026396325;1,52397E-06;0,000729728;0,098013669;0,265741455
Phae->Resp;0,048256941;0,035278797;0,040389486;0,053696996;0,053921614
Cil->Nsci;0,046140928;1,99704E-06;0,001800578;0,176147733;0,245961191
Cil->Tun;0,024946051;5,89079E-07;0,000865676;0,084105774;0,128640026
Cil->Clado;0,000121924;1,63976E-08;3,48004E-06;0,000376805;0,000556897
Cil->Cop;0,02466185;1,58131E-05;0,002420773;0,054849579;0,075081856
Cil->Biv;0,00083302;0,000172475;0,000334259;0,001455221;0,001664596
Cil->Gastr;0,001357944;9,255E-09;3,85877E-05;0,004226398;0,006884127
Cil->Poly;0,019031579;6,59923E-06;0,001079796;0,055867463;0,094550095
Cil->Hydro;0,001368785;1,01683E-06;4,39498E-05;0,004309343;0,006958794
Cil->Ppil;0,000173961;6,82384E-09;4,98367E-06;0,000592618;0,001039994
Cil->Mlei;0,00304772;1,74388E-06;0,000120757;0,007728208;0,009957485
Cil->Bcu;4,16297E-05;1,48097E-09;1,25143E-06;0,000141156;0,000274137
Cil->Poc;0,384411363;0,00117553;0,096871195;0,550350225;0,600099083
Cil->Exp;0,038693311;1,13649E-05;0,001443842;0,130080798;0,188220653
Cil->Resp;0,11319544;0,057210514;0,062202991;0,150934233;0,152350501
Nsci->Ppil;0,000172152;3,53522E-08;5,00664E-06;0,000561418;0,001017419
Nsci->Mlei;0,00038161;0,000197284;0,000294979;0,00045267;0,000514515
Nsci->Bcu;4,1513E-05;1,3347E-08;1,04405E-06;0,000142554;0,00024697
Nsci->Poc;1,042593662;0,000802344;0,094643383;3,160861007;3,609074175
Nsci->Exp;1,261638266;0,805670669;0,832884114;3,39411446;4,36872823
Nsci->Resp;6,579293368;4,485966839;4,874544684;7,24011243;7,241604112
Tun->Hydro;0,001357859;1,81796E-07;3,42806E-05;0,00428728;0,00668065
Tun->Ppil;0,000170863;6,5585E-08;4,71999E-06;0,000573378;0,001189887
Tun->Mlei;0,000532289;0,000249838;0,000414166;0,000616926;0,000709111
Tun->Bcu;4,05334E-05;6,58925E-09;1,27577E-06;0,000138225;0,000288942
Tun->Her;3,7455E-06;1,76623E-06;2,53242E-06;4,61522E-06;4,78042E-06
Tun->Poc;0,354760258;0,027024823;0,167380264;0,458336325;0,491768616
Tun->Exp;0,522549135;0,105715381;0,394943932;0,603267224;0,612784906
Tun->Resp;0,074383395;0,035669845;0,039395148;0,09884077;0,099980235
Clado->Hydro;9,26643E-05;1,38213E-08;3,17057E-06;0,000238451;0,000325386
Clado->Ppil;6,71551E-05;5,8482E-08;2,06266E-06;0,000202413;0,000294036
Clado->Mlei;4,79049E-05;1,77241E-05;2,81628E-05;9,12615E-05;0,000154194
Clado->Bcu;3,31016E-05;1,10868E-08;9,04335E-07;0,000110484;0,000228551
Clado->Her;3,7455E-06;1,76623E-06;2,53242E-06;4,61522E-06;4,78042E-06
Clado->Poc;8,95881E-05;4,70363E-05;5,90199E-05;0,000139415;0,000165245
