Index;Mean;Q0;Q2.5;Q97.5;Q100
INTER;152,1887321;59,02097279;61,02956103;234,6413226;235,7199629
IMP;706,51589;636,1679056;638,5540406;805,32901;807,6236749
EXP;645,3845375;593,6235398;595,4067036;750,8517764;752,9458913
TSTp;1565,220512;1334,827203;1339,072932;1793,619467;1797,793891
TSTf;858,7046221;696,9240879;700,608526;988,5479285;990,2038894
INTER/TST;0,096226239;0,04421619;0,045499513;0,147131508;0,148053625
IMP/TST;0,45188688;0,425973187;0,426434246;0,477250243;0,477891905
EXP/TST;0,41296342;0,390767602;0,39122709;0,444789668;0,445913833
NPP;95,09244903;78,03116754;78,62186187;102,981585;103,5406206
NPP/RESP;1,718016101;0,793143247;0,799838878;1,899742904;1,899999404
Herb;17,03013241;3,994093956;4,430024937;42,52358945;42,78554429
Det;26,91529409;15,54188401;16,29703257;46,40222226;46,83021424
Bact;0,485822602;0,001116767;0,010327577;2,188173639;2,666876625
APL;1,215607023;1,092523412;1,095336804;1,34502742;1,347565598
D/H;2,077782073;1,064762717;1,073407064;4,301144559;4,962112875
TE12;0,064890398;0,034971066;0,036001471;0,124306296;0,124829037
TE23;0,029380609;0,004634145;0,007981989;0,115424338;0,135279062
MTL;2,010762788;2,004523552;2,005706394;2,022228767;2,027993314
SOI;0,134409594;0,031141319;0,062457286;0,260730526;0,3925808
H;2,843418683;2,193189146;2,215426961;3,088240725;3,091608013
Ov/DC;0,59739028;0,450372745;0,455698384;0,655248171;0,65598167
A/DC;0,40260972;0,34401833;0,344751829;0,544301616;0,549627255
R/DC;0,148747434;0,096921398;0,103384504;0,205257952;0,206208141
AMI;1,129277218;1,030494449;1,032393275;1,223822614;1,230350803
Ai/DCi;0,25703997;0,161367228;0,164125492;0,340071007;0,358807578
ELD;1,1611271;1,076451619;1,082590682;1,245612686;1,24703068
Ceff;1,1611271;1,076451619;1,082590682;1,245612686;1,24703068
LDq;0,746202571;0,615996052;0,625490369;0,877335212;0,879566408
FCI;0,006551996;7,69142E-06;8,47822E-05;0,033127168;0,033384425
NCycles;183;183;183;183;183
C_cycled;18,21750952;0,044207041;0,271972801;71,60374256;72,73035352
C_cycled.small;17,78673855;0,02541335;0,230089793;71,54581203;72,49716505
C_cycled.big;0,430770971;0,010128709;0,024277697;1,978205881;2,568488706
