Flow;Mean;Q0;Q2.5;Q97.5;Q100
Dia->Cil;3,117431344;0,00008405;0,021729421;6,114546655;6,178294707
Dia->Nsci;2,14453E-05;9,53523E-09;6,11146E-07;6,82837E-05;0,000110713
Dia->Tun;0,008605727;1,71456E-07;0,000261139;0,025931217;0,038136961
Dia->Clado;0,000251569;1,91974E-08;6,81742E-06;0,000778083;0,00115941
Dia->Cop;0,584753478;0,561554848;0,562279136;0,629982718;0,667641144
Dia->Biv;0,097828855;2,93891E-05;0,002053053;0,298937711;0,41368428
Dia->Gastr;0,018275666;6,17708E-06;0,000476072;0,059935024;0,138148404
Dia->Poly;0,632705757;3,70497E-05;0,011082686;1,690338598;1,782865572
Dia->Mlei;0,000141792;1,45009E-08;3,75067E-06;0,000474221;0,001162745
Dia->Her;0,000342934;7,63918E-08;1,06058E-05;0,00112841;0,001994275
Dia->Doc;21,64178344;17,15782758;17,31342167;27,97711739;28,46339614
Dia->Poc;14,20787511;3,637357631;3,696416626;35,0854845;35,48602301
Dia->Exp;47,68449951;42,76644546;43,70902884;51,85346404;52,30739891
Dia->Resp;10,17596199;5,857637699;5,990386411;20,94373205;21,36158944
Phae->Cil;1,070084732;2,24282E-05;0,004794279;5,107098625;5,300436737
Phae->Nsci;2,19498E-05;1,35765E-09;6,31982E-07;6,92397E-05;0,000109027
Phae->Tun;0,00782701;1,12009E-07;0,000267872;0,024214469;0,037525778
Phae->Clado;0,000250391;6,48891E-08;7,35795E-06;0,0007708;0,001165552
Phae->Cop;0,018806812;2,14411E-05;0,00077552;0,056648858;0,086478906
Phae->Biv;0,045602207;0,001005663;0,002089616;0,136462256;0,247465103
Phae->Gastr;0,014443212;6,38746E-07;0,000385004;0,050263955;0,099818248
Phae->Poly;0,464623008;2,9813E-06;0,002847126;1,528466475;1,752587892
Phae->Doc;47,42458266;34,07459714;34,389492;63,73037603;64,3049701
Phae->Poc;31,44182897;7,789552609;7,840400131;94,5253781;94,63504636
Phae->Exp;114,2205906;95,35631141;95,49693636;185,6784483;187,1736311
Phae->Resp;27,31821578;13,0097279;13,15298997;73,52267005;74,23925973
Cil->Nsci;4,27963E-05;3,65312E-09;1,21082E-06;0,000133774;0,000231334
Cil->Tun;0,006293225;2,03693E-06;0,000192884;0,020156203;0,035342498
Cil->Clado;0,000254436;1,63983E-08;8,40948E-06;0,000773563;0,001207928
Cil->Cop;0,334643485;3,42942E-05;0,014109988;0,657921417;0,731953163
Cil->Biv;0,005838788;0,000223208;0,002299888;0,010173228;0,011238879
Cil->Gastr;0,028747621;1,51692E-05;0,000653939;0,093288062;0,130605054
Cil->Poly;0,110059968;1,14388E-05;0,003109708;0,495954156;0,670841448
Cil->Hydro;0,000892586;8,74224E-08;2,36113E-05;0,00281134;0,004523991
Cil->Ppil;3,51317E-05;1,85629E-09;9,81267E-07;0,000118603;0,000208794
Cil->Mlei;0,000144509;9,41025E-09;4,15238E-06;0,000480295;0,000882602
Cil->Bcu;2,28262E-06;3,72077E-11;6,68032E-08;7,81864E-06;1,32192E-05
Cil->Poc;3,806582864;0,002926443;0,077163658;4,928940683;5,013019793
Cil->Exp;0,240833491;2,11713E-05;0,007804878;0,507764261;0,609748687
Cil->Resp;0,786251604;0,521148939;0,529291036;1,258428037;1,306637377
Nsci->Ppil;2,08921E-05;4,25304E-11;6,25242E-07;7,04062E-05;0,000123231
Nsci->Mlei;3,43236E-05;1,34923E-08;1,15293E-06;0,000103735;0,000140101
Nsci->Bcu;2,19399E-06;1,31266E-11;6,05553E-08;7,5041E-06;1,48408E-05
Nsci->Poc;5,8309E-05;2,0053E-09;2,76288E-06;0,000148404;0,000205301
Nsci->Exp;4,20499E-05;7,07129E-09;1,82103E-06;0,000116049;0,000156829
Nsci->Resp;0,000101273;4,25231E-05;4,52323E-05;0,000190558;0,000228986
Tun->Hydro;0,000878205;1,02175E-07;2,70257E-05;0,002831817;0,004922975
Tun->Ppil;3,47481E-05;8,48309E-09;9,59508E-07;0,000116534;0,00022716
Tun->Mlei;0,000140326;6,56139E-09;3,65241E-06;0,00048895;0,000891829
Tun->Bcu;2,23647E-06;1,11257E-10;5,79517E-08;7,77314E-06;1,56079E-05
Tun->Her;0,000330627;1,87125E-07;9,21528E-06;0,001085945;0,002057959
Tun->Poc;0,013171522;0,001262635;0,004052082;0,020180696;0,022472672
Tun->Exp;0,02221162;0,003806672;0,013845254;0,027166202;0,02806113
Tun->Resp;0,003147751;0,001705425;0,001781532;0,00455431;0,004626838
Clado->Hydro;0,000187372;2,55285E-08;6,95441E-06;0,000500679;0,000729059
Clado->Ppil;3,27801E-05;4,95447E-09;8,39957E-07;0,00011118;0,000253935
Clado->Mlei;9,87294E-05;9,07409E-09;2,7975E-06;0,000324782;0,000617433
Clado->Bcu;2,25152E-06;2,88384E-10;6,26968E-08;7,43749E-06;1,49175E-05
Clado->Her;0,000147309;6,74534E-09;4,38244E-06;0,000439935;0,000713692
Clado->Poc;0,000174093;9,13766E-05;0,000119619;0,000262688;0,000313572
Clado->Exp;0,000219218;8,67704E-08;8,53076E-06;0,000536303;0,000719921
Clado->Resp;0,000404682;0,000355298;0,000356978;0,000488437;0,000525073
Cop->Hydro;0,000887055;2,28023E-08;2,58335E-05;0,002888516;0,004898241
Cop->Ppil;3,62251E-05;1,75686E-08;1,08373E-06;0,000123545;0,000198142
Cop->Mlei;0,000144114;2,58449E-08;3,82987E-06;0,000492572;0,001166634
Cop->Bcu;2,23903E-06;7,92128E-10;7,00348E-08;7,57469E-06;1,48112E-05
Cop->Her;0,000346474;1,98765E-08;9,31374E-06;0,001110624;0,001999269
Cop->Poc;0,412079654;0,123668725;0,22325693;0,487931104;0,522094037
Cop->Exp;0,703695217;0,619618132;0,643592156;0,87412435;0,981093793
