Index;Mean;Q0;Q2.5;Q97.5;Q100
INTER;152,9677351;59,31640416;61,64125701;213,5094578;219,6943068
IMP;850,3843554;786,6602319;792,4220374;939,7757306;943,462623
EXP;789,088115;732,4841115;737,687669;873,290647;878,379299
TSTp;1853,736446;1734,946871;1743,119255;2087,04799;2092,275742
TSTf;1003,35209;907,7329595;918,5776258;1148,672051;1151,249047
INTER/TST;0,081884547;0,033300141;0,034630747;0,102375019;0,105837373
IMP/TST;0,459057726;0,447081313;0,44881249;0,482684626;0,48334993
EXP/TST;0,426007693;0,409857779;0,412069906;0,451939733;0,45260572
NPP;294,1526946;272,4231143;274,7046385;337,1658958;338,452803
NPP/RESP;4,824597882;3,947867498;4,018248395;5,182047042;5,185639603
Herb;29,54168371;1,398819976;2,77463636;46,22189631;48,09060101
Det;16,87071259;0,341494045;3,876973082;40,21761583;44,02159827
Bact;2,029865204;0,001661466;0,039107629;7,94440959;9,954475942
APL;1,179511094;1,068894478;1,071746116;1,228101984;1,236729583
D/H;1,040776938;0,007635796;0,087431042;3,437801603;7,794985646
TE12;0,052985822;0,008265125;0,012056885;0,069329328;0,073291202
TE23;0,071152066;0,003065299;0,008057584;0,251426977;0,348732198
MTL;2,13052214;2,02538877;2,043414798;2,307236607;2,834005622
SOI;0,177865828;0,054612122;0,110950065;0,260410223;0,46445372
H;2,787335587;2,490550392;2,570044891;2,910088326;2,920888952
Ov/DC;0,614163057;0,561279109;0,580439877;0,638025737;0,641624963
A/DC;0,385836943;0,358375037;0,361974263;0,419560123;0,438720891
R/DC;0,143045423;0,075252883;0,079955895;0,170235867;0,172202516
AMI;1,074036128;1,024613126;1,033193276;1,111794381;1,121748396
Ai/DCi;0,221725915;0,164743109;0,177528875;0,269011504;0,284866757
ELD;1,149700465;1,067111219;1,073824393;1,186090234;1,189637127
Ceff;1,149700465;1,067111219;1,073824393;1,186090234;1,189637127
LDq;0,726623379;0,594252487;0,602456863;0,778868671;0,784089352
FCI;0,003813786;1,50568E-05;4,25334E-05;0,015875521;0,016184285
NCycles;183;183;183;183;183
C_cycled;10,04583569;0,102498877;0,303294142;39,25157675;40,09139314
C_cycled.small;9,396726805;0,039017587;0,170936883;38,13638489;39,24234403
C_cycled.big;0,64910889;0,007712328;0,055026633;1,85950234;2,633379884
