Flow;Mean;Q0;Q2.5;Q97.5;Q100
Dia->Cil;1,636811524;0,000139997;0,116123638;3,17887928;3,516178067
Dia->Nsci;23,66114483;0,003558752;1,338516744;45,63491331;48,86356504
Dia->Tun;4,834699414;0,00596791;0,357092072;8,857412423;9,38946188
Dia->Clado;0,000976074;2,97542E-07;3,48791E-05;0,002935732;0,004299805
Dia->Cop;0,976191633;0,696916682;0,715099684;1,229096313;1,244351346
Dia->Biv;0,074538784;4,12733E-05;0,003425783;0,163818151;0,198343692
Dia->Gastr;0,080323595;4,44636E-06;0,002506417;0,22786117;0,315263235
Dia->Poly;1,444809449;0,002124882;0,090602396;2,803073754;3,185669234
Dia->Mlei;0,000194506;3,97944E-06;4,30679E-05;0,000365526;0,000407419
Dia->Her;4,76501E-05;3,43309E-06;1,05453E-05;0,000089807;0,000100405
Dia->Doc;24,41435247;7,479866878;9,63434852;38,07016712;38,4712219
Dia->Poc;44,97802168;5,580273803;13,90826333;69,33643461;70,28003878
Dia->Exp;21,22419367;0,000507632;0,606403083;45,85786199;47,81861021
Dia->Resp;15,56303106;10,0977072;11,33258115;22,23779155;24,0384719
Phae->Cil;0,008406985;1,22248E-06;0,00024313;0,027318254;0,047742473
Phae->Nsci;0,008736283;3,6274E-06;0,000252191;0,029303441;0,049194342
Phae->Tun;0,008619695;8,61023E-07;0,000223683;0,029021839;0,05420108
Phae->Clado;0,000889675;2,68328E-08;2,76605E-05;0,002762652;0,004626399
Phae->Cop;0,008716216;3,47521E-06;0,000254713;0,0294484;0,069412903
Phae->Biv;0,009020599;0,001000138;0,001211268;0,027934112;0,059499985
Phae->Gastr;0,007963848;2,88827E-06;0,000218797;0,027207877;0,049015137
Phae->Poly;0,008785877;3,64929E-06;0,000241936;0,02866176;0,05172357
Phae->Doc;0,015239832;0,00523156;0,007646296;0,027312677;0,031382998
Phae->Poc;0,014723197;0,003187222;0,005017588;0,036670689;0,052324177
Phae->Exp;0,008574511;3,42704E-06;0,000219897;0,029218382;0,059746692
Phae->Resp;0,020561361;0,007670144;0,011427902;0,036056496;0,040428171
Cil->Nsci;0,158401736;9,62988E-05;0,00639313;0,463244199;0,895771377
Cil->Tun;0,11791824;8,13003E-05;0,005102623;0,387801024;0,810569275
Cil->Clado;0,001001821;1,54952E-08;3,12412E-05;0,002979662;0,004690781
Cil->Cop;0,340737536;0,000117144;0,016704443;0,800789641;0,967787848
Cil->Biv;0,002795364;0,000107034;0,001118837;0,004822476;0,005537606
Cil->Gastr;0,066813204;4,54154E-06;0,002353271;0,196894339;0,302895926
Cil->Poly;0,130597257;4,27871E-05;0,004883734;0,368551219;0,691114987
Cil->Hydro;0,005906218;4,86353E-06;0,000174484;0,018605613;0,032274022
Cil->Ppil;0,001547991;3,10045E-07;4,51834E-05;0,005141854;0,011235039
Cil->Mlei;0,003214545;1,7624E-09;0,000108683;0,008630167;0,012080576
Cil->Bcu;0,000135654;1,59984E-08;4,20165E-06;0,000470666;0,000970531
Cil->Poc;1,632237159;0,227158105;1,116323402;2,140160375;2,815319182
Cil->Exp;0,138197577;4,33706E-05;0,005316391;0,388387025;0,831138606
Cil->Resp;0,454308948;0,229634598;0,244997263;0,683789883;0,714905998
Nsci->Ppil;0,001555952;1,62989E-07;4,86558E-05;0,005099776;0,009056654
Nsci->Mlei;0,00541004;0,000275795;0,000563915;0,01220698;0,014275132
Nsci->Bcu;0,00013963;2,0683E-08;3,85201E-06;0,000465542;0,000982162
Nsci->Poc;101,2363901;0,002129631;0,225347855;271,2033922;272,2762833
Nsci->Exp;46,9502822;4,70725577;5,632861275;196,589004;197,8092602
Nsci->Resp;41,65419344;39,07950481;39,12650264;55,44200438;58,70791965
Tun->Hydro;0,005733887;6,92884E-07;0,000150516;0,018268938;0,029658059
Tun->Ppil;0,001567417;2,6533E-07;4,27188E-05;0,00539283;0,011802114
Tun->Mlei;0,000927364;8,87833E-05;0,000380359;0,001558898;0,001700625
Tun->Bcu;0,000142551;5,25833E-08;3,73945E-06;0,000473507;0,001043826
Tun->Her;0,000396664;5,31839E-05;0,000101017;0,000752383;0,000838534
Tun->Poc;2,87384569;0,190128258;0,657421123;4,007307337;4,39830663
Tun->Exp;4,475903168;0,56088005;2,079172349;5,351698542;5,498714379
Tun->Resp;0,566295134;0,294289158;0,314242324;0,851268238;0,896159427
Clado->Hydro;0,000567831;2,55687E-07;1,901E-05;0,001634152;0,002507713
Clado->Ppil;0,000475581;3,29545E-08;1,40367E-05;0,001459512;0,002459744
Clado->Mlei;0,000932451;0,000127748;0,000366873;0,00197865;0,002585599
Clado->Bcu;0,000120594;3,51863E-08;3,03926E-06;0,000421211;0,000903624
Clado->Her;4,70971E-05;2,86254E-06;1,03547E-05;8,87368E-05;0,000100172
Clado->Poc;0,000753408;0,000301792;0,000463487;0,001248373;0,001529198
Clado->Exp;0,0006211;2,18311E-07;2,42016E-05;0,001728864;0,002562349
Clado->Resp;0,001312584;0,001038297;0,001046823;0,001782689;0,002057476
Cop->Hydro;0,005975081;2,24213E-06;0,000178537;0,01888421;0,032565221
Cop->Ppil;0,00156094;8,2338E-07;4,67398E-05;0,005186975;0,009192547
Cop->Mlei;0,010018375;0,000671929;0,004121293;0,018991257;0,024673093
Cop->Bcu;0,000141957;2,38967E-08;3,50681E-06;0,000495917;0,000917337
Cop->Her;0,00470724;0,001036036;0,002947196;0,006987148;0,008259865
Cop->Poc;0,960869719;0,19204474;0,306173392;2,233682596;2,715121621
Cop->Exp;2,398889204;0,810638227;1,182678971;3,997206353;4,526568401
Cop->Resp;0,674403791;0,526587767;0,537854919;0,820492285;0,835681303
Biv->Nsci;0,031902145;1,06468E-05;0,001145262;0,085407653;0,109475071
Biv->Poly;0,031101546;2,12731E-05;0,001153;0,084278771;0,11619176
Biv->Hydro;0,005239245;4,59675E-07;0,000161452;0,01689369;0,029926729
Biv->Ppil;0,001482682;4,54361E-07;4,12561E-05;0,00503327;0,009481221
Biv->Mlei;0,005914563;0,000137866;0,000609071;0,014539523;0,018745609
Biv->Bcu;0,000140412;1,47387E-08;3,8138E-06;0,000489048;0,000893002
Biv->Her;5,98911E-05;2,96667E-06;1,07023E-05;0,000117155;0,000131361
Biv->Poc;0,034269296;0,002556813;0,016383502;0,057462417;0,066374993
Biv->Exp;0,031518057;1,20316E-05;0,001117798;0,084559611;0,11707868
Biv->Resp;0,040296473;0,003102415;0,02964997;0,044998536;0,045179231
Gastr->Hydro;0,005819644;5,97275E-07;0,000189878;0,018735842;0,031549422
Gastr->Ppil;0,001524872;3,90152E-07;3,52279E-05;0,005117396;0,011057833
Gastr->Mlei;0,000695743;3,44258E-05;0,000361249;0,001077029;0,001177172
Gastr->Bcu;0,000139864;1,7923E-08;3,68393E-06;0,000478707;0,000922398
Gastr->Her;0,000385709;6,67383E-05;9,93111E-05;0,000731929;0,000816859
Gastr->Poc;0,051333696;0,002152685;0,025457729;0,087290798;0,102937426
Gastr->Exp;0,164390561;0,007510721;0,099219921;0,214352565;0,231459007
Gastr->Resp;0,08070978;0,003157324;0,047019731;0,116850418;0,125183225
Poly->Ppil;0,001542763;3,07512E-07;4,16342E-05;0,005172597;0,011841264
Poly->Mlei;0,003300834;4,02411E-07;0,00014289;0,00863755;0,011673991
Poly->Bcu;0,000141563;6,55115E-09;4,16868E-06;0,000473678;0,001013405
Poly->Her;0,001505345;1,03591E-06;6,38452E-05;0,003887323;0,004946112
Poly->Poc;0,409532342;0,021275183;0,209005705;0,64837062;0,805964879
Poly->Exp;1,331603149;0,059836545;0,83168145;1,63888578;1,660065626
Poly->Resp;0,688602428;0,030183156;0,372126817;1,0418148;1,28191233
