Index;Mean;Q0;Q2.5;Q97.5;Q100
INTER;258,0692009;92,89090676;104,7992029;456,5104931;468,3601901
IMP;551,5213421;418,6436131;431,8939888;806,5198173;817,2788821
EXP;490,3627086;362,5954652;374,5625744;746,1368853;758,7743097
TSTp;1361,111885;1011,362709;1041,473345;2066,437545;2093,884288
TSTf;809,590543;554,9367027;578,7175707;1261,039631;1276,605406
INTER/TST;0,184249523;0,089291024;0,098983195;0,274945755;0,281850969
IMP/TST;0,407875238;0,359074515;0,362527122;0,450508402;0,455354488
EXP/TST;0,360581228;0,30769447;0,312542951;0,397884607;0,404813158
NPP;123,425982;92,63020979;101,1300611;142,3272996;142,6735038
NPP/RESP;2,021393747;1,800077177;1,809521701;2,422354907;2,513449817
Herb;32,77087663;9,604159925;12,35601655;53,09288026;56,33850248
Det;46,19926472;15,5550813;18,36876813;96,05627379;104,3032625
Bact;0,954942686;0,004275887;0,058628279;2,85198619;4,702075062
APL;1,461496235;1,196091235;1,219714427;1,758414308;1,784937269
D/H;1,444556899;0,58888994;0,829414685;2,449284343;3,254836396
TE12;0,150423763;0,065347896;0,072990038;0,275921562;0,29120656
TE23;0,026299428;0,004193083;0,008280765;0,056499717;0,099081258
MTL;2,007739886;2,002675064;2,003975492;2,014877506;2,029726922
SOI;0,143203337;0,014567027;0,052088592;0,286470689;0,455831777
H;3,239434556;2,722387067;2,877826477;3,468251381;3,480885249
Ov/DC;0,687926359;0,550655449;0,599931204;0,751611875;0,758075442
A/DC;0,312073641;0,241924558;0,248388125;0,400068796;0,449344551
R/DC;0,233728764;0,155356639;0,178422167;0,289649555;0,296822333
AMI;1,004024688;0,809518698;0,832694551;1,156931729;1,223289794
Ai/DCi;0,170423818;0,059790576;0,082405465;0,230862709;0,296505116
ELD;1,302771374;1,157867728;1,195518922;1,403157706;1,409265794
Ceff;1,302771374;1,157867728;1,195518922;1,403157706;1,409265794
LDq;0,975628738;0,743759629;0,802777136;1,146723259;1,158688248
FCI;0,035062004;0,002917079;0,003370735;0,104492965;0,111340899
NCycles;183;183;183;183;183
C_cycled;73,02744677;5,934857311;7,2195927;174,3948514;175,7531913
C_cycled.small;72,1647805;3,647007736;6,035027569;173,3306435;174,876445
C_cycled.big;0,862666268;0,041701742;0,098722308;2,262711377;3,370076855
