Season;Flow;Mean;Q2.5;Q97.5;TST_mean;TST_Q2.5;TST_Q97.5
spring 2009;Poc->Exp;411,1056652;388,2950118;526,3332332;1521,381394;1326,761632;1877,230253
spring 2009;Imp->Poc;359,6692306;294,8588742;388,4063713;1521,381394;1326,761632;1877,230253
spring 2009;Imp->Phae;222,0268773;159,8351478;284,7406014;1521,381394;1326,761632;1877,230253
spring 2009;Phae->Exp;114,2205906;95,49693636;185,6784483;1521,381394;1326,761632;1877,230253
spring 2009;Imp->Dia;98,17047862;79,29106967;123,6138607;1521,381394;1326,761632;1877,230253
spring 2009;Dia->Exp;47,68449951;43,70902884;51,85346404;1521,381394;1326,761632;1877,230253
spring 2009;Imp->Nsci;0;0;0;1521,381394;1326,761632;1877,230253
spring 2009;Nsci->Poc;0;0;0;1521,381394;1326,761632;1877,230253
summer 2009;Poc->Exp;385,6340741;329,1373126;660,8336078;1361,111885;1041,473345;2066,437545
summer 2009;Imp->Poc;275,3853479;216,4353515;374,5240777;1361,111885;1041,473345;2066,437545
summer 2009;Imp->Dia;138,8893363;113,1253283;157,992152;1361,111885;1041,473345;2066,437545
summer 2009;Imp->Nsci;127,2290794;3,155137614;271,3565202;1361,111885;1041,473345;2066,437545
summer 2009;Nsci->Poc;101,2363901;0,225347855;271,2033922;1361,111885;1041,473345;2066,437545
summer 2009;Dia->Exp;21,22419367;0,606403083;45,85786199;1361,111885;1041,473345;2066,437545
summer 2009;Imp->Phae;0;0;0;1361,111885;1041,473345;2066,437545
summer 2009;Phae->Exp;0;0;0;1361,111885;1041,473345;2066,437545
autumn 2009;Poc->Exp;454,7543461;452,7973635;463,9943637;1090,848515;1050,617678;1123,489685
autumn 2009;Imp->Poc;448,7220058;442,2503682;454,5824783;1090,848515;1050,617678;1123,489685
autumn 2009;Imp->Dia;55,388769;46,89578483;60,94441728;1090,848515;1050,617678;1123,489685
autumn 2009;Dia->Exp;29,76558104;26,24372846;35,04446473;1090,848515;1050,617678;1123,489685
autumn 2009;Imp->Phae;0,45240595;0,394656016;0,532304909;1090,848515;1050,617678;1123,489685
autumn 2009;Phae->Exp;0,026396325;0,000729728;0,098013669;1090,848515;1050,617678;1123,489685
autumn 2009;Imp->Nsci;7,31153792;0,624151941;8,906698226;1090,848515;1050,617678;1123,489685
autumn 2009;Nsci->Poc;1,042593662;0,094643383;3,160861007;1090,848515;1050,617678;1123,489685
spring 2010;Poc->Exp;566,2642148;545,784573;667,6002238;1853,736446;1743,119255;2087,04799
spring 2010;Imp->Poc;503,7483013;470,1104183;545,8705369;1853,736446;1743,119255;2087,04799
spring 2010;Imp->Dia;319,2300382;297,5328118;366,5773103;1853,736446;1743,119255;2087,04799
spring 2010;Dia->Exp;181,1718987;159,8706894;222,167445;1853,736446;1743,119255;2087,04799
spring 2010;Imp->Phae;21,98069083;20,6653299;22,6028283;1853,736446;1743,119255;2087,04799
spring 2010;Phae->Exp;9,198357369;4,127799136;10,74050541;1853,736446;1743,119255;2087,04799
spring 2010;Imp->Nsci;0;0;0;1853,736446;1743,119255;2087,04799
spring 2010;Nsci->Poc;0;0;0;1853,736446;1743,119255;2087,04799
summer 2010;Poc->Exp;393,1747444;364,0582033;544,8665645;1288,697876;1042,570293;1656,83886
summer 2010;Imp->Poc;299,6975827;241,0283582;370,4915378;1288,697876;1042,570293;1656,83886
summer 2010;Imp->Dia;100,6743027;76,09868581;136,9266062;1288,697876;1042,570293;1656,83886
summer 2010;Imp->Nsci;84,25237221;0,543060192;123,0764288;1288,697876;1042,570293;1656,83886
summer 2010;Nsci->Poc;60,78860942;0,379114336;100,5523709;1288,697876;1042,570293;1656,83886
summer 2010;Dia->Exp;26,62501184;19,54844058;38,01230766;1288,697876;1042,570293;1656,83886
summer 2010;Imp->Phae;52,27539426;32,68356698;63,11378429;1288,697876;1042,570293;1656,83886
summer 2010;Phae->Exp;12,78298672;5,168664362;17,56152064;1288,697876;1042,570293;1656,83886
autumn 2010;Poc->Exp;556,9868911;538,2414739;666,9810787;1565,220512;1339,072932;1793,619467
autumn 2010;Imp->Poc;479,2579978;409,2196649;551,3146723;1565,220512;1339,072932;1793,619467
autumn 2010;Imp->Nsci;104,526389;0,775553909;141,0251926;1565,220512;1339,072932;1793,619467
autumn 2010;Nsci->Poc;67,64137186;0,386465404;106,7835687;1565,220512;1339,072932;1793,619467
autumn 2010;Imp->Dia;64,34942141;56,97979678;71,0909823;1565,220512;1339,072932;1793,619467
autumn 2010;Dia->Exp;27,39661885;2,291480095;38,7947334;1565,220512;1339,072932;1793,619467
autumn 2010;Imp->Phae;41,48762624;29,67887029;43,56580217;1565,220512;1339,072932;1793,619467
autumn 2010;Phae->Exp;16,2352143;5,642071822;20,54081224;1565,220512;1339,072932;1793,619467
